expr,weights,python
"[Term Log (fromList [(0,2),(1,2)]),Term Exp (fromList [(1,2)]),Term Sin (fromList [(1,2)]),Term Id (fromList [(1,4)]),Term Sin (fromList [(0,4),(1,4)]),Term Exp (fromList [(0,2)]),Term Tanh (fromList [(0,4)]),Term Sin (fromList [(0,2)]),Term Tanh (fromList [(1,4)]),Term Id (fromList [(0,4)])]","[-3.174383749769094e-2,-3.844754074032765e-3,-8.890545997257311e-3,0.2624525770580053,8.339812708790863e-2,-1.1903421668594226e-3,-9.167869534938408e-3,0.3086016978571674,0.26308507839531814,0.3108485310187019,8.430258233874538e-2]","-3.174383749769094e-2 + -3.844754074032765e-3*np.log(x[:,0]**(2)*x[:,1]**(2)) + -8.890545997257311e-3*np.exp(x[:,1]**(2)) + 0.2624525770580053*np.sin(x[:,1]**(2)) + 8.339812708790863e-2*(x[:,1]**(4)) + -1.1903421668594226e-3*np.sin(x[:,0]**(4)*x[:,1]**(4)) + -9.167869534938408e-3*np.exp(x[:,0]**(2)) + 0.3086016978571674*np.tanh(x[:,0]**(4)) + 0.26308507839531814*np.sin(x[:,0]**(2)) + 0.3108485310187019*np.tanh(x[:,1]**(4)) + 8.430258233874538e-2*(x[:,0]**(4))"
"[Term Log (fromList [(0,2),(1,2)]),Term Tanh (fromList [(1,4)]),Term Sin (fromList [(1,2)]),Term Tanh (fromList [(0,4)]),Term Exp (fromList [(1,2)]),Term Sin (fromList [(0,2)]),Term Id (fromList [(1,4)]),Term Sin (fromList [(0,4),(1,4)]),Term Id (fromList [(0,4)]),Term Exp (fromList [(0,2)])]","[-3.1743837497691635e-2,-3.8447540740330216e-3,0.310848531018702,0.26245257705800634,0.3086016978571679,-8.890545997257297e-3,0.2630850783953178,8.33981270879085e-2,-1.1903421668594157e-3,8.430258233874553e-2,-9.167869534938436e-3]","-3.1743837497691635e-2 + -3.8447540740330216e-3*np.log(x[:,0]**(2)*x[:,1]**(2)) + 0.310848531018702*np.tanh(x[:,1]**(4)) + 0.26245257705800634*np.sin(x[:,1]**(2)) + 0.3086016978571679*np.tanh(x[:,0]**(4)) + -8.890545997257297e-3*np.exp(x[:,1]**(2)) + 0.2630850783953178*np.sin(x[:,0]**(2)) + 8.33981270879085e-2*(x[:,1]**(4)) + -1.1903421668594157e-3*np.sin(x[:,0]**(4)*x[:,1]**(4)) + 8.430258233874553e-2*(x[:,0]**(4)) + -9.167869534938436e-3*np.exp(x[:,0]**(2))"
"[Term Sin (fromList [(1,2)]),Term Tanh (fromList [(0,4),(1,4)]),Term Id (fromList [(1,4)]),Term Sin (fromList [(0,2)]),Term Tanh (fromList [(0,4)]),Term Log (fromList [(0,4),(1,4)]),Term Tanh (fromList [(1,4)]),Term Exp (fromList [(0,2)]),Term Id (fromList [(0,4)]),Term Exp (fromList [(1,2)])]","[-3.0534229242637212e-2,0.22904427219205928,1.974639904270887e-2,6.031405990766531e-2,0.26427055257655313,0.3013404413166477,-1.8074333365496178e-3,0.3643412441062863,-8.70928625262829e-3,8.030005241729772e-2,-6.848601432039192e-3,2.2155863013168103e-3,2.943489367080365e-4,3.3954528256036835e-2,-6.665516462437818e-2,6.527584884918744e-2,-8.009891819444389e-4,-4.4953293057440865e-5,-1.1060065234088957e-2,-6.984248561281055e-4,4.424231667286574e-3]","-3.0534229242637212e-2 + 0.22904427219205928*np.sin(x[:,1]**(2)) + 1.974639904270887e-2*np.tanh(x[:,0]**(4)*x[:,1]**(4)) + 6.031405990766531e-2*(x[:,1]**(4)) + 0.26427055257655313*np.sin(x[:,0]**(2)) + 0.3013404413166477*np.tanh(x[:,0]**(4)) + -1.8074333365496178e-3*np.log(x[:,0]**(4)*x[:,1]**(4)) + 0.3643412441062863*np.tanh(x[:,1]**(4)) + -8.70928625262829e-3*np.exp(x[:,0]**(2)) + 8.030005241729772e-2*(x[:,0]**(4)) + -6.848601432039192e-3*np.exp(x[:,1]**(2))"
"[Term Id (fromList [(1,4)]),Term Id (fromList [(0,4),(1,4)]),Term Id (fromList [(0,4)])]","[-3.532983350318375e-10,1.0000000018450126,2.0000000022069866,1.0000000007566945,1.0000000009315955,1.0000000019326227,1.000000001027173]","-3.532983350318375e-10 + 1.0000000018450126*(x[:,1]**(4)) + 2.0000000022069866*(x[:,0]**(4)*x[:,1]**(4)) + 1.0000000007566945*(x[:,0]**(4))"
"[Term Id (fromList [(0,2),(1,2)]),Term Id (fromList [(1,2)]),Term Id (fromList [(0,2)])]","[-6.627470293770689e-2,0.14691279505035512,0.5123875247164477,0.5231872145716037,-1.7786582350907428e-5,7.765147502231275e-2,7.516191414059183e-2]","-6.627470293770689e-2 + 0.14691279505035512*(x[:,0]**(2)*x[:,1]**(2)) + 0.5123875247164477*(x[:,1]**(2)) + 0.5231872145716037*(x[:,0]**(2))"
"[Term Id (fromList [(0,-4),(1,-4)]),Term Id (fromList [(1,-4)]),Term Id (fromList [(0,-4)])]","[1.9829130325675028,-4.1929923516776266e-10,0.9822834450718907,0.9822834728862704,0.982283447745962,0.9822834432515964,0.9822834758055295]","1.9829130325675028 + -4.1929923516776266e-10*(x[:,0]**(-4)*x[:,1]**(-4)) + 0.9822834450718907*(x[:,1]**(-4)) + 0.9822834728862704*(x[:,0]**(-4))"
"[Term Id (fromList [(0,-1),(1,-4)]),Term Id (fromList [(0,-3)]),Term Id (fromList [(0,-3),(1,-1)])]","[0.926128868200509,1.8382527418065434e-8,-5.051478178219429e-6,-8.274826335857524e-7,-8.843501737823742e-4,1.4913110851681685e-3,4.088112203935605e-6]","0.926128868200509 + 1.8382527418065434e-8*(x[:,0]**(-1)*x[:,1]**(-4)) + -5.051478178219429e-6*(x[:,0]**(-3)) + -8.274826335857524e-7*(x[:,0]**(-3)*x[:,1]**(-1))"
"[Term Id (fromList [(0,-3),(1,-1)]),Term Id (fromList [(1,-2)]),Term Id (fromList [(1,-4)])]","[0.9321630399934997,-1.2838578109978998e-6,-4.7920658817766915e-4,7.855219738441536e-7,1.3815502548981613e-6,1.7328228038147374e-7,-2.925376247579298e-8]","0.9321630399934997 + -1.2838578109978998e-6*(x[:,0]**(-3)*x[:,1]**(-1)) + -4.7920658817766915e-4*(x[:,1]**(-2)) + 7.855219738441536e-7*(x[:,1]**(-4))"
"[Term Id (fromList [(0,-4),(1,-4)]),Term Id (fromList [(1,-4)]),Term Id (fromList [(0,-4)])]","[1.9829130325675028,-4.1929923516776266e-10,0.9822834450718907,0.9822834728862704,0.982283447745962,0.9822834432515964,0.9822834758055295]","1.9829130325675028 + -4.1929923516776266e-10*(x[:,0]**(-4)*x[:,1]**(-4)) + 0.9822834450718907*(x[:,1]**(-4)) + 0.9822834728862704*(x[:,0]**(-4))"
"[Term Id (fromList [(0,-1)]),Term Id (fromList [(0,-2)]),Term Id (fromList [(1,-2)])]","[0.9301868698651496,-1.2785539936868155e-2,-3.03005668472301e-4,-3.635550487623881e-5]","0.9301868698651496 + -1.2785539936868155e-2*(x[:,0]**(-1)) + -3.03005668472301e-4*(x[:,0]**(-2)) + -3.635550487623881e-5*(x[:,1]**(-2))"
"[Term Id (fromList [(0,-1)]),Term Id (fromList [(0,-2)]),Term Id (fromList [(1,-2)])]","[0.9301868698651496,-1.2785539936868155e-2,-3.03005668472301e-4,-3.635550487623881e-5]","0.9301868698651496 + -1.2785539936868155e-2*(x[:,0]**(-1)) + -3.03005668472301e-4*(x[:,0]**(-2)) + -3.635550487623881e-5*(x[:,1]**(-2))"
"[Term Id (fromList [(0,-1)]),Term Id (fromList [(0,-2)]),Term Id (fromList [(1,-2)])]","[0.9301868698651496,-1.2785539936868155e-2,-3.03005668472301e-4,-3.635550487623881e-5]","0.9301868698651496 + -1.2785539936868155e-2*(x[:,0]**(-1)) + -3.03005668472301e-4*(x[:,0]**(-2)) + -3.635550487623881e-5*(x[:,1]**(-2))"
"[Term Id (fromList [(1,-2)]),Term Id (fromList [(0,-3),(1,-4)]),Term Id (fromList [(0,-2),(1,-3)])]","[0.9209237235380405,5.676943339556057e-4,-5.709807362701641e-9,5.390578588712501e-7,1.138771854536534e-3,-6.924436430669571e-9,-2.439883377699038e-7]","0.9209237235380405 + 5.676943339556057e-4*(x[:,1]**(-2)) + -5.709807362701641e-9*(x[:,0]**(-3)*x[:,1]**(-4)) + 5.390578588712501e-7*(x[:,0]**(-2)*x[:,1]**(-3))"
"[Term Id (fromList [(1,-2)]),Term Id (fromList [(0,-3),(1,-4)]),Term Id (fromList [(0,-2),(1,-3)])]","[0.9209237235380405,5.676943339556057e-4,-5.709807362701641e-9,5.390578588712501e-7,1.138771854536534e-3,-6.924436430669571e-9,-2.439883377699038e-7]","0.9209237235380405 + 5.676943339556057e-4*(x[:,1]**(-2)) + -5.709807362701641e-9*(x[:,0]**(-3)*x[:,1]**(-4)) + 5.390578588712501e-7*(x[:,0]**(-2)*x[:,1]**(-3))"
"[Term Id (fromList [(1,4)]),Term Id (fromList [(0,4),(1,4)]),Term Id (fromList [(0,4)])]","[-3.532983350318375e-10,1.0000000018450126,2.0000000022069866,1.0000000007566945,1.0000000009315955,1.0000000019326227,1.000000001027173]","-3.532983350318375e-10 + 1.0000000018450126*(x[:,1]**(4)) + 2.0000000022069866*(x[:,0]**(4)*x[:,1]**(4)) + 1.0000000007566945*(x[:,0]**(4))"
"[Term Id (fromList [(1,4)]),Term Id (fromList [(0,4),(1,4)]),Term Id (fromList [(0,4)])]","[-3.532983350318375e-10,1.0000000018450126,2.0000000022069866,1.0000000007566945,1.0000000009315955,1.0000000019326227,1.000000001027173]","-3.532983350318375e-10 + 1.0000000018450126*(x[:,1]**(4)) + 2.0000000022069866*(x[:,0]**(4)*x[:,1]**(4)) + 1.0000000007566945*(x[:,0]**(4))"
