name,time,length,R^2_test,R^2_train,MAE_test,MAE_train,RMSE_test,RMSE_train,NMSE_test,NMSE_train
results/extrapolation/SpatialCoevolution_0,37,77,1.9516752397564774e17,-0.999870758543049,5.279528265977375e7,4.483903582908861e-3,1.6307607881502852e8,5.884810581658919e-3,1.9516752397564774e17,1.292414569510001e-4
results/extrapolation/SpatialCoevolution_0,42,77,1.951675239756478e17,-0.999870758543049,5.279528265977376e7,4.483903582908843e-3,1.6307607881502855e8,5.884810581658906e-3,1.951675239756478e17,1.2924145695099952e-4
results/extrapolation/SpatialCoevolution_0,77,159,7.952222768222017e15,-0.9998861395483652,8062399.577296134,4.229802840405606e-3,3.2917796254597247e7,5.523546531380048e-3,7.952222768222019e15,1.1386045163476741e-4
results/extrapolation/SpatialCoevolution_0,19,43,-1.0,-1.0,2.824902356479697e-10,2.7217508307593996e-10,3.4894017749454935e-10,3.4145267599457516e-10,8.935708384822039e-19,4.351088427728858e-19
results/extrapolation/SpatialCoevolution_0,18,39,3.470904125854803,-0.9944475746596989,0.6986356350466046,3.146814829311694e-2,0.7805202275833144,3.85720685280034e-2,4.470904125854803,5.552425340301076e-3
results/extrapolation/SpatialCoevolution_0,22,43,-0.9988403534915504,-0.9999469862081598,1.0510268214130028e-2,1.8683707245394446e-3,1.2570405756990989e-2,3.768998808124442e-3,1.1596465084495451e-3,5.301379184020865e-5
results/extrapolation/SpatialCoevolution_0,22,51,4.3143216338250285,-0.16389991666212578,0.7665268583394286,0.3793624634344205,0.850962459922306,0.47332636851311044,5.3143216338250285,0.8361000833378742
results/extrapolation/SpatialCoevolution_0,27,51,4.249549783875894,-9.06582556528005e-2,0.7612471515772367,0.3928756281504208,0.8457607243047124,0.49362270777791806,5.249549783875894,0.9093417443471996
results/extrapolation/SpatialCoevolution_0,22,43,-0.9988403534915504,-0.9999469862081598,1.0510268214130028e-2,1.8683707245394446e-3,1.2570405756990989e-2,3.768998808124442e-3,1.1596465084495451e-3,5.301379184020865e-5
results/extrapolation/SpatialCoevolution_0,30,19,4.276783040938752,-5.710346056450388e-2,0.7640420595553152,0.407527363225776,0.847951676422174,0.5026475693469705,5.276783040938753,0.9428965394354961
results/extrapolation/SpatialCoevolution_0,18,19,4.276783040938752,-5.710346056450388e-2,0.7640420595553152,0.407527363225776,0.847951676422174,0.5026475693469705,5.276783040938753,0.9428965394354961
results/extrapolation/SpatialCoevolution_0,14,19,4.276783040938752,-5.710346056450388e-2,0.7640420595553152,0.407527363225776,0.847951676422174,0.5026475693469705,5.276783040938753,0.9428965394354961
results/extrapolation/SpatialCoevolution_0,22,55,4.373602385894502,-0.15579531229769727,0.7718626367776927,0.380131036267308,0.855695500002157,0.47561489329596296,5.373602385894502,0.8442046877023027
results/extrapolation/SpatialCoevolution_0,21,55,4.373602385894502,-0.15579531229769727,0.7718626367776927,0.380131036267308,0.855695500002157,0.47561489329596296,5.373602385894502,0.8442046877023027
results/extrapolation/SpatialCoevolution_0,38,43,-1.0,-1.0,2.824902356479697e-10,2.7217508307593996e-10,3.4894017749454935e-10,3.4145267599457516e-10,8.935708384822039e-19,4.351088427728858e-19
results/extrapolation/SpatialCoevolution_0,29,43,-1.0,-1.0,2.824902356479697e-10,2.7217508307593996e-10,3.4894017749454935e-10,3.4145267599457516e-10,8.935708384822039e-19,4.351088427728858e-19
results/extrapolation/SpatialCoevolution_0,19,43,-1.0,-1.0,2.824902356479697e-10,2.7217508307593996e-10,3.4894017749454935e-10,3.4145267599457516e-10,8.935708384822039e-19,4.351088427728858e-19
