expr,weights,python
"[Term SqrtAbs (fromList [(0,-2),(1,-2),(2,1),(3,-1),(4,2),(5,1),(6,2)]),Term SqrtAbs (fromList [(0,2),(1,-2),(2,2),(3,-2),(4,-2),(6,1)]),Term SqrtAbs (fromList [(0,2),(1,-1)]),Term Sin (fromList [(0,-2),(1,2),(2,2),(3,2),(5,2),(7,2)]),Term SqrtAbs (fromList [(0,-2),(1,-1),(2,-2),(3,2),(4,2)]),Term Tanh (fromList [(0,2),(4,-2)]),Term SqrtAbs (fromList [(0,-2),(2,-1),(3,-1),(4,2),(5,-2)]),Term Cos (fromList [(0,-2),(1,-2),(3,1),(4,2),(5,-2),(7,2)]),Term Sin (fromList [(0,-2),(1,-1),(2,2),(3,2),(4,-2)]),Term Tanh (fromList [(0,-2),(1,-1),(2,2),(4,-2)]),Term SqrtAbs (fromList [(0,1),(2,2),(3,1),(4,2)]),Term Log (fromList [(1,-2),(3,-1),(4,-2)]),Term Log (fromList [(0,-2),(1,-2),(4,2)]),Term Cos (fromList [(1,1),(2,-1),(4,-1),(5,2)]),Term SqrtAbs (fromList [(0,-2),(1,-1),(2,-1),(4,2),(5,1)]),Term Cos (fromList [(0,2),(1,-2),(2,1),(3,1),(4,2),(5,-2),(6,1),(7,2)])]","[15515.709458314695,118.39452407588868,20752.72075588985,7347.489527517394,0.36069369522778405,3852.3517740913026,-12586.826631603904,501.6029504421341,338.6723443674647,-7.763122614544741,-11878.583995070332,5.7508160319177555e-2,504.55449858865774,-572.4982705810237,0.2381755047747114,337.5698493120756,-0.865031317653925]","15515.709458314695 + 118.39452407588868*sqrtAbs(x[:,0]**(-2)*x[:,1]**(-2)*x[:,2]*x[:,3]**(-1)*x[:,4]**(2)*x[:,5]*x[:,6]**(2)) + 20752.72075588985*sqrtAbs(x[:,0]**(2)*x[:,1]**(-2)*x[:,2]**(2)*x[:,3]**(-2)*x[:,4]**(-2)*x[:,6]) + 7347.489527517394*sqrtAbs(x[:,0]**(2)*x[:,1]**(-1)) + 0.36069369522778405*np.sin(x[:,0]**(-2)*x[:,1]**(2)*x[:,2]**(2)*x[:,3]**(2)*x[:,5]**(2)*x[:,7]**(2)) + 3852.3517740913026*sqrtAbs(x[:,0]**(-2)*x[:,1]**(-1)*x[:,2]**(-2)*x[:,3]**(2)*x[:,4]**(2)) + -12586.826631603904*np.tanh(x[:,0]**(2)*x[:,4]**(-2)) + 501.6029504421341*sqrtAbs(x[:,0]**(-2)*x[:,2]**(-1)*x[:,3]**(-1)*x[:,4]**(2)*x[:,5]**(-2)) + 338.6723443674647*np.cos(x[:,0]**(-2)*x[:,1]**(-2)*x[:,3]*x[:,4]**(2)*x[:,5]**(-2)*x[:,7]**(2)) + -7.763122614544741*np.sin(x[:,0]**(-2)*x[:,1]**(-1)*x[:,2]**(2)*x[:,3]**(2)*x[:,4]**(-2)) + -11878.583995070332*np.tanh(x[:,0]**(-2)*x[:,1]**(-1)*x[:,2]**(2)*x[:,4]**(-2)) + 5.7508160319177555e-2*sqrtAbs(x[:,0]*x[:,2]**(2)*x[:,3]*x[:,4]**(2)) + 504.55449858865774*np.log(x[:,1]**(-2)*x[:,3]**(-1)*x[:,4]**(-2)) + -572.4982705810237*np.log(x[:,0]**(-2)*x[:,1]**(-2)*x[:,4]**(2)) + 0.2381755047747114*np.cos(x[:,1]*x[:,2]**(-1)*x[:,4]**(-1)*x[:,5]**(2)) + 337.5698493120756*sqrtAbs(x[:,0]**(-2)*x[:,1]**(-1)*x[:,2]**(-1)*x[:,4]**(2)*x[:,5]) + -0.865031317653925*np.cos(x[:,0]**(2)*x[:,1]**(-2)*x[:,2]*x[:,3]*x[:,4]**(2)*x[:,5]**(-2)*x[:,6]*x[:,7]**(2))"

"[Term Tanh (fromList [(0,-2),(4,-1),(5,2),(7,1)]),Term Id (fromList [(0,2),(4,-1)]),Term SqrtAbs (fromList [(0,2),(1,2),(3,2)]),Term Tanh (fromList [(0,2),(2,-1),(3,-1),(4,2)]),Term SqrtAbs (fromList [(0,-1)]),Term SqrtAbs (fromList [(0,1),(1,-2),(2,-2),(3,1),(4,2),(5,1)]),Term SqrtAbs (fromList [(0,2),(3,-1),(4,1),(6,2)]),Term Cos (fromList [(1,2),(2,-2),(3,1),(4,-1)]),Term Sin (fromList [(0,2),(3,-2),(4,2)]),Term Tanh (fromList [(1,2),(2,-2),(3,-1),(4,2),(6,2)]),Term Tanh (fromList [(1,2),(2,-1),(3,-1),(5,1),(7,-1)]),Term Log (fromList [(0,2),(1,1),(2,1)]),Term Sin (fromList [(0,1),(1,2),(2,-1),(4,1)]),Term Tanh (fromList [(0,2),(1,2),(2,-1),(3,-2),(4,1),(5,-1),(7,-1)]),Term Sin (fromList [(0,-1),(1,-2),(2,-2),(3,1),(4,2),(5,2)]),Term Tanh (fromList [(1,-1),(3,-1)])]","[550.0983104790464,-8.022092133969112,2209.6736523593745,-9.977450659230482e-3,-83087.36338797108,-998.8338655777047,-13631.83376496591,133.88186906448698,-1.3453413575551698,342110.0750961058,-14.277921813123601,529.4357884053965,172.88180196206883,-3.294419707053991,-9.654982723374316,1167823.8404362407,-1.7233041585142612e8]","550.0983104790464 + -8.022092133969112*np.tanh(x[:,0]**(-2)*x[:,4]**(-1)*x[:,5]**(2)*x[:,7]) + 2209.6736523593745*(x[:,0]**(2)*x[:,4]**(-1)) + -9.977450659230482e-3*sqrtAbs(x[:,0]**(2)*x[:,1]**(2)*x[:,3]**(2)) + -83087.36338797108*np.tanh(x[:,0]**(2)*x[:,2]**(-1)*x[:,3]**(-1)*x[:,4]**(2)) + -998.8338655777047*sqrtAbs(x[:,0]**(-1)) + -13631.83376496591*sqrtAbs(x[:,0]*x[:,1]**(-2)*x[:,2]**(-2)*x[:,3]*x[:,4]**(2)*x[:,5]) + 133.88186906448698*sqrtAbs(x[:,0]**(2)*x[:,3]**(-1)*x[:,4]*x[:,6]**(2)) + -1.3453413575551698*np.cos(x[:,1]**(2)*x[:,2]**(-2)*x[:,3]*x[:,4]**(-1)) + 342110.0750961058*np.sin(x[:,0]**(2)*x[:,3]**(-2)*x[:,4]**(2)) + -14.277921813123601*np.tanh(x[:,1]**(2)*x[:,2]**(-2)*x[:,3]**(-1)*x[:,4]**(2)*x[:,6]**(2)) + 529.4357884053965*np.tanh(x[:,1]**(2)*x[:,2]**(-1)*x[:,3]**(-1)*x[:,5]*x[:,7]**(-1)) + 172.88180196206883*np.log(x[:,0]**(2)*x[:,1]*x[:,2]) + -3.294419707053991*np.sin(x[:,0]*x[:,1]**(2)*x[:,2]**(-1)*x[:,4]) + -9.654982723374316*np.tanh(x[:,0]**(2)*x[:,1]**(2)*x[:,2]**(-1)*x[:,3]**(-2)*x[:,4]*x[:,5]**(-1)*x[:,7]**(-1)) + 1167823.8404362407*np.sin(x[:,0]**(-1)*x[:,1]**(-2)*x[:,2]**(-2)*x[:,3]*x[:,4]**(2)*x[:,5]**(2)) + -1.7233041585142612e8*np.tanh(x[:,1]**(-1)*x[:,3]**(-1))"

"[Term SqrtAbs (fromList [(0,2),(1,-2),(2,2),(3,-1),(4,-1),(6,1)]),Term Log (fromList [(1,2),(2,-2),(3,-2),(5,1)]),Term Cos (fromList [(0,-2),(1,-2),(3,2),(4,-2),(5,2),(7,1)]),Term Id (fromList [(0,1),(1,-2),(2,-2),(5,2),(6,1)]),Term Exp (fromList [(0,-2),(1,1),(3,-2),(4,2),(5,-1),(6,1)]),Term Log (fromList [(0,1),(1,2),(2,-1),(3,-2),(4,-1),(5,-1)]),Term Log (fromList [(0,-1),(2,-2),(4,-2)]),Term SqrtAbs (fromList [(1,1),(2,-1),(3,-2),(4,-2)]),Term Cos (fromList [(0,-2),(2,-2),(4,2),(5,-2),(7,2)]),Term Id (fromList [(0,2),(3,2),(4,-2)]),Term Sin (fromList [(0,-1),(3,-1),(4,-2)]),Term Id (fromList [(0,2),(1,1),(5,-2)]),Term Sin (fromList [(0,1),(1,2),(2,-2),(5,-2),(7,2)]),Term Log (fromList [(0,2),(1,2),(2,-2),(4,-2),(5,2)]),Term SqrtAbs (fromList [(0,1),(4,-1)]),Term Cos (fromList [(0,2),(1,1),(2,-1),(3,1)])]","[-468356.1334350694,811.1512140029786,-3771.029781145045,0.9942637357293179,6.248795496642448e9,2.1193546739044824,2310.667599918981,-770.6391223734663,3390971.1639339393,455888.5543752468,-0.6951595998311552,-4821414.369455094,4.601388164593721e-2,-0.671821461927699,3042.8708008551293,-43110.26916918354,2.67117226317046]","-468356.1334350694 + 811.1512140029786*sqrtAbs(x[:,0]**(2)*x[:,1]**(-2)*x[:,2]**(2)*x[:,3]**(-1)*x[:,4]**(-1)*x[:,6]) + -3771.029781145045*np.log(x[:,1]**(2)*x[:,2]**(-2)*x[:,3]**(-2)*x[:,5]) + 0.9942637357293179*np.cos(x[:,0]**(-2)*x[:,1]**(-2)*x[:,3]**(2)*x[:,4]**(-2)*x[:,5]**(2)*x[:,7]) + 6.248795496642448e9*(x[:,0]*x[:,1]**(-2)*x[:,2]**(-2)*x[:,5]**(2)*x[:,6]) + 2.1193546739044824*np.exp(x[:,0]**(-2)*x[:,1]*x[:,3]**(-2)*x[:,4]**(2)*x[:,5]**(-1)*x[:,6]) + 2310.667599918981*np.log(x[:,0]*x[:,1]**(2)*x[:,2]**(-1)*x[:,3]**(-2)*x[:,4]**(-1)*x[:,5]**(-1)) + -770.6391223734663*np.log(x[:,0]**(-1)*x[:,2]**(-2)*x[:,4]**(-2)) + 3390971.1639339393*sqrtAbs(x[:,1]*x[:,2]**(-1)*x[:,3]**(-2)*x[:,4]**(-2)) + 455888.5543752468*np.cos(x[:,0]**(-2)*x[:,2]**(-2)*x[:,4]**(2)*x[:,5]**(-2)*x[:,7]**(2)) + -0.6951595998311552*(x[:,0]**(2)*x[:,3]**(2)*x[:,4]**(-2)) + -4821414.369455094*np.sin(x[:,0]**(-1)*x[:,3]**(-1)*x[:,4]**(-2)) + 4.601388164593721e-2*(x[:,0]**(2)*x[:,1]*x[:,5]**(-2)) + -0.671821461927699*np.sin(x[:,0]*x[:,1]**(2)*x[:,2]**(-2)*x[:,5]**(-2)*x[:,7]**(2)) + 3042.8708008551293*np.log(x[:,0]**(2)*x[:,1]**(2)*x[:,2]**(-2)*x[:,4]**(-2)*x[:,5]**(2)) + -43110.26916918354*sqrtAbs(x[:,0]*x[:,4]**(-1)) + 2.67117226317046*np.cos(x[:,0]**(2)*x[:,1]*x[:,2]**(-1)*x[:,3])"

"[Term Exp (fromList [(0,-2),(1,-1),(2,-1),(4,2),(5,-2),(7,2)]),Term Tanh (fromList [(2,-2),(6,-1)]),Term Id (fromList [(0,-2),(1,-2),(3,2),(4,2),(5,2)]),Term Sin (fromList [(1,2),(2,2),(3,2),(5,-2),(7,2)]),Term Cos (fromList [(0,-1),(2,2)]),Term Id (fromList [(0,-2),(1,2),(2,2),(3,-1)]),Term Sin (fromList [(1,2),(2,2),(3,2)]),Term Cos (fromList [(1,-1),(2,1),(4,2),(5,-2),(7,1)]),Term Log (fromList [(0,-2),(2,2),(5,-2)]),Term Cos (fromList [(0,-2),(1,2),(4,-1)]),Term Cos (fromList [(0,-1),(1,2),(2,2),(3,2),(4,-2)]),Term Sin (fromList [(0,1),(4,-2)]),Term Log (fromList [(0,-2),(1,2),(2,1),(3,-2),(5,-2)]),Term Id (fromList [(0,2),(2,1),(4,1)]),Term Sin (fromList [(0,1),(1,-2),(2,1),(6,1)]),Term Log (fromList [(1,2),(2,2),(3,-2),(5,-2)])]","[763.9549939145381,-928.686390594624,-2.725986446710046,4.316969425428157e-2,0.3925259835360662,-1.8386712810972707,-2.7277446472187093e-8,3.8091437129009265,0.6521143250916253,-149.34586017602368,2.1122916619423915,5.124231894471228,-3124.1344534303257,-43.288541645042294,-0.23799215903449378,22646.749543332782,194.13399045856346]","763.9549939145381 + -928.686390594624*np.exp(x[:,0]**(-2)*x[:,1]**(-1)*x[:,2]**(-1)*x[:,4]**(2)*x[:,5]**(-2)*x[:,7]**(2)) + -2.725986446710046*np.tanh(x[:,2]**(-2)*x[:,6]**(-1)) + 4.316969425428157e-2*(x[:,0]**(-2)*x[:,1]**(-2)*x[:,3]**(2)*x[:,4]**(2)*x[:,5]**(2)) + 0.3925259835360662*np.sin(x[:,1]**(2)*x[:,2]**(2)*x[:,3]**(2)*x[:,5]**(-2)*x[:,7]**(2)) + -1.8386712810972707*np.cos(x[:,0]**(-1)*x[:,2]**(2)) + -2.7277446472187093e-8*(x[:,0]**(-2)*x[:,1]**(2)*x[:,2]**(2)*x[:,3]**(-1)) + 3.8091437129009265*np.sin(x[:,1]**(2)*x[:,2]**(2)*x[:,3]**(2)) + 0.6521143250916253*np.cos(x[:,1]**(-1)*x[:,2]*x[:,4]**(2)*x[:,5]**(-2)*x[:,7]) + -149.34586017602368*np.log(x[:,0]**(-2)*x[:,2]**(2)*x[:,5]**(-2)) + 2.1122916619423915*np.cos(x[:,0]**(-2)*x[:,1]**(2)*x[:,4]**(-1)) + 5.124231894471228*np.cos(x[:,0]**(-1)*x[:,1]**(2)*x[:,2]**(2)*x[:,3]**(2)*x[:,4]**(-2)) + -3124.1344534303257*np.sin(x[:,0]*x[:,4]**(-2)) + -43.288541645042294*np.log(x[:,0]**(-2)*x[:,1]**(2)*x[:,2]*x[:,3]**(-2)*x[:,5]**(-2)) + -0.23799215903449378*(x[:,0]**(2)*x[:,2]*x[:,4]) + 22646.749543332782*np.sin(x[:,0]*x[:,1]**(-2)*x[:,2]*x[:,6]) + 194.13399045856346*np.log(x[:,1]**(2)*x[:,2]**(2)*x[:,3]**(-2)*x[:,5]**(-2))"

"[Term Sin (fromList [(0,1),(1,1),(2,2),(5,-1),(7,1)]),Term Cos (fromList [(0,-1),(1,-1),(2,1),(4,1),(5,-1),(7,1)]),Term Id (fromList [(1,-1),(3,-2)]),Term Tanh (fromList [(0,-1),(1,-2),(3,-2),(4,1),(5,-2),(6,-1)]),Term SqrtAbs (fromList [(0,-1),(1,-2),(2,-1),(3,-2),(4,2),(5,2),(6,2)]),Term Cos (fromList [(0,2),(1,-2),(2,2),(3,-2),(4,2)]),Term Cos (fromList [(0,1),(1,1),(2,2),(4,2)]),Term SqrtAbs (fromList [(0,-2),(1,-1),(2,-2),(3,-2),(4,2)]),Term SqrtAbs (fromList [(0,-1),(3,-2),(4,2)]),Term SqrtAbs (fromList [(0,-2),(1,-1),(2,-2),(4,2)]),Term Id (fromList [(0,-1),(1,1),(2,-1),(3,-1),(4,-2)]),Term Id (fromList [(0,2),(1,-1),(3,-1)]),Term Sin (fromList [(0,-2),(1,-2),(2,1),(3,-2),(4,2),(5,-1),(7,2)]),Term Cos (fromList [(1,-1),(4,-2),(6,1)]),Term SqrtAbs (fromList [(0,1),(1,-1),(2,2),(3,-2),(4,2),(5,-2),(6,1)]),Term Tanh (fromList [(0,-2),(1,-2),(2,-2)])]","[1.4106512867242656e9,-0.30142573385394944,0.6389832844210239,-1.948232291978068e9,-2.400064409705857,602354.906345671,2.4321076835903087e8,-3.2015520225820255,-3.352890547129819e8,25844.53015096821,1896530.579671619,542007.1856966139,9.363661091767353e7,-28122.072969660814,-1.6538634535078773e9,25.28928080770668,-5.913776584691315e12]","1.4106512867242656e9 + -0.30142573385394944*np.sin(x[:,0]*x[:,1]*x[:,2]**(2)*x[:,5]**(-1)*x[:,7]) + 0.6389832844210239*np.cos(x[:,0]**(-1)*x[:,1]**(-1)*x[:,2]*x[:,4]*x[:,5]**(-1)*x[:,7]) + -1.948232291978068e9*(x[:,1]**(-1)*x[:,3]**(-2)) + -2.400064409705857*np.tanh(x[:,0]**(-1)*x[:,1]**(-2)*x[:,3]**(-2)*x[:,4]*x[:,5]**(-2)*x[:,6]**(-1)) + 602354.906345671*sqrtAbs(x[:,0]**(-1)*x[:,1]**(-2)*x[:,2]**(-1)*x[:,3]**(-2)*x[:,4]**(2)*x[:,5]**(2)*x[:,6]**(2)) + 2.4321076835903087e8*np.cos(x[:,0]**(2)*x[:,1]**(-2)*x[:,2]**(2)*x[:,3]**(-2)*x[:,4]**(2)) + -3.2015520225820255*np.cos(x[:,0]*x[:,1]*x[:,2]**(2)*x[:,4]**(2)) + -3.352890547129819e8*sqrtAbs(x[:,0]**(-2)*x[:,1]**(-1)*x[:,2]**(-2)*x[:,3]**(-2)*x[:,4]**(2)) + 25844.53015096821*sqrtAbs(x[:,0]**(-1)*x[:,3]**(-2)*x[:,4]**(2)) + 1896530.579671619*sqrtAbs(x[:,0]**(-2)*x[:,1]**(-1)*x[:,2]**(-2)*x[:,4]**(2)) + 542007.1856966139*(x[:,0]**(-1)*x[:,1]*x[:,2]**(-1)*x[:,3]**(-1)*x[:,4]**(-2)) + 9.363661091767353e7*(x[:,0]**(2)*x[:,1]**(-1)*x[:,3]**(-1)) + -28122.072969660814*np.sin(x[:,0]**(-2)*x[:,1]**(-2)*x[:,2]*x[:,3]**(-2)*x[:,4]**(2)*x[:,5]**(-1)*x[:,7]**(2)) + -1.6538634535078773e9*np.cos(x[:,1]**(-1)*x[:,4]**(-2)*x[:,6]) + 25.28928080770668*sqrtAbs(x[:,0]*x[:,1]**(-1)*x[:,2]**(2)*x[:,3]**(-2)*x[:,4]**(2)*x[:,5]**(-2)*x[:,6]) + -5.913776584691315e12*np.tanh(x[:,0]**(-2)*x[:,1]**(-2)*x[:,2]**(-2))"

