expr,weights,python
"[Term Sin (fromList [(1,3)]),Term Cos (fromList [(4,3)]),Term Id (fromList [(1,2),(3,3),(5,-2)]),Term SqrtAbs (fromList [(0,1),(1,1),(2,1)])]","[0.0,0.0,0.0,4.6826180000000004e-4,3.9074689541]","0.0 + 0.0*np.sin(x[:,1]**(3)) + 0.0*np.cos(x[:,4]**(3)) + 4.6826180000000004e-4*(x[:,1]**(2)*x[:,3]**(3)*x[:,5]**(-2)) + 3.9074689541*sqrtAbs(x[:,0]*x[:,1]*x[:,2])"

"[Term Id (fromList [(0,1),(1,1)]),Term SqrtAbs (fromList [(0,1),(2,1),(3,1),(4,2)]),Term Id (fromList [(0,1),(2,1),(3,1),(5,-1)]),Term Id (fromList [(5,-1)])]","[0.3152408091,1.0234571299,0.4175770563,1.2345016533,1.8840618348]","0.3152408091 + 1.0234571299*(x[:,0]*x[:,1]) + 0.4175770563*sqrtAbs(x[:,0]*x[:,2]*x[:,3]*x[:,4]**(2)) + 1.2345016533*(x[:,0]*x[:,2]*x[:,3]*x[:,5]**(-1)) + 1.8840618348*(x[:,5]**(-1))"

"[Term Id (fromList [(0,1),(1,1)])]","[1.3851534815,1.1533146072]","1.3851534815 + 1.1533146072*(x[:,0]*x[:,1])"

"[Term Id (fromList [(0,1),(1,1),(2,1),(4,2),(5,-1)]),Term Sin (fromList [(0,1)])]","[0.9808673794,2.4197592686,7.2003010487]","0.9808673794 + 2.4197592686*(x[:,0]*x[:,1]*x[:,2]*x[:,4]**(2)*x[:,5]**(-1)) + 7.2003010487*np.sin(x[:,0])"

"[Term Id (fromList [(0,1),(1,1),(2,1),(4,1)]),Term Id (fromList [(1,1),(3,1),(4,1),(5,-2)]),Term Id (fromList [(0,1)])]","[0.1180572524,0.5201926749,0.5536885385,6.220048473]","0.1180572524 + 0.5201926749*(x[:,0]*x[:,1]*x[:,2]*x[:,4]) + 0.5536885385*(x[:,1]*x[:,3]*x[:,4]*x[:,5]**(-2)) + 6.220048473*(x[:,0])"

"[Term Id (fromList [(2,1),(3,1),(4,1),(5,-1)]),Term Id (fromList [(0,1),(1,1)]),Term Id (fromList [(0,1)]),Term Tanh (fromList [(0,1),(4,3)])]","[0.0,0.9999999999,1.0000000003,1.9999999949,2.5e-9]","0.0 + 0.9999999999*(x[:,2]*x[:,3]*x[:,4]*x[:,5]**(-1)) + 1.0000000003*(x[:,0]*x[:,1]) + 1.9999999949*(x[:,0]) + 2.5e-9*np.tanh(x[:,0]*x[:,4]**(3))"

"[Term Id (fromList [(0,-2),(2,2),(3,2),(4,3),(5,-3)]),Term Id (fromList [(0,1),(1,1)]),Term SqrtAbs (fromList [(0,1),(2,1),(3,1),(4,1)]),Term Id (fromList [(0,1),(5,-2)])]","[0.0,7.18389482e-2,1.0067366294,0.9190919852,23.5408629818]","0.0 + 7.18389482e-2*(x[:,0]**(-2)*x[:,2]**(2)*x[:,3]**(2)*x[:,4]**(3)*x[:,5]**(-3)) + 1.0067366294*(x[:,0]*x[:,1]) + 0.9190919852*sqrtAbs(x[:,0]*x[:,2]*x[:,3]*x[:,4]) + 23.5408629818*(x[:,0]*x[:,5]**(-2))"

"[Term Tanh (fromList [(0,2)]),Term Id (fromList [(0,1),(1,1)]),Term Id (fromList [(2,1),(3,1),(4,1),(5,-1)]),Term Id (fromList [(0,1)])]","[3.05e-8,1.108e-7,1.0000000004,1.0000000002,1.9999998811000002]","3.05e-8 + 1.108e-7*np.tanh(x[:,0]**(2)) + 1.0000000004*(x[:,0]*x[:,1]) + 1.0000000002*(x[:,2]*x[:,3]*x[:,4]*x[:,5]**(-1)) + 1.9999998811000002*(x[:,0])"

"[Term Id (fromList [(0,2),(4,-2)]),Term Tanh (fromList [(0,1),(2,1),(4,1)]),Term Tanh (fromList [(4,3)]),Term Id (fromList [(0,1),(1,1)])]","[0.0,0.8534737074000001,2.0211195667,1.1081966668,1.0084571938]","0.0 + 0.8534737074000001*(x[:,0]**(2)*x[:,4]**(-2)) + 2.0211195667*np.tanh(x[:,0]*x[:,2]*x[:,4]) + 1.1081966668*np.tanh(x[:,4]**(3)) + 1.0084571938*(x[:,0]*x[:,1])"

"[Term SqrtAbs (fromList [(4,-1)]),Term SqrtAbs (fromList [(2,1),(4,3)]),Term SqrtAbs (fromList [(2,1),(3,1)])]","[-0.5187581782079982,4.30984563768183,1.7110333415800287,0.7566566592897295]","-0.5187581782079982 + 4.30984563768183*sqrtAbs(x[:,4]**(-1)) + 1.7110333415800287*sqrtAbs(x[:,2]*x[:,4]**(3)) + 0.7566566592897295*sqrtAbs(x[:,2]*x[:,3])"

"[Term Id (fromList [(0,1)]),Term Tanh (fromList [(0,1),(2,1)]),Term Id (fromList [(2,1),(3,1),(4,1)]),Term Id (fromList [(0,1),(1,1)])]","[6.26478259e-2,1.9889852994000001,0.0,0.16032070810000001,1.0011670910000001]","6.26478259e-2 + 1.9889852994000001*(x[:,0]) + 0.0*np.tanh(x[:,0]*x[:,2]) + 0.16032070810000001*(x[:,2]*x[:,3]*x[:,4]) + 1.0011670910000001*(x[:,0]*x[:,1])"

"[Term Cos (fromList [(4,3),(5,2)]),Term SqrtAbs (fromList [(0,1),(1,3),(2,-3),(4,1),(5,2)]),Term Sin (fromList [(0,1),(2,1)])]","[0.0,0.0,8.3959418e-3,13.122029210700001]","0.0 + 0.0*np.cos(x[:,4]**(3)*x[:,5]**(2)) + 8.3959418e-3*sqrtAbs(x[:,0]*x[:,1]**(3)*x[:,2]**(-3)*x[:,4]*x[:,5]**(2)) + 13.122029210700001*np.sin(x[:,0]*x[:,2])"

"[Term Id (fromList [(0,2),(2,1),(4,3)]),Term Id (fromList [(2,1)]),Term Id (fromList [(4,1),(5,-2)]),Term Tanh (fromList [(0,1)])]","[0.0,1.1517844795,1.4455983884,13.2345294804,9.3522102396]","0.0 + 1.1517844795*(x[:,0]**(2)*x[:,2]*x[:,4]**(3)) + 1.4455983884*(x[:,2]) + 13.2345294804*(x[:,4]*x[:,5]**(-2)) + 9.3522102396*np.tanh(x[:,0])"

