expr,weights,python
"[Term Tanh (fromList [(0,2),(1,1),(4,-1),(5,3)]),Term Tanh (fromList [(0,-2),(2,-2),(4,1),(5,3)]),Term Tanh (fromList [(0,-2),(1,-3),(2,-1),(3,-2),(4,-3),(5,3)]),Term Sin (fromList [(0,3),(1,-1),(2,-2),(4,1),(5,3)]),Term SqrtAbs (fromList [(0,1),(1,-3),(2,-3),(5,3)]),Term Log (fromList [(1,2),(3,-3),(4,2),(5,3)]),Term Sin (fromList [(1,-3),(2,3),(3,-3),(5,3)]),Term Tanh (fromList [(1,-3),(2,-1),(3,2),(4,-3),(5,-1)]),Term Tanh (fromList [(0,-1),(1,-3),(2,-3),(3,-2),(4,3),(5,3)]),Term Tanh (fromList [(0,-3),(1,-3),(2,1),(3,-2),(4,2),(5,3)]),Term Tanh (fromList [(0,3),(1,-3),(2,2)]),Term Sin (fromList [(0,2),(1,-3),(5,3)]),Term Tanh (fromList [(1,-3),(2,-3),(3,2),(4,3),(5,2)]),Term Cos (fromList [(3,2),(5,2)]),Term Tanh (fromList [(2,-2),(4,1),(5,-3)]),Term Cos (fromList [(1,-1),(2,-2),(4,1),(5,3)])]","[93691.81901728654,-5.64420944784002,-4640.595931101098,72037.0095671245,1.4712645822955122,35.26324126749182,0.40088058881351885,-6.476873861228499,-4.214818856853168,2602.284813893657,-87.85437967883561,-69910.70285004965,-0.4382365434721426,1.3818431570642247,-0.523422489854024,-168.79907454568746,-163426.09686780334]","93691.81901728654 + -5.64420944784002*np.tanh(x[:,0]**(2)*x[:,1]*x[:,4]**(-1)*x[:,5]**(3)) + -4640.595931101098*np.tanh(x[:,0]**(-2)*x[:,2]**(-2)*x[:,4]*x[:,5]**(3)) + 72037.0095671245*np.tanh(x[:,0]**(-2)*x[:,1]**(-3)*x[:,2]**(-1)*x[:,3]**(-2)*x[:,4]**(-3)*x[:,5]**(3)) + 1.4712645822955122*np.sin(x[:,0]**(3)*x[:,1]**(-1)*x[:,2]**(-2)*x[:,4]*x[:,5]**(3)) + 35.26324126749182*sqrtAbs(x[:,0]*x[:,1]**(-3)*x[:,2]**(-3)*x[:,5]**(3)) + 0.40088058881351885*np.log(x[:,1]**(2)*x[:,3]**(-3)*x[:,4]**(2)*x[:,5]**(3)) + -6.476873861228499*np.sin(x[:,1]**(-3)*x[:,2]**(3)*x[:,3]**(-3)*x[:,5]**(3)) + -4.214818856853168*np.tanh(x[:,1]**(-3)*x[:,2]**(-1)*x[:,3]**(2)*x[:,4]**(-3)*x[:,5]**(-1)) + 2602.284813893657*np.tanh(x[:,0]**(-1)*x[:,1]**(-3)*x[:,2]**(-3)*x[:,3]**(-2)*x[:,4]**(3)*x[:,5]**(3)) + -87.85437967883561*np.tanh(x[:,0]**(-3)*x[:,1]**(-3)*x[:,2]*x[:,3]**(-2)*x[:,4]**(2)*x[:,5]**(3)) + -69910.70285004965*np.tanh(x[:,0]**(3)*x[:,1]**(-3)*x[:,2]**(2)) + -0.4382365434721426*np.sin(x[:,0]**(2)*x[:,1]**(-3)*x[:,5]**(3)) + 1.3818431570642247*np.tanh(x[:,1]**(-3)*x[:,2]**(-3)*x[:,3]**(2)*x[:,4]**(3)*x[:,5]**(2)) + -0.523422489854024*np.cos(x[:,3]**(2)*x[:,5]**(2)) + -168.79907454568746*np.tanh(x[:,2]**(-2)*x[:,4]*x[:,5]**(-3)) + -163426.09686780334*np.cos(x[:,1]**(-1)*x[:,2]**(-2)*x[:,4]*x[:,5]**(3))"

"[Term Sin (fromList [(0,3),(4,1)]),Term Id (fromList [(0,3),(1,3),(2,-2),(4,-1),(5,-1)]),Term Cos (fromList [(5,3)]),Term Tanh (fromList [(0,1),(2,-1),(3,-3),(5,3)]),Term Id (fromList [(0,3),(1,-2),(2,-1),(4,-3),(5,-2)]),Term Exp (fromList [(0,3),(1,3),(3,2),(5,3)]),Term Cos (fromList [(1,-1),(2,-1),(3,-1),(4,-1),(5,3)]),Term Sin (fromList [(0,3),(1,3),(3,-3),(4,-2),(5,-2)]),Term Tanh (fromList [(0,-1),(1,-2),(3,-3),(4,-2)]),Term SqrtAbs (fromList [(0,1),(1,2),(4,-2),(5,2)]),Term Id (fromList [(0,3),(1,2),(3,2),(4,-2),(5,2)]),Term SqrtAbs (fromList [(0,3),(2,1),(4,-3),(5,-3)]),Term Id (fromList [(1,3),(2,-1),(5,1)]),Term Tanh (fromList [(0,3),(1,-2),(2,-1),(4,-2),(5,-2)]),Term Cos (fromList [(0,3),(1,-2),(5,2)]),Term Sin (fromList [(1,3),(5,3)])]","[1725657.7950644544,0.18847913777666894,2.381682125067254,-17262.582729765258,3270.655824770739,-3.9764605868237095e-2,-9.4861607149811,-1707995.3255162898,4.888201210658333,-394.1633307148734,-164.8943036781476,-1.3498145216505086,-4.388106136102642e-3,1098.745925298036,388.9858049579681,-0.6350778103964415,-2232.106695370424]","1725657.7950644544 + 0.18847913777666894*np.sin(x[:,0]**(3)*x[:,4]) + 2.381682125067254*(x[:,0]**(3)*x[:,1]**(3)*x[:,2]**(-2)*x[:,4]**(-1)*x[:,5]**(-1)) + -17262.582729765258*np.cos(x[:,5]**(3)) + 3270.655824770739*np.tanh(x[:,0]*x[:,2]**(-1)*x[:,3]**(-3)*x[:,5]**(3)) + -3.9764605868237095e-2*(x[:,0]**(3)*x[:,1]**(-2)*x[:,2]**(-1)*x[:,4]**(-3)*x[:,5]**(-2)) + -9.4861607149811*np.exp(x[:,0]**(3)*x[:,1]**(3)*x[:,3]**(2)*x[:,5]**(3)) + -1707995.3255162898*np.cos(x[:,1]**(-1)*x[:,2]**(-1)*x[:,3]**(-1)*x[:,4]**(-1)*x[:,5]**(3)) + 4.888201210658333*np.sin(x[:,0]**(3)*x[:,1]**(3)*x[:,3]**(-3)*x[:,4]**(-2)*x[:,5]**(-2)) + -394.1633307148734*np.tanh(x[:,0]**(-1)*x[:,1]**(-2)*x[:,3]**(-3)*x[:,4]**(-2)) + -164.8943036781476*sqrtAbs(x[:,0]*x[:,1]**(2)*x[:,4]**(-2)*x[:,5]**(2)) + -1.3498145216505086*(x[:,0]**(3)*x[:,1]**(2)*x[:,3]**(2)*x[:,4]**(-2)*x[:,5]**(2)) + -4.388106136102642e-3*sqrtAbs(x[:,0]**(3)*x[:,2]*x[:,4]**(-3)*x[:,5]**(-3)) + 1098.745925298036*(x[:,1]**(3)*x[:,2]**(-1)*x[:,5]) + 388.9858049579681*np.tanh(x[:,0]**(3)*x[:,1]**(-2)*x[:,2]**(-1)*x[:,4]**(-2)*x[:,5]**(-2)) + -0.6350778103964415*np.cos(x[:,0]**(3)*x[:,1]**(-2)*x[:,5]**(2)) + -2232.106695370424*np.sin(x[:,1]**(3)*x[:,5]**(3))"

"[Term Cos (fromList [(2,1),(4,-2),(5,3)]),Term Tanh (fromList [(0,3),(1,-1),(2,-1),(3,-3),(4,1)]),Term Exp (fromList [(0,3),(2,-2),(3,3),(4,-2),(5,1)]),Term Tanh (fromList [(0,2),(1,2),(2,3),(3,-2),(5,3)]),Term Tanh (fromList [(0,-2),(2,-3),(3,-2),(5,3)]),Term SqrtAbs (fromList [(1,-3),(2,-3),(3,3),(4,-1),(5,3)]),Term Tanh (fromList [(1,2),(3,-2),(5,3)]),Term Id (fromList [(1,-3),(2,2),(3,-1),(4,-2)]),Term SqrtAbs (fromList [(0,1),(1,-1),(2,-1),(3,-2),(4,3),(5,3)]),Term Log (fromList [(1,3),(2,3),(3,-3),(4,-3),(5,-3)]),Term Exp (fromList [(1,-3),(2,-1),(3,-3),(5,3)]),Term Tanh (fromList [(0,1),(1,-3),(2,-3),(3,2),(4,1),(5,3)]),Term Exp (fromList [(0,3),(2,-2),(4,-2),(5,3)]),Term Tanh (fromList [(1,-3),(2,-3),(4,3),(5,3)]),Term Tanh (fromList [(0,1),(2,-3),(3,-3),(4,3),(5,3)]),Term Cos (fromList [(1,-1),(2,-1),(4,1),(5,3)])]","[19831.823566046976,-11089.613052680059,-0.48397393205256867,2.271867854886141,1.892407233412286,0.7681366937711862,21.419149034642462,-5762.150035509947,-0.3025782107565289,23.949571159190505,-1.2461604982248236,2951.2809982216518,25.85607163044343,-207.33965131883167,-180.26502103296517,2381.2582433966845,-11486.397916924601]","19831.823566046976 + -11089.613052680059*np.cos(x[:,2]*x[:,4]**(-2)*x[:,5]**(3)) + -0.48397393205256867*np.tanh(x[:,0]**(3)*x[:,1]**(-1)*x[:,2]**(-1)*x[:,3]**(-3)*x[:,4]) + 2.271867854886141*np.exp(x[:,0]**(3)*x[:,2]**(-2)*x[:,3]**(3)*x[:,4]**(-2)*x[:,5]) + 1.892407233412286*np.tanh(x[:,0]**(2)*x[:,1]**(2)*x[:,2]**(3)*x[:,3]**(-2)*x[:,5]**(3)) + 0.7681366937711862*np.tanh(x[:,0]**(-2)*x[:,2]**(-3)*x[:,3]**(-2)*x[:,5]**(3)) + 21.419149034642462*sqrtAbs(x[:,1]**(-3)*x[:,2]**(-3)*x[:,3]**(3)*x[:,4]**(-1)*x[:,5]**(3)) + -5762.150035509947*np.tanh(x[:,1]**(2)*x[:,3]**(-2)*x[:,5]**(3)) + -0.3025782107565289*(x[:,1]**(-3)*x[:,2]**(2)*x[:,3]**(-1)*x[:,4]**(-2)) + 23.949571159190505*sqrtAbs(x[:,0]*x[:,1]**(-1)*x[:,2]**(-1)*x[:,3]**(-2)*x[:,4]**(3)*x[:,5]**(3)) + -1.2461604982248236*np.log(x[:,1]**(3)*x[:,2]**(3)*x[:,3]**(-3)*x[:,4]**(-3)*x[:,5]**(-3)) + 2951.2809982216518*np.exp(x[:,1]**(-3)*x[:,2]**(-1)*x[:,3]**(-3)*x[:,5]**(3)) + 25.85607163044343*np.tanh(x[:,0]*x[:,1]**(-3)*x[:,2]**(-3)*x[:,3]**(2)*x[:,4]*x[:,5]**(3)) + -207.33965131883167*np.exp(x[:,0]**(3)*x[:,2]**(-2)*x[:,4]**(-2)*x[:,5]**(3)) + -180.26502103296517*np.tanh(x[:,1]**(-3)*x[:,2]**(-3)*x[:,4]**(3)*x[:,5]**(3)) + 2381.2582433966845*np.tanh(x[:,0]*x[:,2]**(-3)*x[:,3]**(-3)*x[:,4]**(3)*x[:,5]**(3)) + -11486.397916924601*np.cos(x[:,1]**(-1)*x[:,2]**(-1)*x[:,4]*x[:,5]**(3))"

"[Term Exp (fromList [(0,2),(1,3),(2,1),(4,-2),(5,3)]),Term Exp (fromList [(1,-2),(2,2),(3,-1),(5,2)]),Term Cos (fromList [(0,3),(1,1),(2,3),(3,-1),(4,-1)]),Term Exp (fromList [(0,1),(1,2),(5,-2)]),Term Tanh (fromList [(0,3),(2,-3),(4,2),(5,-3)]),Term Sin (fromList [(0,2),(3,-3),(5,-2)]),Term Tanh (fromList [(0,-3),(1,3),(2,-1),(4,-2),(5,1)]),Term Sin (fromList [(0,1),(1,2)]),Term Tanh (fromList [(0,-2),(5,-3)]),Term Tanh (fromList [(0,-3),(1,3),(2,2),(3,2),(5,3)]),Term Tanh (fromList [(0,-1),(1,-3),(2,1),(3,-1),(4,-3),(5,-3)]),Term Exp (fromList [(0,1),(2,3),(4,-3),(5,-1)]),Term Tanh (fromList [(0,-2),(1,2),(2,-1),(3,1),(5,3)]),Term Sin (fromList [(1,-3),(2,1),(5,2)]),Term Cos (fromList [(1,1),(2,-3),(5,2)]),Term Cos (fromList [(2,-1),(5,3)])]","[-2.3747239170429695e7,23.05183493648713,5.475418825850967e-2,-9.334540889702626e-2,69.48937261861114,139743.89595851774,-8.66801604282113e-2,-27110.409099963385,-1.648166017840317,7.663048765621095,-20.468882742649512,-0.6283505811843915,-108447.25205842202,-4231.9387867865935,1.759402582022955,2.426236312632899e7,-375414.08445842186]","-2.3747239170429695e7 + 23.05183493648713*np.exp(x[:,0]**(2)*x[:,1]**(3)*x[:,2]*x[:,4]**(-2)*x[:,5]**(3)) + 5.475418825850967e-2*np.exp(x[:,1]**(-2)*x[:,2]**(2)*x[:,3]**(-1)*x[:,5]**(2)) + -9.334540889702626e-2*np.cos(x[:,0]**(3)*x[:,1]*x[:,2]**(3)*x[:,3]**(-1)*x[:,4]**(-1)) + 69.48937261861114*np.exp(x[:,0]*x[:,1]**(2)*x[:,5]**(-2)) + 139743.89595851774*np.tanh(x[:,0]**(3)*x[:,2]**(-3)*x[:,4]**(2)*x[:,5]**(-3)) + -8.66801604282113e-2*np.sin(x[:,0]**(2)*x[:,3]**(-3)*x[:,5]**(-2)) + -27110.409099963385*np.tanh(x[:,0]**(-3)*x[:,1]**(3)*x[:,2]**(-1)*x[:,4]**(-2)*x[:,5]) + -1.648166017840317*np.sin(x[:,0]*x[:,1]**(2)) + 7.663048765621095*np.tanh(x[:,0]**(-2)*x[:,5]**(-3)) + -20.468882742649512*np.tanh(x[:,0]**(-3)*x[:,1]**(3)*x[:,2]**(2)*x[:,3]**(2)*x[:,5]**(3)) + -0.6283505811843915*np.tanh(x[:,0]**(-1)*x[:,1]**(-3)*x[:,2]*x[:,3]**(-1)*x[:,4]**(-3)*x[:,5]**(-3)) + -108447.25205842202*np.exp(x[:,0]*x[:,2]**(3)*x[:,4]**(-3)*x[:,5]**(-1)) + -4231.9387867865935*np.tanh(x[:,0]**(-2)*x[:,1]**(2)*x[:,2]**(-1)*x[:,3]*x[:,5]**(3)) + 1.759402582022955*np.sin(x[:,1]**(-3)*x[:,2]*x[:,5]**(2)) + 2.426236312632899e7*np.cos(x[:,1]*x[:,2]**(-3)*x[:,5]**(2)) + -375414.08445842186*np.cos(x[:,2]**(-1)*x[:,5]**(3))"

"[Term Cos (fromList [(4,1),(5,3)]),Term Tanh (fromList [(0,-3),(2,3),(4,-1),(5,3)]),Term SqrtAbs (fromList [(0,3),(1,-3),(2,2),(3,-1),(4,1),(5,3)]),Term Tanh (fromList [(0,-3),(1,3),(2,-1),(3,-1),(4,-3),(5,3)]),Term SqrtAbs (fromList [(0,3),(2,3),(4,2),(5,2)]),Term Id (fromList [(1,-3),(2,3),(3,-2),(4,-1),(5,3)]),Term Cos (fromList [(0,1),(1,3),(3,3),(4,-1),(5,2)]),Term Exp (fromList [(0,3),(1,-2),(3,3)]),Term Cos (fromList [(5,3)]),Term Tanh (fromList [(0,1),(1,-3),(2,1),(3,-3),(4,2),(5,3)]),Term Sin (fromList [(0,3),(1,-3),(2,-1),(3,-3),(4,2),(5,3)]),Term Cos (fromList [(1,-3),(2,3),(3,-1),(4,-1),(5,3)]),Term Exp (fromList [(0,3),(2,1),(3,-1),(4,-2),(5,-1)]),Term Tanh (fromList [(0,-3),(2,3),(5,2)]),Term Tanh (fromList [(0,-3),(1,-3),(3,-3),(4,1),(5,3)]),Term Sin (fromList [(0,1),(2,1),(4,2),(5,3)])]","[16372.481070846829,434.46075876225325,26.486444379391155,-4.849131277298252e-2,894648.2232329636,1.9113938794274088e-2,6.726732371246996,0.8307544640948228,-894301.6964974637,-16811.941073126192,5.617577456477389,-3.814561508693322,3.5981639733967334,89.11666880500428,-3.926071383763279,-457.5252548154349,-0.24321812607563134]","16372.481070846829 + 434.46075876225325*np.cos(x[:,4]*x[:,5]**(3)) + 26.486444379391155*np.tanh(x[:,0]**(-3)*x[:,2]**(3)*x[:,4]**(-1)*x[:,5]**(3)) + -4.849131277298252e-2*sqrtAbs(x[:,0]**(3)*x[:,1]**(-3)*x[:,2]**(2)*x[:,3]**(-1)*x[:,4]*x[:,5]**(3)) + 894648.2232329636*np.tanh(x[:,0]**(-3)*x[:,1]**(3)*x[:,2]**(-1)*x[:,3]**(-1)*x[:,4]**(-3)*x[:,5]**(3)) + 1.9113938794274088e-2*sqrtAbs(x[:,0]**(3)*x[:,2]**(3)*x[:,4]**(2)*x[:,5]**(2)) + 6.726732371246996*(x[:,1]**(-3)*x[:,2]**(3)*x[:,3]**(-2)*x[:,4]**(-1)*x[:,5]**(3)) + 0.8307544640948228*np.cos(x[:,0]*x[:,1]**(3)*x[:,3]**(3)*x[:,4]**(-1)*x[:,5]**(2)) + -894301.6964974637*np.exp(x[:,0]**(3)*x[:,1]**(-2)*x[:,3]**(3)) + -16811.941073126192*np.cos(x[:,5]**(3)) + 5.617577456477389*np.tanh(x[:,0]*x[:,1]**(-3)*x[:,2]*x[:,3]**(-3)*x[:,4]**(2)*x[:,5]**(3)) + -3.814561508693322*np.sin(x[:,0]**(3)*x[:,1]**(-3)*x[:,2]**(-1)*x[:,3]**(-3)*x[:,4]**(2)*x[:,5]**(3)) + 3.5981639733967334*np.cos(x[:,1]**(-3)*x[:,2]**(3)*x[:,3]**(-1)*x[:,4]**(-1)*x[:,5]**(3)) + 89.11666880500428*np.exp(x[:,0]**(3)*x[:,2]*x[:,3]**(-1)*x[:,4]**(-2)*x[:,5]**(-1)) + -3.926071383763279*np.tanh(x[:,0]**(-3)*x[:,2]**(3)*x[:,5]**(2)) + -457.5252548154349*np.tanh(x[:,0]**(-3)*x[:,1]**(-3)*x[:,3]**(-3)*x[:,4]*x[:,5]**(3)) + -0.24321812607563134*np.sin(x[:,0]*x[:,2]*x[:,4]**(2)*x[:,5]**(3))"

