expr,weights,python
"[Term Cos (fromList [(3,3),(4,3)]),Term SqrtAbs (fromList [(0,3),(1,2),(2,3),(3,-2),(4,-2)]),Term Id (fromList [(3,-2)]),Term Tanh (fromList [(2,3)])]","[0.0,0.0,7.033884e-4,0.45148321490000004,33.6700926059]","0.0 + 0.0*np.cos(x[:,3]**(3)*x[:,4]**(3)) + 7.033884e-4*sqrtAbs(x[:,0]**(3)*x[:,1]**(2)*x[:,2]**(3)*x[:,3]**(-2)*x[:,4]**(-2)) + 0.45148321490000004*(x[:,3]**(-2)) + 33.6700926059*np.tanh(x[:,2]**(3))"

"[Term Exp (fromList [(4,1)]),Term Log (fromList [(2,3),(3,-1)]),Term SqrtAbs (fromList [(3,-2)]),Term SqrtAbs (fromList [(1,2)])]","[0.0,4.65282e-5,10.1292534963,0.8682017021,0.46595206840000003]","0.0 + 4.65282e-5*np.exp(x[:,4]) + 10.1292534963*np.log(x[:,2]**(3)*x[:,3]**(-1)) + 0.8682017021*sqrtAbs(x[:,3]**(-2)) + 0.46595206840000003*sqrtAbs(x[:,1]**(2))"

"[Term Log (fromList [(4,1)]),Term Log (fromList [(2,2),(3,-2)]),Term SqrtAbs (fromList [(3,-2)])]","[12.310782627705839,0.333271337151845,14.679789986659808,-5.0692544967046445]","12.310782627705839 + 0.333271337151845*np.log(x[:,4]) + 14.679789986659808*np.log(x[:,2]**(2)*x[:,3]**(-2)) + -5.0692544967046445*sqrtAbs(x[:,3]**(-2))"

"[Term Log (fromList [(0,2),(3,-3),(4,1)]),Term SqrtAbs (fromList [(1,1)]),Term SqrtAbs (fromList [(3,-2)]),Term SqrtAbs (fromList [(2,-2),(3,1)])]","[0.7169714933268271,1.704774573160175,5.014137414424115,-2.138613976123263,-32.866456276034775]","0.7169714933268271 + 1.704774573160175*np.log(x[:,0]**(2)*x[:,3]**(-3)*x[:,4]) + 5.014137414424115*sqrtAbs(x[:,1]) + -2.138613976123263*sqrtAbs(x[:,3]**(-2)) + -32.866456276034775*sqrtAbs(x[:,2]**(-2)*x[:,3])"

"[Term SqrtAbs (fromList [(0,-1),(2,-3),(3,3)]),Term Id (fromList [(3,1)]),Term Log (fromList [(0,-1),(1,-2),(2,-2)]),Term Cos (fromList [(2,1)])]","[-35.33932668874805,-132.61418492921933,-11.978953856214794,-7.215371000022249,-14.524170075655867]","-35.33932668874805 + -132.61418492921933*sqrtAbs(x[:,0]**(-1)*x[:,2]**(-3)*x[:,3]**(3)) + -11.978953856214794*(x[:,3]) + -7.215371000022249*np.log(x[:,0]**(-1)*x[:,1]**(-2)*x[:,2]**(-2)) + -14.524170075655867*np.cos(x[:,2])"

"[Term Id (fromList [(3,2)]),Term Tanh (fromList [(4,-3)]),Term Sin (fromList [(2,1)]),Term SqrtAbs (fromList [(2,2)])]","[-13.809644359296144,-59.81178125567982,3.5337210889672592,103.86702983814973,-37.969956661112754]","-13.809644359296144 + -59.81178125567982*(x[:,3]**(2)) + 3.5337210889672592*np.tanh(x[:,4]**(-3)) + 103.86702983814973*np.sin(x[:,2]) + -37.969956661112754*sqrtAbs(x[:,2]**(2))"

"[Term Exp (fromList [(3,2)]),Term Log (fromList [(0,-3),(2,-3)]),Term Log (fromList [(1,-3),(2,-3),(3,1)]),Term Tanh (fromList [(2,-2),(3,3)])]","[-59.71436952815492,-9.069341118017348,-3.8094348625138013,-4.540548705266755,-22.369455694876123]","-59.71436952815492 + -9.069341118017348*np.exp(x[:,3]**(2)) + -3.8094348625138013*np.log(x[:,0]**(-3)*x[:,2]**(-3)) + -4.540548705266755*np.log(x[:,1]**(-3)*x[:,2]**(-3)*x[:,3]) + -22.369455694876123*np.tanh(x[:,2]**(-2)*x[:,3]**(3))"

"[Term Log (fromList [(0,3),(3,-1),(4,1)]),Term Log (fromList [(2,3),(3,-2)]),Term Log (fromList [(3,-3)]),Term Id (fromList [(3,-1)])]","[3.1738807429890126,0.5517208138645365,9.557692906158167,7.068891585402903,-8.639035710559225]","3.1738807429890126 + 0.5517208138645365*np.log(x[:,0]**(3)*x[:,3]**(-1)*x[:,4]) + 9.557692906158167*np.log(x[:,2]**(3)*x[:,3]**(-2)) + 7.068891585402903*np.log(x[:,3]**(-3)) + -8.639035710559225*(x[:,3]**(-1))"

"[Term Tanh (fromList [(2,2)]),Term Tanh (fromList [(2,3),(4,1)]),Term Exp (fromList [(2,3)]),Term Exp (fromList [(3,1)])]","[49.07920650624888,59.63559830375252,1.743468184436919,-12.306526005797188,-29.296631870096046]","49.07920650624888 + 59.63559830375252*np.tanh(x[:,2]**(2)) + 1.743468184436919*np.tanh(x[:,2]**(3)*x[:,4]) + -12.306526005797188*np.exp(x[:,2]**(3)) + -29.296631870096046*np.exp(x[:,3])"

"[Term Tanh (fromList [(3,1)]),Term Log (fromList [(1,2),(2,3),(3,-3)]),Term Log (fromList [(4,3)]),Term SqrtAbs (fromList [(3,-3)])]","[-63.12427650675463,2.7260129677477565,9.674741770130193,0.18913826989911522,-1.7399581980684777]","-63.12427650675463 + 2.7260129677477565*np.tanh(x[:,3]) + 9.674741770130193*np.log(x[:,1]**(2)*x[:,2]**(3)*x[:,3]**(-3)) + 0.18913826989911522*np.log(x[:,4]**(3)) + -1.7399581980684777*sqrtAbs(x[:,3]**(-3))"

