mom;Bx;By;Bz;E_n;E_n_noise_0.05;E_n_noise_0.1;E_n_noise_0.3;E_n_noise_1
3.079271536;4.786679801;1.867425937;4.837256615;21.72984886;22.94328077;18.52240893;19.28660864;14.29802304
1.184884601;2.947209842;3.894779344;2.926909453;6.746786497;6.141972362;5.702059621;8.135050068;10.58456993
1.54058757;2.340988707;3.250601862;2.283182312;7.103355437;8.06814932;7.480574608;4.084568928;3.706561926
2.618802708;1.262712138;4.328811647;1.361155647;12.3350325;13.43038288;9.096012985;16.21679673;7.675002771
2.825973306;1.578902157;4.96684694;2.222160586;16.01120219;15.34471984;15.75466031;12.37085116;6.199301708
4.353194096;3.52586321;2.573836897;3.600408201;24.63280448;23.21681576;24.60177164;25.34062208;15.40917156
1.797117476;2.541307673;3.914895158;1.149921645;8.638691287;8.217161014;8.018265617;6.526235805;22.23253216
3.118699758;4.762876243;1.828731644;4.861304494;21.9777697;23.70794052;23.32586058;23.05453084;19.34798349
1.346461436;3.754124392;4.228372603;1.106513183;7.757879905;7.290532614;9.172720906;13.15836277;21.99640548
1.334889591;1.69587618;2.617089561;4.137143079;6.915849843;8.269512419;5.355211973;6.766673938;8.186689537
1.899033711;2.627842447;3.750441386;1.047976932;8.921340661;10.00663695;10.18660317;12.04216248;2.245047341
2.88124738;1.237063413;4.171375116;1.138756217;12.95839591;12.52099263;15.76196741;13.56080758;-2.028566941
1.208725019;3.552052283;4.641196077;3.099308061;7.996196729;9.67716647;7.947671681;3.224080134;8.915158675
2.733451263;4.099207767;2.965500957;2.906048731;15.94865618;14.5813026;16.93741986;11.70043899;11.75341961
1.393263036;4.421626918;4.822165783;4.657439595;11.18919569;10.61828501;10.47783742;10.33306676;0.001873734
2.310338472;3.841345796;3.006327059;4.656243905;15.57972551;12.81323028;12.56592753;13.82902413;15.57322825
3.005217799;3.751059935;1.548283018;3.866920921;16.84550125;16.46287287;22.02916034;18.90465664;19.53985461
2.634837343;3.954674976;1.13782113;1.680049635;11.71144679;12.4273097;13.23403959;0.874967591;31.25609667
1.625924952;3.88456096;1.228756924;2.40693695;7.694079411;9.410959468;11.20829611;7.322202192;13.5763765
3.496821599;4.153647986;3.800151627;2.2002623;21.136283;21.17133684;16.40610162;17.99110136;17.66385322
3.818204661;4.798058998;1.628201176;1.60643488;20.29512884;18.79804205;18.12283184;19.97278457;12.67356787
4.343504442;3.083291193;3.750188773;1.534787377;22.11614735;22.65243911;23.84772482;21.94565901;21.57586557
3.071881381;4.386303329;3.51668514;1.534700557;17.90198989;18.32446188;16.35504108;17.18591244;22.64657511
2.077418681;3.937359674;3.988521921;4.608046234;15.073129;15.45476922;15.23040245;13.92535315;12.89359223
1.42665652;4.308027543;1.818944451;3.982203596;8.762691784;5.828413473;10.11494389;11.77991016;16.23881335
