I1;I2;delta;Int;Int_noise_0.05;Int_noise_0.1;Int_noise_0.3;Int_noise_1
4.125501674;3.062450343;3.920593192;2.12913859;2.751654182;3.39250852;0.912003181;6.145691668
2.106437532;1.206589153;1.81525197;2.541324117;2.770951524;0.748126849;2.013671473;6.196656426
2.742312517;1.569647738;1.459032957;4.774750875;6.286752855;5.240099538;2.734183392;5.473671062
1.66409678;2.522922787;2.380998146;1.218325241;0.128354499;1.787298992;1.27090608;1.137544661
3.558600408;1.430662233;3.837403755;1.52559825;1.103983015;3.654529806;2.613789856;2.130703627
3.434390544;4.256942725;4.646321326;7.186466676;7.503655908;7.000387295;8.649342135;9.329205779
4.567509226;2.442771302;4.788611438;7.518994249;7.985468897;8.264298318;7.239420274;6.922629351
4.164199765;3.022774057;3.880918144;1.943755745;1.816125078;1.98059453;1.874810317;-1.111031364
2.644425032;4.583746982;4.213015501;3.893687752;3.236057737;3.80615208;3.80326558;2.638534905
3.4130288;3.883734127;4.224381391;3.882677593;4.477807563;3.26797902;3.859550314;-4.253010733
4.731958995;2.357202083;4.889802538;8.268001506;6.815448822;7.158982763;11.60057547;5.245476361
1.835748441;2.977278236;2.11903672;2.376117782;2.968352339;2.478112954;2.341459271;3.624287141
3.731103539;2.92483327;3.417942805;0.299696339;-0.069105984;-0.978283764;0.626210867;-2.441824476
2.199540652;3.932833344;3.856543037;1.690481378;1.92076459;2.342929451;2.151187924;6.001368901
2.521782179;1.233098641;4.413906412;2.717749567;2.12580969;2.258198959;1.623845004;-2.788541084
3.81167385;1.712154132;2.737751465;0.825551239;0.742768933;1.685885845;3.353118805;-3.393065159
2.233766436;4.342041936;1.147919144;9.131969928;8.441201073;8.31424768;8.614733103;6.587796459
1.631135218;4.783536268;1.801946549;5.134790775;5.071828491;4.681665099;-0.098996641;3.306616834
2.723551901;3.565224185;1.040351715;9.441750433;8.696575199;10.26609639;12.08956022;8.388502774
2.221409558;1.351248957;4.374553424;2.424175744;2.035553353;3.119223026;4.115641723;0.131950564
3.751505311;4.554076947;2.534459249;1.516238196;2.539352282;0.871662404;4.858309965;5.507457375
3.942853932;1.908413195;4.147495433;2.914362762;2.232273485;3.643712514;4.666418513;4.911434408
3.615669381;4.935459265;2.557928357;1.501148526;1.077554984;1.23150223;2.616733518;0.860617798
3.840449091;1.929904587;2.768086545;0.700870609;0.379198788;2.405525897;2.494881469;0.036395882
