epsilon;p_d;r;x;y;z;Ef;Ef_noise_0.05;Ef_noise_0.1;Ef_noise_0.3;Ef_noise_1
1.677249;1.111118572;1.815465317;2.72864229;1.676021712;1.370791546;0.035201724;0.043726248;-0.104667289;-0.059723701;-0.386419079
2.691159818;2.007777879;2.80196686;1.652458587;2.68945569;2.263241224;0.007367425;0.009740391;0.081623682;0.326772828;0.569727646
2.884587773;2.325777809;2.624362775;1.959413884;2.88323466;2.070195749;0.011158812;-0.062585892;0.024549147;0.119345028;-0.144117848
2.407981435;2.849168423;2.085251931;1.498430702;2.406715997;2.60933541;0.053000038;0.032790683;0.092819034;-0.061548131;0.184904922
1.770439347;1.33882841;2.841752599;2.525409078;2.733645971;1.646986468;0.005970997;-0.053484122;0.207508919;-0.130991723;0.011567937
1.046234238;1.728360181;1.461083687;2.11389931;1.045802888;1.971334527;0.275377069;0.289692498;0.2948819;-0.031950622;0.262332153
1.293516981;1.844065226;2.348030587;2.037346159;2.210084544;1.169127865;0.016758261;-0.041889494;0.130522203;-0.208151865;0.212547528
1.658021466;1.099219972;1.835303483;2.748478378;1.656675981;1.359253358;0.033155701;0.051449812;0.035326393;0.326502271;-0.260760225
2.688666305;2.647666618;1.915491408;1.192364252;2.575050371;2.971797395;0.076881963;-0.058439891;-0.00670241;-0.155787316;0.01091463
2.043698357;1.688184467;1.815587137;1.407315122;1.330791533;1.292298841;0.025020551;0.010763402;0.188621032;0.07105341;-0.249063714
1.368012534;1.800809242;2.297076817;2.111747699;2.128385873;1.243633809;0.018321956;-0.05703666;0.231313276;0.123826637;0.485627795
2.341928738;2.900791634;2.164711195;1.251495166;2.343373687;2.640693223;0.043641749;0.150566589;0.183445646;0.085490818;0.237837689
1.521200609;1.161330768;2.177133942;2.526803387;2.441237958;1.377700511;0.018036178;0.025173932;0.151768814;0.025099399;-0.005483699
1.940203587;2.993854535;2.685987734;2.752700846;1.326161346;1.540170532;0.012400107;-0.042092909;-0.032623011;0.356482415;0.026789397
2.124629575;2.238313116;1.544852857;1.023789805;2.614279834;1.260101521;0.101123901;0.075745448;0.240850659;0.128503084;-0.781774378
1.048337227;1.03348268;1.957850982;2.284618311;2.939443058;2.768820948;0.084331315;0.076659209;-0.102113768;0.030300132;-0.285923506
2.890219109;1.274796472;2.112157555;1.171200572;2.154676506;1.134252126;0.006967766;0.053686781;-0.020583904;-0.057367862;-0.200019148
1.606825887;1.822777501;1.333026142;1.387438623;1.559391916;1.922698267;0.258209559;0.281157847;0.269526469;0.11065218;0.188765624
1.723986102;2.993084071;2.018470337;1.864062614;2.095341999;1.118319016;0.038797607;0.146203948;-0.045672411;-0.011855284;0.347721615
1.294354141;2.39312643;1.363548501;2.444179291;2.072833464;2.313671992;0.694339289;0.768346653;0.625578378;0.818628172;0.047961878
1.512775628;2.914228165;1.952478045;2.768374273;1.952457693;2.500083277;0.137271105;0.111819484;0.293858524;-0.114982247;-0.195525543
1.874124348;1.207692308;1.684879841;1.874675521;2.873860912;1.761044752;0.068461676;0.030122785;-0.074769076;0.06334912;0.0494413
1.873663825;1.114105256;1.472655829;2.602386058;2.520224882;1.554367806;0.115405275;0.064190717;0.220282945;-0.047547557;0.516240996
1.258662971;1.400733443;1.660686019;2.275438974;2.74226954;2.73010217;0.204625906;0.262766497;-0.01759826;0.225032809;0.294293244
1.920905658;2.859303581;1.962510017;2.137631644;2.936086897;1.065923187;0.04725587;0.1184474;0.031819775;-0.032134691;-0.069365847
1.00015508;1.70767539;1.98226963;1.659094818;2.604146948;1.300024265;0.05345998;0.154297625;0.0357878;0.020715749;-0.093427038
2.614429159;2.100420174;2.491358442;1.61502659;2.456103176;2.596001536;0.015248965;0.017944886;-0.032676139;-0.012323982;0.401245969
1.388293652;2.798010589;1.752312656;2.765500251;1.876224861;2.114243342;0.205763436;0.284615069;0.069417194;0.345853028;0.277585396
