T;T_setpoint;a;a_dot;kf;kf_noise_0.05;kf_noise_0.1;kf_noise_0.3;kf_noise_1
350.2503815;350;0;0.001;0;-8.794161062;-3.817223063;-3.643893381;-31.59871398
350.1926299;350;0.00039632;0.001;1.78766574;6.212829352;6.212909205;-11.07121978;42.35978937
350.184472;350;0.00052825;0.001;3.04284212;2.754175022;-4.252795659;12.17555914;15.64234327
350.1742443;350;0.00068948;0.001;4.78102944;13.06449413;4.023548337;4.249625197;21.2473868
350.1643614;350;0.00088085;0.001;6.84110744;-4.664269324;16.94165218;3.585032371;57.73396852
350.1572421;350;0.00110454;0.001;9.04662325;8.443632596;4.88942112;-13.95403323;-26.01428552
350.1542514;350;0.0013661;0.001;11.41371688;18.82535226;14.89770075;-15.68367914;-35.49530427
350.1550191;350;0.00167649;0.001;14.03346483;15.09074034;15.2277619;7.399018129;15.10274216
350.1577808;350;0.00205312;0.001;17.31021748;17.7033878;13.14077671;-21.84363768;10.60535693
350.1606205;350;0.00251866;0.001;21.94720964;17.65863303;20.92673516;0.173795913;-35.63429424
350.162604;350;0.00309719;0.001;28.13803855;25.38062224;47.76926894;39.69956869;27.97929143
350.1639302;350;0.00380868;0.001;35.3308806;32.27349381;20.00782666;29.46822099;-26.42886596
350.1652432;350;0.00466397;0.001;42.40054161;56.30583374;26.30100868;71.42100861;59.33490548
350.1669221;350;0.00566213;0.001;48.03237305;48.99342239;60.34809504;45.07434973;17.20134671
350.1689174;350;0.00679118;0.001;51.68222801;53.13479093;45.20664504;32.38161283;-1.640299507
350.1710352;350;0.0080315;0.001;53.77070617;58.67450176;42.2347361;78.92515429;25.25119061
350.1732032;350;0.00936031;0.001;54.9451898;60.90724588;37.29247363;57.81223364;33.04708729
350.1754635;350;0.01075569;0.001;55.62302357;60.95659383;46.53756121;60.00766937;27.56009766
350.1778534;350;0.01219898;0.001;56.02684106;61.01685119;70.54443281;49.94596467;49.86458334
350.1803711;350;0.01367567;0.001;56.27450178;60.60027812;61.6386998;18.21612966;70.99489649
350.1828993;350;0.01517516;0.001;56.40935166;59.37322822;62.96706665;76.39432125;8.505071097
350.1849368;350;0.01669027;0.001;56.44793002;70.71034163;66.90238877;49.69040878;-29.01610966
350.1853994;350;0.01821641;0.001;56.42945138;57.37910152;56.91039284;91.46153251;153.3007234
350.1828983;350;0.01975067;0.001;56.40566103;58.91619537;54.37798187;57.84560744;12.80554162
350.1764853;350;0.02129102;0.001;56.37790003;49.39438686;61.80256774;51.60276707;85.2354034
350.1663921;350;0.02283581;0.001;56.32008521;53.28407527;52.03003722;53.27450825;54.98270874
350.1542446;350;0.02438359;0.001;56.23678685;48.92754232;44.49402496;57.78207745;127.4456862
350.1407769;350;0.026243387;0.001;56.137175;42.75333058;45.93977365;70.1522458;39.38782629
350.1308188;350;0.028476717;0.001;56.02597663;55.06915934;64.83800837;79.19692334;93.79868946
350.1310356;350;0.031157284;0.001;55.91008281;43.93905007;55.0171917;21.53365478;14.52103676
350.1452871;350;0.034373013;0.001;55.75815997;61.13110036;51.87807683;53.70892274;53.09712093
350.1642524;350;0.038232026;0.001;55.56551286;55.98277805;66.32056336;58.17838512;55.4516218
350.1670695;350;0.042868873;0.001;55.3740454;65.79514731;55.73469006;39.15086427;77.15278162
350.1800449;350;0.04843139;0.001;55.16466091;58.07529188;52.21609132;87.19631013;16.16390595
