lambd;d;n;theta;theta_noise_0.05;theta_noise_0.1;theta_noise_0.3;theta_noise_1
1.679952235;2.858981018;4.685096;0.125751271;0.120885703;0.142167556;0.114179107;0.221017301
1.128276002;4.338408001;2.580047592;0.100970716;0.086726658;0.114974585;0.026832209;0.002138704
1.037527916;4.798151695;2.192545075;0.098783369;0.096279131;0.094319299;0.053462412;0.034648679
1.299223104;4.012883745;1.145519132;0.286539236;0.315104116;0.284189483;0.284154788;0.302827855
1.407722473;3.587346717;1.597697504;0.24815072;0.236421274;0.310371944;0.194276773;0.292222156
1.990997788;2.305069845;3.878802814;0.224566724;0.238665857;0.183411911;0.213071594;0.2001071
1.185853081;4.254752553;2.530351567;0.110371724;0.128877045;0.104259645;0.122870627;-0.129319343
1.67424505;2.888001034;4.6456678;0.125114362;0.133260325;0.109127225;0.098191465;0.223841374
1.779042195;3.270239663;4.161699243;0.131093336;0.135119304;0.190639974;0.117632953;0.317963085
1.66624866;2.619883747;3.005622784;0.213215556;0.191499695;0.159556716;0.16487054;0.055997621
1.144989965;4.378044329;2.679389191;0.097763729;0.049829473;0.157589417;0.047836486;0.12475032
1.325773979;4.111982153;1.354271998;0.240382577;0.214046781;0.231777066;0.347713532;0.052699098
1.932843154;4.981629658;1.3561702;0.290149488;0.264638697;0.299265173;0.239506804;0.215559838
1.245060764;4.696511901;2.844395195;0.093337455;0.101257827;0.119541921;0.157973442;0.046879685
1.918099215;2.809097268;4.080350247;0.168133771;0.217323931;0.196033339;0.200667283;0.087614948
1.591585362;2.64322984;3.763560833;0.160681728;0.16653206;0.167265028;0.138871682;0.127733855
1.060012393;4.221163169;4.963424203;0.050615422;0.086030428;0.051975046;0.019658472;0.057113596
1.825539288;3.619929525;4.485445946;0.112669061;0.142340472;0.156080068;-0.003064793;0.008735943
1.48668969;3.791366194;1.898043622;0.208092915;0.174514287;0.188218115;0.284264603;0.150262282
1.480358596;4.093030567;2.884034809;0.125737962;0.111289397;0.091696307;0.094429011;0.157924745
1.572443226;3.120377628;4.006535306;0.126110315;0.162308458;0.195024461;0.082032395;0.070586214
1.960657723;2.126068001;3.304151459;0.282859983;0.321353707;0.284886081;0.190082879;0.283060178
1.203786939;3.37754428;2.603769332;0.13731301;0.122443121;0.158668181;0.068249297;0.121193945
1.532474491;2.198188176;3.982262509;0.175971449;0.188645951;0.183580132;0.228132246;0.145788117
1.277484159;3.779573222;1.604914708;0.212189893;0.208541193;0.119871052;0.196048101;0.103154586
1.871777303;3.721438974;1.19277312;0.435299906;0.468059764;0.474191664;0.415407999;0.371692792
1.689017184;3.502403416;2.186847765;0.222348273;0.22659055;0.192906366;0.237204911;0.243689513
1.725686778;4.570894111;1.474697903;0.258892878;0.251101854;0.258268897;0.220960493;0.099627193
1.716254898;3.757919991;3.236769481;0.141570959;0.164733221;0.209387926;0.26991478;0.049788924
1.057266589;2.552131126;1.764082244;0.237048746;0.193245931;0.215985663;0.241644978;0.252114601
1.644798854;2.129400412;4.272474422;0.181790299;0.177132048;0.229158547;0.203217284;-0.122621952
1.158272197;4.260830124;4.072153572;0.066805983;0.090964323;0.034729613;0.091222301;0.137189343
1.485678527;2.804338699;2.794343939;0.190744154;0.204333941;0.195072479;0.212984676;0.260127526
1.228841868;3.506724217;2.874797717;0.122199237;0.122395978;0.165312624;0.003832211;0.052801709
1.077645967;4.596852125;1.610862174;0.146050233;0.169599309;0.140674892;0.093970665;0.170969286
1.122529369;3.422466893;1.295144434;0.256032757;0.231900603;0.205073454;0.22883217;0.275592737
1.783938574;2.445208687;4.324974535;0.169496954;0.162077615;0.208838556;0.171264327;0.065149927
1.350576178;2.590181453;2.107350554;0.250026732;0.257757999;0.240316282;0.343922485;0.185902312
1.306912301;2.458387102;3.559462723;0.149913128;0.151540648;0.090490499;0.091569503;0.214473257
1.631068353;2.891317396;3.68808693;0.153561892;0.131491118;0.176339362;0.228252269;0.190803242
1.90971199;3.557211164;1.429550698;0.384981651;0.357418212;0.428658285;0.436398351;0.383350543
1.293409269;2.981703331;3.68296565;0.118054658;0.124194944;0.069758306;0.327687719;0.170464321
1.543493051;3.791506883;2.895284556;0.141072724;0.137853543;0.139468716;0.147740552;0.203354868
1.281058437;4.037387008;3.395216696;0.093591254;0.067393724;0.046964143;0.127461677;0.090082815
1.722567966;2.46655804;2.70033064;0.261597011;0.247183521;0.280893927;0.277330932;0.313247115
1.084937022;3.048689646;2.668817114;0.133742049;0.149935503;0.160365742;0.065282679;0.029995731
1.550407415;4.267655219;2.767977742;0.131628138;0.145440168;0.081843037;0.177590849;0.152715131
1.313847554;4.144709761;3.773108554;0.084113127;0.111444073;0.057301113;0.040088581;0.290096467
1.224571731;2.194528148;2.201721935;0.256237995;0.272590877;0.306264269;0.11202187;0.192827778
1.872363204;4.045988268;2.14180266;0.21778328;0.259380327;0.234844366;0.180741318;0.094847546
1.433669874;3.155902259;1.188499493;0.392210096;0.383618935;0.365189251;0.401574122;0.493609151
1.989500595;4.369875874;2.655091553;0.17232451;0.151468241;0.169022402;0.269496936;0.332841877
1.158764896;2.260647946;2.704592421;0.190675718;0.184673324;0.173095902;0.189220468;0.236095455
1.430640726;2.033870813;3.976788731;0.177813892;0.145753052;0.17477423;0.157411896;0.198263315
1.150806741;3.414558099;1.767439384;0.191862959;0.221060005;0.24093726;0.155365522;0.272520568
1.641099869;3.210140174;1.763276299;0.294151944;0.278621217;0.32760428;0.309432924;0.361912039
1.664830324;3.851567509;3.456710446;0.125374096;0.100672289;0.15327229;0.178196745;-0.084463206
1.216095057;3.54270183;1.980298409;0.174221417;0.181630694;0.177588787;0.070196124;0.267359145
1.793453435;2.939741021;4.54180272;0.134730983;0.156560804;0.131962607;0.104232774;0.209617459
1.592468082;2.472865204;1.479441401;0.450353507;0.427176231;0.38735659;0.461051995;0.415320885
1.684305313;4.134600085;2.34660494;0.174483034;0.142886905;0.112556902;0.098267831;0.203070435
1.0344314;2.228939866;3.029823375;0.153779731;0.124149532;0.104939798;0.071174513;0.181895562
1.241819806;4.306201785;1.076863115;0.271104506;0.274553662;0.340547514;0.251911385;0.066330731
1.95855239;2.414284112;2.553978427;0.323235234;0.33571972;0.336549837;0.298257611;0.314225463
1.185658581;4.034133695;2.051351274;0.143769406;0.15892294;0.047014749;0.131637037;0.01885902
1.641179132;4.863795341;3.115691236;0.108512286;0.08239659;0.106813737;-0.000872013;0.020805238
1.652229162;3.286649767;4.395044063;0.114631817;0.121356641;0.146203034;0.082759423;0.016595913
1.308362572;3.86356258;1.405462073;0.243341198;0.221196692;0.240731106;0.233826747;0.32487377
1.359167403;3.690323492;1.250331238;0.299001914;0.271571006;0.289382587;0.197163613;0.567875151
1.866558352;3.127174096;3.691354195;0.162410732;0.177394187;0.211308286;0.142932467;0.188351313
1.72131292;3.025918846;1.857057943;0.311326072;0.3230228;0.343997423;0.281789886;0.280900268
1.438794838;4.918423991;3.860459061;0.075849104;0.023020069;0.085691324;0.1143331;0.11014118
1.7198278;3.549526738;3.191732107;0.152394891;0.154073156;0.151098698;0.113363402;0.234151407
1.827615869;3.874918357;4.390754917;0.107627175;0.083058884;0.110426989;0.077453878;0.086971888
1.329269666;3.736494505;1.991385511;0.179610186;0.239310748;0.132081992;0.169354045;0.111876775
1.508170602;2.399812323;1.098455416;0.609094188;0.618056219;0.620045274;0.631665249;0.675467183
1.061756652;3.230470907;3.50166348;0.093999274;0.101800731;0.1098344;0.078959442;0.153495181
1.160747305;2.084007359;2.638075025;0.212731545;0.231866954;0.24302392;0.207043532;0.129302947
1.14556481;4.643043347;4.030075767;0.061259773;0.029310797;0.076339866;0.023656669;0.14404733
1.112594126;2.597790643;3.74125281;0.114727811;0.074691071;0.133572115;0.226240916;0.191507432
1.410854225;3.055192008;4.329647352;0.10686069;0.110100854;0.083026062;0.045070323;-0.000127559
1.460781322;2.048704551;1.200365072;0.636032352;0.637645296;0.609824927;0.752452387;0.614708144
1.302443543;4.113068787;3.680584184;0.086141696;0.050913422;0.032445293;0.023383159;0.048415097
1.775553454;3.687986105;3.025941737;0.15978407;0.168492264;0.168242415;0.115448048;0.157991393
1.759082802;3.712808851;3.299489938;0.144092299;0.171850203;0.114345965;0.144168507;0.191216268
1.09917262;3.986701449;1.142741981;0.243674689;0.226337992;0.264374016;0.165571414;0.300432937
1.201665528;3.785662117;4.374368565;0.072628698;0.089490716;0.108393093;0.022877953;0.085317338
1.628530221;3.082424814;1.479091555;0.365265602;0.382665103;0.330230258;0.363418202;0.404384821
1.972370932;3.613294842;4.437068875;0.123336224;0.142726504;0.112593354;0.115923543;0.073541201
1.978753741;3.147902176;4.120856093;0.153137605;0.127795435;0.10785306;0.203403291;0.192109518
1.796137261;4.931041214;3.954095238;0.092250755;0.105997003;0.097657383;0.065113041;0.149048772
