omega;T;h;kb;c;L_rad;L_rad_noise_0.05;L_rad_noise_0.1;L_rad_noise_0.3;L_rad_noise_1
3.727154261;2.572819355;3.425788317;1.628104185;2.49915305;0.143314754;0.360269026;1.399757879;1.240062303;3.971615713
1.504782117;4.663017369;1.336422141;3.60871138;4.268915695;0.199444566;0.573123119;0.497566344;0.394880153;0.138038665
1.140840163;4.049020517;1.949839073;3.24566259;4.882334667;0.066722774;-0.511933271;-0.150383451;0.802541102;2.438621158
2.187563228;3.095806349;2.902870222;4.167629248;3.960615808;0.308679882;0.866989514;0.072930817;0.253598564;1.753140934
3.74973183;3.659215866;4.546754764;2.82674963;2.79264396;0.741882307;0.422357022;0.195540903;-1.450150338;-0.725615778
4.955714241;1.871108843;4.138073323;2.923290478;1.197284052;0.85808418;1.04709735;1.674532721;-0.355308197;1.253808405
4.625943641;4.704014774;3.581977134;1.806380333;1.839832715;1.760436579;2.041448615;0.894407106;2.917443132;0.81789519
3.687727273;2.595886351;3.402958003;1.667526353;2.460451792;0.166479594;-0.483844931;0.114670074;-1.479178096;1.401196654
4.489419429;2.132867482;3.17354187;1.34111623;4.906777303;0.008357117;-0.05678262;0.28726926;-0.019846398;-1.323767789
2.776786846;2.97733177;4.785147336;4.367611849;4.824976859;0.250757086;0.258628384;-0.632383084;-0.285336099;-4.956377958
4.539393386;4.617450696;3.745431643;1.891671387;1.987621065;1.496526399;1.938905103;1.936585893;3.378286133;2.281630353
2.312318679;3.404143473;2.596957134;4.332456808;3.5394491;0.516720661;1.145945475;0.932705648;-1.006899254;2.037942479
1.403029579;4.346122076;1.859646256;2.607940414;1.455850494;0.948538728;0.879778824;1.187610734;1.032769547;-0.127299219
4.495729453;4.193629637;1.935769794;3.09474799;3.158858805;1.869556173;2.089477607;1.928709036;0.88768796;2.177282869
1.354006744;1.14615649;1.959433813;1.853008758;1.453009448;0.09383994;-0.550570475;0.465321023;-2.111201387;0.590604765
3.716135183;2.922930876;4.996837626;4.327428242;3.191667372;0.763473533;0.493253576;0.706432801;1.939847566;-4.424445727
4.714520966;3.425716759;4.676822634;4.778238018;4.815218437;0.75251254;0.594901648;1.915829108;1.201219193;3.940778694
4.536096973;2.825805542;4.213106208;4.829393286;1.674380108;4.649170219;4.398869185;4.119651676;4.080703092;2.97105443
3.827068613;3.630435355;4.158928728;2.978030428;4.123140751;0.413667532;0.116689591;0.815980233;0.892801204;1.033099015
3.757467125;2.404079492;2.327748845;1.229516644;2.643700589;0.097936098;0.054235944;0.401313564;-1.269364236;-1.028244884
3.129508221;1.828258627;1.870419788;3.168737785;4.902411506;0.138367225;-0.704015464;-0.336809985;-0.734298338;-0.269606387
1.278491613;3.228213246;4.602011135;4.401855236;3.419067462;0.162507028;0.255596326;-0.31317396;-0.141552241;0.859344995
4.257116861;4.731329646;2.798995684;2.62441627;2.276719758;2.620657324;2.713221385;2.6271034;2.143539393;3.026406428
3.794385518;2.315062188;4.655486438;4.671821837;3.677864738;0.462316509;0.829616348;0.310421703;0.929104028;2.874409195
2.824133826;2.758577731;2.898319248;1.063546615;2.417208441;0.074090879;-0.473318264;-0.267653856;-0.25922236;-0.746772142
4.806158551;1.595495921;3.592324354;2.534713151;2.25646607;0.112624042;0.587215996;-1.137769216;0.800207175;0.023184308
3.113891749;3.884415677;4.05239939;3.85004169;3.735715837;0.67037932;0.83761479;0.455965391;0.564007791;0.43309755
3.189732503;3.554478772;3.768609902;3.586179148;1.34155003;4.391880897;4.220135505;5.331978527;4.808208407;1.537308375
1.199467049;3.869638709;1.879335337;1.628016319;4.311940864;0.041081536;0.211597702;-0.791082419;0.003881445;0.207891638
1.996033366;2.837955235;4.381603059;3.238408913;4.187835847;0.126615532;-0.557238285;-0.49230138;-0.057224216;-2.68877169
4.627363953;1.491229899;4.237685095;1.015735352;4.198227931;0.00000575841;0.152502125;-0.514847945;-0.741964328;-0.546391232
2.003225124;2.389600826;4.89138072;3.930926529;1.095403606;1.806353418;1.700228143;1.735283206;1.248173289;3.64114441
2.692812391;3.733952176;4.897873858;1.380659931;2.550659656;0.125011639;-0.381371685;0.779496173;-0.071642302;-0.861165669
3.675442729;4.301891167;2.013307143;3.112975769;3.060466197;1.465818297;1.447277259;1.702718834;1.242178298;-0.645687319
2.845227671;2.230664907;1.973543114;3.129060652;1.779445537;1.177263919;0.960425145;0.354662566;0.519994392;2.838931343
