G;c;m1;m2;r;Pwr;PWR_noise_0.05;PWR_noise_0.1;PWR_noise_0.3;PWR_noise_1
1.615772094;1.543298023;4.966262626;1.329119601;1.615605358;-124.1608159;-21.45248702;239.4727926;225.8716283;-783.1491703
1.075757066;1.022742947;2.797904723;3.435041304;1.075679649;-3062.053063;-3227.110832;-2777.881159;-2214.391816;-4101.494262
1.227188654;1.174310697;2.411928954;3.790679896;1.226843141;-1212.558383;-710.7686208;-980.0239206;-2415.065873;-3361.958589
1.496757522;1.412554488;1.490207297;4.868707641;1.496352033;-254.8558546;-451.1260893;-1033.753277;20.40101445;2775.839311
1.984001814;1.304889506;2.42511275;2.504072122;1.126330041;-2628.353926;-2325.110933;-2681.34297;-2469.81475;-4962.669665
1.805480283;1.84600731;3.721191074;2.09428231;1.804820692;-58.51039718;-186.5507685;93.01490316;-1873.24811;-1925.277113
1.734870288;1.038520001;1.446470028;1.610192064;1.4045557;-145.5796011;483.4248283;-773.36953;-2331.217524;3074.73593
1.621722239;1.537591678;4.990066081;1.368795302;1.621373964;-136.3746832;-996.7121857;-151.0390389;-1405.471566;-2447.520423
1.345196788;1.681115293;1.202858026;2.532266102;1.025623364;-47.65941417;-886.3333044;-1570.861493;-3458.571651;-1712.37106
1.037502303;1.913871402;3.464436555;2.529206483;1.55409089;-14.6593625;1386.136606;1453.890133;1863.271851;-735.7940761
1.713535816;1.013035408;1.345255478;1.711417826;1.426190105;-142.0081157;952.0585241;-2574.044846;1778.898111;3018.868695
1.378290967;1.462417605;1.009995331;4.631121213;1.378612524;-85.57592131;-535.1439529;-440.1228046;3404.867656;-968.0300043
1.807361484;1.206748132;4.273941311;1.245938539;1.109783544;-2481.221057;-2447.813773;-3150.786341;-1343.418868;1168.496227
1.03882837;1.275925229;3.10588803;3.41900483;1.338815185;-377.0251421;-801.716388;-940.8143197;-893.5956196;-2485.19839
1.929597384;1.965005437;2.333883274;3.151448865;1.926857918;-33.83461668;263.5421662;-608.8761659;-871.241682;11.36119927
1.189850647;1.535487599;2.18704564;2.051692986;1.920600341;-4.908064726;861.9398657;-14.73160247;1355.050631;2939.76097
1.529090071;1.836779229;4.389303039;3.620143417;1.130087296;-1836.169085;-1903.15017;-1974.616316;-3824.165791;-1835.082258
1.043726113;1.53325703;2.631351634;3.917026221;1.578119624;-63.70246099;1051.908682;-255.1092243;-2589.52101;-828.5235836
1.211765399;1.171630291;4.237194924;3.9017588;1.289488653;-3899.957594;-3755.537473;-3613.223255;-3951.69943;-6671.59329
1.836520361;1.060150698;2.002631787;3.207796959;1.759912996;-692.4020862;-154.4308797;68.76455168;-15.68778275;-662.8386248
1.761039924;1.376719995;4.17097516;3.650889458;1.534118101;-2656.547462;-2714.477456;-1963.408576;-3379.780017;-3965.219494
1.267448618;1.953689359;4.534476596;3.364472081;1.898512586;-43.25277182;747.9426261;759.1805171;1367.165383;2363.422009
1.753102932;1.625685745;2.440959999;3.464555963;1.452747132;-347.4968333;312.4331897;904.2476804;-1385.265319;-4825.003936
1.154738924;1.622067073;2.0780874;2.816538013;1.986855036;-5.488056305;148.2501543;268.6697253;236.4139924;-593.2373968
1.47279009;1.478257627;1.066439634;3.443407128;1.671807721;-19.86425127;-144.1298087;610.6478909;-1573.426632;-1002.869816
1.506329477;1.662030376;2.01331319;3.362167195;1.415586517;-112.5800855;549.0804817;1006.873645;-576.5888071;-946.7060168
1.105894244;1.430031105;4.405843075;4.2591804;1.125697953;-2701.950745;-2728.401764;-1650.525921;-889.5880988;-4733.731749
1.857507677;1.058670172;2.604223599;3.843041605;1.781845328;-2059.829585;-2045.137032;-1605.991466;-3613.939622;-6257.993006
1.89297169;1.054028472;2.602236057;1.739061514;1.746371726;-345.7435642;1032.961268;1936.296194;409.9735067;-1564.599541
1.574355104;1.446365498;4.847516252;4.334054273;1.789103355;-1373.306752;491.7691788;-1985.312023;535.0858328;-4819.099078
1.342833541;1.658880948;4.585843977;3.857396024;1.529532046;-522.8003104;-1387.22114;-1620.810108;-1658.629574;234.5392346
1.62617854;1.561024722;4.486586176;3.501648869;1.465940124;-1406.212202;-1428.499736;-1617.433653;-991.3557441;-3039.480342
1.541645814;1.142988703;4.528883801;4.646211366;1.350684426;-16746.73368;-17041.81287;-17843.22358;-14188.42428;-13692.27818
1.367322436;1.494495476;4.911705102;1.840795197;1.525159584;-200.7032451;-243.640471;504.5450995;-2956.309959;1447.59921
1.085960708;1.709703379;4.696055229;2.996509672;1.477772344;-131.6933445;667.0537805;-482.36439;-813.5957999;-2608.107272
1.872587372;1.752972156;1.289322494;1.120788924;1.201445319;-9.557869546;-259.6950357;1356.380301;-305.3431616;4652.584647
1.122786654;1.20277406;1.916929697;1.795088696;1.350084132;-39.59486128;709.4626373;-950.6132359;18.94593332;-519.1610518
1.030278689;1.967552853;1.183842981;2.934635536;1.348408408;-2.727048749;-1406.441542;193.6003224;-5078.146951;-4954.600391
1.116960456;1.22712345;3.103285525;1.794589217;1.348395394;-122.0070257;-1179.936257;-1388.044465;-494.4812855;1158.506931
1.802107826;1.923637222;3.847354886;4.71423229;1.895513336;-294.9536122;242.5535606;-171.4217277;1013.380536;6107.206551
1.647481255;1.593263149;4.923319116;4.166868806;1.267928769;-5361.157334;-5467.651032;-5677.796162;-6171.111933;-5522.789539
1.628005085;1.923641794;4.255012023;1.890817436;1.590517576;-66.70692212;107.0943103;-626.1044049;267.62433;-3671.585566
1.208348605;1.938756641;3.867091709;4.489916785;1.301769525;-335.7054031;-183.36732;145.1675506;1136.076606;-6660.659573
1.31243158;1.530269849;4.395802444;3.460421663;1.664099011;-322.3287038;-53.90147847;624.3053688;-131.9718148;-144.1425949
1.875774343;1.062636086;3.489091443;1.885552346;1.350362973;-3029.552689;-3116.263503;-1903.660511;-5208.505045;-6776.271631
1.406108438;1.383880859;4.495141424;1.386164128;1.684272045;-83.04056416;1342.560345;625.269239;1022.027229;-5308.160022
1.87712739;1.002461878;3.437246277;1.276995874;1.890683073;-295.0761619;-247.5068584;-449.8102557;-1560.728079;-1992.879408
1.452209052;1.474509072;4.567319289;1.758771494;1.365675471;-350.9124231;988.1119095;-1132.104645;2388.737462;2241.554646
1.025360699;1.181640204;1.277792924;2.740301823;1.562094422;-16.26529226;-647.0860368;-146.5811023;-1137.623011;5110.468125
1.83052544;1.485521769;2.203527744;4.003295339;1.264077351;-1486.48788;-624.4027541;-1145.099783;-804.8608153;-1427.265918
1.437264419;1.462338304;1.125393616;1.049517678;1.722920261;-0.816190361;391.7495097;26.25852825;1048.870779;2738.825287
1.01405328;1.769427689;3.429145083;2.224321173;1.01351334;-120.0032879;-98.50287764;-340.867492;589.9132573;3878.650438
1.958491686;1.08424226;3.75418209;1.649096054;1.653938207;-1051.522932;-1153.617834;-1750.366828;-1667.664955;5546.519149
1.794822268;1.190461889;4.155402309;2.09752333;1.191220526;-5501.111721;-5890.753635;-5926.060394;-4704.164698;-3273.220182
1.125465528;1.595173883;4.786649384;1.487200818;1.014572441;-294.0288285;1436.201168;240.2063945;1666.154137;3755.327572
1.893391074;1.582480442;4.279992238;3.185112548;1.673840339;-875.0861408;-1001.917964;-1486.973765;-1906.035644;-727.045106
1.923133037;1.028008959;2.079847666;4.820101433;1.285040129;-15089.35365;-15626.35878;-12202.99984;-18393.93726;-12314.97957
1.92549661;1.152959787;1.44256864;2.444952111;1.898520323;-84.66235822;409.8843594;-166.5138625;2681.175096;2938.295266
1.219571816;1.334010153;1.711903452;1.771220035;1.23928936;-36.71323463;164.0314591;1906.788313;1388.155243;2229.770095
1.464694896;1.169492129;3.621705381;2.966668519;1.590078213;-1007.470221;-1248.334729;-381.2605768;-2041.255013;-986.9845387
1.036275538;1.440695909;1.058223709;2.717073898;1.110874324;-21.93834034;3.089675087;242.720554;1185.999086;804.8134684
1.562104361;1.08361533;3.112652928;4.528411266;1.819428757;-1942.120387;-2391.30635;-3772.120845;-3746.132997;1696.150095
1.100027321;1.301720201;4.31949498;1.206845181;1.9849185;-12.22077993;-179.4928232;810.3435805;802.2783669;-700.9534046
1.868643605;1.472105797;1.55307297;3.490171286;1.067080861;-1208.902649;-2282.909201;-1234.137399;-2771.801375;-5518.089705
1.615264487;1.513218607;4.741201692;4.355262447;1.122373094;-11957.43663;-11860.52752;-11968.87241;-13488.99063;-14093.44231
1.133952434;1.658904982;4.091179075;3.951912766;1.995584809;-55.95456538;25.83228085;131.9362487;-580.3952278;5270.302863
1.875191207;1.036968264;3.081991526;2.353940943;1.120830299;-10674.89534;-11068.32849;-9243.762999;-6639.745854;-6627.721105
