n;alpha;epsilon;Ef;Pol;Pol_noise_0.05;Pol_noise_0.1;Pol_noise_0.3;Pol_noise_1
0.294448621;0.792066732;1.267964664;1.516518409;0.486265241;0.439293305;0.282302798;0.753383598;1.635892964
0.772080124;0.265671108;1.790506596;1.042928822;0.411145259;0.262019544;0.553451375;0.23587864;-1.178001372
0.925457504;0.426984241;1.887014477;1.1394153;0.978509629;0.881840106;1.164062798;0.976782546;1.344872261
0.663701748;0.15741474;1.648711412;1.401156577;0.250059768;-0.023931959;-0.048491664;-0.197862399;1.688277607
0.895092648;0.771245684;1.158917647;1.213861909;1.261406631;1.25380638;1.069249318;1.323016308;2.097455148
0.094333292;0.597703051;1.093025008;1.842588316;0.115730778;0.205490604;-0.255429844;0.312345911;-0.589164224
0.633623175;0.51123933;1.436292147;1.442897809;0.752589157;0.795581527;0.914162072;0.40649453;0.824123679
0.288740867;0.782453859;1.273731414;1.526130854;0.474941262;0.492637618;0.421958423;0.552778443;-0.242175453
0.540418216;0.561073073;1.095674702;1.30467519;0.482178933;0.133388843;0.850284772;0.7980198;0.894058752
0.63878086;0.057272338;1.55028306;1.01936319;0.058528239;-0.026366049;0.148261582;-0.380469689;0.095451568
0.659177483;0.532881666;1.39541886;1.484069623;0.823900034;0.987458756;0.740770767;0.961455512;1.818261308
0.71125318;0.217533056;1.726274444;1.473848249;0.415057725;0.16157323;0.153738626;-0.072453914;-0.476964064
0.979644185;0.669664778;1.314018023;1.802956868;1.989217545;1.912520442;2.474257483;1.973166717;0.475612575
0.378781893;0.932385918;1.148500844;1.430575772;0.657691841;0.476911043;0.651452918;0.448435873;0.204940096
0.213964548;0.193171534;1.573599754;1.289318629;0.085028494;-0.194501238;0.159279426;-0.558864006;-0.077357467
0.145516095;0.529499592;1.262003383;1.264222346;0.126171312;0.195975921;0.608571998;0.516448542;0.61582077
0.564648239;0.332105441;1.034603232;1.977384045;0.409214545;0.348980514;0.16124969;0.23529662;-0.784211626
0.306276799;0.239798924;1.062213392;1.269618586;0.101533864;0.191529942;0.118836937;-0.405306366;1.122668803
0.295425277;0.567264957;1.149967214;1.53735646;0.3138036;0.536241165;0.353836534;0.145450138;0.046763606
0.416363776;0.484633024;1.939850549;1.917176017;0.804555792;0.826296798;1.243958529;1.506148265;0.76832976
0.611924299;0.060583753;1.150758787;1.742503786;0.075268308;0.139752425;-0.250712374;-0.412891925;-0.472336087
0.576172921;0.161948969;1.252676663;1.838625005;0.221812394;0.2466238;0.333166637;0.193791255;0.815074462
0.873065185;0.477227369;1.268761408;1.869677572;1.147775098;0.969901324;0.993507432;2.014829786;0.502189454
0.01275534;0.505970152;1.39126732;1.330148857;0.011969143;-0.066091391;0.004324433;0.723694386;-0.122718776
0.655545909;0.614445673;1.512943842;1.30995165;0.922104398;0.852591305;1.445164327;0.910214097;1.603050461
0.204325815;0.122513974;1.720999002;1.096583013;0.047639815;0.21413426;0.002142552;0.354527917;-1.065395243
0.884767016;0.22566968;1.562864116;1.872534372;0.625985733;0.769728239;0.647254186;0.47243047;2.283214041
0.994737103;0.511442321;1.643737216;1.682590068;1.694414837;1.655825018;1.477598741;1.677474913;1.621696201
0.841877993;0.488780476;1.647822746;1.150392988;0.904048491;0.763740367;0.946920973;0.156768964;0.643513854
0.58631255;0.539327458;1.525278445;1.952101729;1.052462779;1.167861977;0.986547347;0.715304366;0.90628778
0.456054889;0.594263684;1.658802566;1.873083898;0.925696534;0.716247173;0.779215609;0.687168491;0.3391984
0.695691827;0.457821189;1.324788738;1.502612226;0.709333038;0.589557746;0.61619073;-0.006931232;0.98897599
0.312132871;0.054060475;1.294365418;1.653101171;0.036309926;-0.024743108;-0.159225426;-0.286342708;-1.046467783
0.113519666;0.051472657;1.032457083;1.699640393;0.010273619;0.104316105;0.060960382;0.237448956;0.510775186
0.412601721;0.596803446;1.602494384;1.49701129;0.643545788;0.592506919;0.70274708;0.737744625;0.205109108
0.113953454;0.450058441;1.889523551;1.651385063;0.162811706;0.168012871;0.491564697;0.458408197;-0.073527721
0.426747183;0.785544245;1.454025189;1.549834173;0.850471578;0.739356668;1.073901853;1.782078476;-0.100465441
0.049540995;0.680363287;1.019020539;1.885677016;0.065503255;-0.314212798;-0.2352374;0.050100195;0.405314765
0.403396342;0.464339899;1.460974396;1.484735801;0.43337075;0.362882728;0.206927256;0.398995761;0.008056561
0.103394712;0.738763443;1.169655134;1.824801401;0.167293135;0.326681973;0.172861712;0.288965545;0.510609687
0.553670857;0.747792819;1.531293913;1.312761252;0.965550997;1.021392695;0.948184184;0.610061113;1.255377414
0.956377067;0.452177843;1.469011129;1.434586108;1.064860971;1.21249738;0.990868667;1.124013841;0.067582753
0.703336111;0.946415022;1.113986223;1.682593727;1.603461403;1.092703575;1.189669665;1.904135018;0.3603569
0.430488313;0.702526546;1.258688695;1.296875048;0.549021077;0.431212595;0.381852906;0.813146854;1.183496093
0.035444314;0.46385206;1.86574339;1.578877446;0.048698212;-0.403697512;-0.08964164;-0.01904975;-1.721511542
0.330552178;0.040657675;1.178353093;1.950449675;0.031027207;-0.104418077;-0.22357423;0.209955119;0.330312769
0.558207339;0.728920511;1.255645712;1.679702177;0.992830764;1.092500389;0.983382987;1.074236562;0.574920275
0.264716179;0.808768035;1.783709221;1.883950076;0.774734159;1.186852054;0.507708992;0.54741968;1.547959816
0.864499429;0.254569142;1.121244415;1.984774592;0.528530569;0.733696334;0.4108021;0.321662703;-0.086204653
0.445167665;0.059958934;1.463538312;1.540640337;0.060724535;0.208842122;0.200662931;0.075136244;-0.321908302
0.792039345;0.382507003;1.722406429;1.138668165;0.660926136;0.387322494;0.945971453;0.9931478;0.63441051
0.667528547;0.957349414;1.475959507;1.585597076;1.900393544;2.055880228;1.928400606;1.683004837;0.94169881
0.037632286;0.936261093;1.158168781;1.720188166;0.071029077;-0.120679443;0.268145038;0.018206148;0.96076898
0.798853506;0.170114172;1.052273867;1.037930136;0.155466587;0.326823485;-0.068538682;0.199199524;1.192050582
0.117823903;0.084190547;1.782440353;1.828513809;0.032437575;-0.433124775;0.157239138;0.319551159;-0.446804981
0.676967122;0.273524897;1.449094021;1.049525602;0.300139199;0.284020815;0.483239638;0.491688701;-0.703855915
0.714166371;0.872163678;1.717553212;1.276287163;1.723154862;1.821316508;1.835987073;1.717766823;-0.527041747
0.46822234;0.56378857;1.704528828;1.882695126;0.928869024;0.706231932;1.107675688;0.845021979;1.157198041
0.140865421;0.912956721;1.049755844;1.992797479;0.281082769;0.325613269;0.705687737;0.762943452;-0.035416225
0.891578424;0.507990872;1.750432166;1.62217067;1.514728804;1.660873106;1.423385512;1.290821618;1.591746498
0.805120232;0.427021735;1.980945348;1.060175938;0.815496812;0.710829885;1.157546017;0.572854958;2.024908611
0.320420818;0.369660632;1.683927675;1.174960232;0.243986145;0.389324586;0.279223214;-0.368082139;0.431953354
0.032684419;0.042979289;1.270137051;1.929227334;0.003443796;-0.067834884;-0.091455624;0.106222887;-1.061090163
0.123684133;0.829348932;1.404498192;1.275653516;0.190289398;0.055387991;0.125618437;-0.614335495;0.560628694
0.201067962;0.202047887;1.395738505;1.454129276;0.083584466;0.130241387;-0.36846126;0.339339495;0.303649682
