n;theta2;theta1;theta1_noise_0.05;theta1_noise_0.1;theta1_noise_0.3;theta1_noise_1
0.451918227;4.209388259;-0.407095236;-0.233768075;-0.721364226;0.23688762;-0.542983853
0.990098578;2.056730716;1.066435888;0.979813461;1.000301111;0.663159351;1.859290127
0.829023228;2.670694935;0.3856016;0.391896309;0.584411271;0.265788135;0.667939142
0.567265103;1.748911212;0.592324028;0.52247563;0.875548294;1.167653314;-0.095454074
0.395293235;4.351635988;-0.378846193;-0.322220378;-0.107888986;-0.455706282;0.30764995
0.128155731;3.478929696;-0.042429123;-0.029200075;0.167628135;-0.384812657;-1.283423934
0.133193806;3.266990216;-0.016659211;-0.052418701;-0.072421856;-0.236285878;-0.265044554
0.442306121;4.248815829;-0.406748653;-0.548681014;-0.619813265;-0.504769242;-1.248288963
0.607890995;1.251175905;0.615178375;0.653576472;0.664554291;0.996554594;0.402912125
0.802813548;3.880402928;-0.571176006;-0.555960839;-0.542947472;-0.311252583;-0.419645459
0.158480065;3.431405061;-0.045304735;-0.149154122;-0.046637416;-0.185836617;0.349430944
0.55768599;1.751115056;0.580741464;0.480352423;0.536102335;0.877360988;0.125997468
0.877930164;3.916741713;-0.661619365;-0.724406573;-0.781596906;-0.85364766;0.080262731
0.016166018;4.103709001;-0.013263046;-0.201559756;-0.140353506;0.234993335;-0.199075817
0.739177827;3.943015059;-0.559763379;-0.525459736;-0.582659357;-0.597355004;-0.380188939
0.090911978;1.481273152;0.09067211;0.088214161;0.322255375;0.031313328;0.56513991
0.966202439;4.932143162;-1.231431506;-1.120401457;-1.055252029;-1.417418384;-1.907159209
0.909237651;1.5710707;1.141448953;1.204100937;1.164701689;0.942916962;1.249662062
0.513712955;2.162483134;0.440489487;0.463852901;0.409592729;0.528068265;-0.049214956
0.644238085;1.96410212;0.637326234;0.662723011;0.70316763;0.767358362;0.309766601
0.608688309;3.117173067;0.014862987;-0.17266006;0.371176848;-0.166360745;-0.13574182
0.427798764;4.01298024;-0.333509788;-0.465176728;-0.470465635;-0.520944776;-0.546498118
0.980853071;3.909513473;-0.749592891;-0.797966785;-0.811925971;-0.537463073;-1.043197208
0.224537966;1.405199298;0.223317866;0.148789164;0.281726258;0.319948474;0.026874523
0.208439994;2.514884279;0.122552817;0.349466473;0.034707417;0.148524817;0.107959289
0.473971488;1.079736238;0.431202923;0.321864515;0.305685273;0.030925278;-0.00049923
0.293026292;1.320397337;0.287846376;0.319239525;0.262771664;0.390228312;-0.055557669
0.656566681;2.926286412;0.140737383;0.209047064;0.27396982;0.572228293;-0.188069889
0.496234234;3.088624657;0.026275268;0.038152242;0.017780846;0.312592087;0.94050262
0.714965285;2.30178312;0.561318779;0.475806472;0.375933046;0.24514599;0.857035079
0.884676718;2.200207786;0.796838325;0.931111214;0.802245347;0.946262575;1.382796233
0.923472264;2.837367334;0.280285436;0.124445946;0.551912923;0.125819057;0.59994447
0.855229529;3.264221039;-0.104804523;-0.026898241;0.005214353;-0.195506645;0.47304975
0.323350502;2.003520524;0.297934398;0.421934847;0.098192698;0.135757913;0.637121416
0.382525816;3.211328697;-0.026657378;0.238257306;0.152882264;-0.096583402;-0.010869726
0.782252441;2.058024043;0.763182842;0.624704815;0.774230837;0.671983781;0.650455497
0.564419607;3.319560838;-0.10008634;-0.103321338;-0.204508237;-0.063463909;-0.343738147
0.976944463;1.401759023;1.297996249;1.210567141;1.349539598;1.142146163;1.550697595
0.946495891;3.621620305;-0.452366594;-0.482277669;-0.553493061;-0.52978088;-1.128758933
0.216196149;2.279003958;0.16495429;0.408098381;0.435732533;0.178142036;0.566082849
0.285982766;2.388427692;0.196867426;0.236402436;0.321372271;0.271462983;0.593751738
0.481923157;4.790810117;-0.501158656;-0.368139575;-0.877010545;-0.620426709;-0.834013999
0.897995474;1.260898638;1.025973753;1.052518002;0.903542397;0.985376467;1.141197705
0.090852177;3.382488531;-0.021676549;-0.085829051;-0.069162019;-0.132467445;-0.451235218
0.936909551;1.497614054;1.206576035;1.206907359;1.304453973;1.803634465;0.651208465
0.431649739;1.129121198;0.400878439;0.56329537;0.297811794;0.353173103;1.101468515
0.577613261;3.202438292;-0.035130791;-0.189571648;-0.024988176;0.086061707;-1.102531839
0.57884719;4.020175189;-0.46186314;-0.341053759;-0.490712898;-0.081908948;-0.714108758
0.694289037;1.391483411;0.752077173;0.794966994;0.919916575;1.015512476;1.170425335
0.857687722;1.210296902;0.931567764;0.877816517;0.930453002;0.674200132;1.393648028
0.73286324;1.567739112;0.822515754;0.93373674;0.86479584;0.477841644;0.723936646
0.335931426;3.780062273;-0.201566256;-0.234951057;-0.228497076;-0.343632213;0.160976197
0.013618486;4.375519174;-0.012853398;0.033856345;-0.068758704;-0.282842598;0.209814033
