sigma;theta;f;f_noise_0.05;f_noise_0.1;f_noise_0.3;f_noise_1
1.485744475;1.409410786;0.171221553;0.164786905;0.175653981;0.19326241;0.226695455
2.382176195;2.458020496;0.098342593;0.111402145;0.109523433;0.063135848;0.111011181
2.200406498;2.155690063;0.11220079;0.114672077;0.103188526;0.119595349;0.087548278
2.723769052;2.679175728;0.090291023;0.078881236;0.105339032;0.084373853;0.07729593
2.032699769;2.735000837;0.07938144;0.1035661;0.084610313;0.094575389;0.075272127
1.852513094;1.80756033;0.133786469;0.123221382;0.117870656;0.153842943;0.119047276
2.525737113;2.199038021;0.108122664;0.11633747;0.090087262;0.095770551;0.114153953
1.473839603;1.429124178;0.169156606;0.168556008;0.175626103;0.175103583;0.193206908
2.535071779;1.598026995;0.129012999;0.134167274;0.110757039;0.112162871;0.179092454
1.631084874;2.705935822;0.061772943;0.069525847;0.068865376;0.102256023;0.111919312
2.576225761;2.155778787;0.10911217;0.102448324;0.123076973;0.091240975;0.112489385
2.526152629;2.570914061;0.094089185;0.092281305;0.103785073;0.130469408;0.145136607
2.865821525;2.785232189;0.08680699;0.092001381;0.083628035;0.100503359;0.024923561
2.042071495;2.735961009;0.079624687;0.069373781;0.071812663;0.08959756;0.107323798
1.517717846;2.575609856;0.062281021;0.055860256;0.049817973;0.048333838;0.068753093
1.553520887;2.229265658;0.091717606;0.082862451;0.073568792;0.091040846;0.082876136
1.387426614;1.834158812;0.120006072;0.101758693;0.11560645;0.126012578;0.125167264
2.255316512;1.339494075;0.148287298;0.150196553;0.152689949;0.144295905;0.192378373
2.548243788;2.115954964;0.110904006;0.105264091;0.105350525;0.085089183;0.116477572
1.611816818;2.681977704;0.061997558;0.04988863;0.078379611;0.086135441;0.144303516
2.552760546;2.128527854;0.110389872;0.117935072;0.100757803;0.114592994;0.110882475
1.180144588;1.248950035;0.193094099;0.219221248;0.181085552;0.16205686;0.217733032
2.432222309;1.358332333;0.140339559;0.148368472;0.146456431;0.165272038;0.08831283
1.951872077;2.267736993;0.104074523;0.099107135;0.102258391;0.124892191;0.133719079
2.445632168;2.366830468;0.102126822;0.089612121;0.104340418;0.050538377;0.18146485
2.700894445;1.727319588;0.120389283;0.123401674;0.13721672;0.116289531;0.203268958
2.927459141;2.239675305;0.101699787;0.101933335;0.106902543;0.112523053;0.112913881
1.438585217;1.170107969;0.199211661;0.193575651;0.203590205;0.176990281;0.18020821
2.641105541;1.198034871;0.136283547;0.116945227;0.13721523;0.14981962;0.169068851
2.47321498;2.02092823;0.115520776;0.121310087;0.105680597;0.083966774;0.100604003
2.982318628;1.886804108;0.109506525;0.093550075;0.080367409;0.118722262;0.042526744
2.701202035;1.661415772;0.12223766;0.106424256;0.118461461;0.114205682;0.120374798
1.926518216;2.035393437;0.118509308;0.119672025;0.112101827;0.141020793;0.138340957
1.690039131;1.819921964;0.132192604;0.140656132;0.130079228;0.099833077;0.125619895
1.508601978;1.12079911;0.200668492;0.2055678;0.214463156;0.222944715;0.166577848
