n_rho;mom;B;kb;T;M;M_noise_0.05;M_noise_0.1;M_noise_0.3;M_noise_1
1.524688956;1.579202075;3.131069717;1.543367061;4.780279324;1.40883519;1.774130452;2.768862799;1.383662263;5.189349504
3.739470183;3.684959239;1.103797258;3.687590729;2.987791298;4.867953244;6.007729799;1.321368928;2.619491405;-4.447337029
3.095624101;3.040745233;1.748612953;3.082806307;2.351206959;5.885382111;5.000257538;3.173164595;11.31770685;-0.615855578
4.048594039;4.118717152;2.670642335;4.004771261;1.304239373;16.18801775;16.09119487;15.80861618;15.25893896;14.63607606
2.094406564;2.735118793;4.89908795;4.354208271;2.53491382;4.799729329;3.42945807;2.771814383;7.031568606;0.801659644
2.792527468;2.847252244;4.435939025;2.779877261;3.532040504;6.823322982;6.394406;5.49989882;11.01038439;9.520435104
1.022561355;1.632067423;3.974152286;3.27853312;1.587392613;1.41394902;-0.850620789;-0.019535022;-0.615282097;3.155942334
1.548742854;1.618881137;3.170501149;1.504675966;4.804327035;1.531130725;2.487803035;0.056848831;2.231626204;5.270986682
1.797545328;1.654567067;1.602447284;3.697445697;2.781090794;0.7503048;0.952285854;2.061103914;2.246152168;8.587079849
3.11228204;3.319088854;4.232837472;3.271736026;3.822807674;8.353909206;8.231550687;9.625178676;10.6053838;6.611285677
1.187209155;1.546468582;3.825361738;3.427362178;1.736178985;1.393754856;2.206602479;1.669354362;3.285169029;-1.918263058
4.451210835;4.381195566;2.829583519;4.495278865;1.195610371;19.11849863;17.3538447;18.69454762;23.28423098;14.54880677
3.88006162;4.295004383;1.503206909;2.565507513;3.355632899;10.58422503;8.13915528;9.792033289;10.00701699;-2.412872806
2.040003837;1.404054008;4.380113172;4.329638829;2.587266893;1.431490613;1.341236621;-0.706060994;2.644180444;8.318196739
3.254311517;4.772946007;4.897471849;3.017730702;3.597204948;15.11951719;16.69202454;15.29227032;15.48699034;14.25638604
2.146768886;1.093182465;1.805064127;4.186200039;3.212707639;0.34187806;0.453222504;0.389755151;3.47369983;-2.800197816
2.600994269;4.455038282;3.865281473;1.578525221;1.224550268;11.58752861;11.83058489;10.19893169;16.25171603;-3.115277597
2.494275392;1.563478629;4.769830468;1.8500128;4.081933255;2.949420983;2.628034433;2.595459156;4.59110229;2.122266171
4.912064857;2.66779456;3.142750469;3.565038906;3.620900881;7.486997523;8.625112673;8.134971497;9.250793684;10.71569722
3.345536574;4.412552274;3.187237713;1.918076007;4.035177823;14.00279083;13.44952549;11.70663495;13.94713372;4.577709139
2.081864571;4.962450565;1.906645659;1.6818265;1.822869686;10.28813683;10.43438432;8.464952719;10.33002852;7.700085191
1.17941123;2.39708329;4.698056987;1.643044666;1.039447373;2.827136361;1.43718814;6.11910538;4.365127397;-11.17911487
1.172758193;4.41383559;2.805140567;4.01766183;2.058837337;4.682410501;5.154490719;1.984719285;2.800681174;6.952848639
2.863552647;1.92128202;1.589213719;4.841474979;3.055718463;1.11962581;1.192286965;-0.181820546;-0.077872557;-3.30695706
4.389713802;1.016071089;1.693729433;4.095131636;4.881743624;0.383014009;1.259448491;-0.062440363;3.685928976;8.206754947
1.133982325;1.358960793;3.624528854;4.281470827;4.135431763;0.417977013;0.670903997;-0.626610273;-2.00159632;-2.960366126
2.752355242;1.734337392;4.739605525;1.391703267;3.325701675;4.507458983;5.406330315;4.565228493;5.984102987;0.923476946
1.572550816;3.605926492;2.609585988;1.892941506;3.256678795;5.159087716;3.368626168;8.227898173;4.477621858;3.996031992
2.821570102;3.461127095;2.937047773;2.16164366;1.428648511;9.738834612;10.09050114;9.004751448;8.94664593;5.345468376
4.59000616;2.03228438;1.474359795;3.068636884;3.063731564;2.876232376;4.171357506;2.36006539;3.664419948;-0.939489339
3.516874625;3.361842627;2.451163886;1.261098123;4.293228182;10.74782445;10.63937052;9.653576643;12.13361796;8.384260397
3.512721186;1.164884754;1.500462997;1.096171897;1.643864836;3.063601423;2.12014709;2.729966544;5.710975055;5.490061132
2.754072396;3.239410413;3.499606987;3.218898088;2.092164156;8.326491715;9.730962812;8.854539104;13.60042696;8.172489597
3.003485864;2.157466796;2.471321065;1.728112271;2.511425265;5.457056113;3.754001409;6.826042594;3.27903655;1.997607246
3.04527939;3.476569319;4.947515072;3.253272994;3.258707148;9.792871356;10.53741971;8.311440202;11.02186397;4.599169933
3.5225971;4.994780714;4.501017611;3.67725111;1.275201181;17.59218957;19.79683397;13.59683521;24.39105402;14.04111181
4.071526442;4.576406876;3.808964397;1.854371589;2.565234848;18.60851972;19.80903801;19.05192928;17.48458615;9.874667872
3.187746252;1.771096623;3.954860576;4.311732318;4.463289318;1.9687315;0.305993574;2.0215644;0.256404387;5.314220381
1.508898547;3.74432844;2.528713335;4.734700059;1.883702797;4.442349306;3.940244985;5.835868598;1.667403739;6.417301249
1.25070354;1.050841623;1.074400322;3.072203587;4.231419537;0.113859414;0.433300367;0.491043807;0.596609597;6.277369868
2.185482388;4.899674037;3.110557877;4.035587805;4.196738836;7.66962327;9.117043;10.33642955;5.855752277;6.550270592
4.612330189;1.079878904;4.393386392;3.165782442;1.587509322;3.671116165;4.706286261;2.425186694;1.474638013;3.028631028
2.14592108;3.790440106;1.182289269;2.246570991;2.654908616;5.172849176;4.326282193;2.554900606;9.100077658;1.733380151
1.080541564;3.847356862;1.386222371;1.952406676;4.422413713;2.284450601;0.623800711;5.018892911;2.942126271;-1.775196781
3.902899793;4.717255565;1.073388552;4.107019707;3.704716241;5.910321047;6.060864841;5.322979829;9.103993127;10.53063371
4.465495639;1.218299339;3.826137241;3.707094078;2.100449425;2.916463597;1.55722293;2.955748833;2.253787127;-7.439026432
1.535765866;1.187059461;4.659154651;4.444946711;2.993199094;0.717003114;0.582475038;1.698869846;1.492894296;-7.154295166
1.436128268;2.584905668;2.200094736;2.027955138;4.540644282;2.039727875;2.125951751;3.910900122;4.706908238;-1.246766458
4.659180028;3.816802966;4.433874857;2.192843763;3.49116688;17.36072676;16.35596187;19.08313075;13.04394674;12.80816849
2.531481144;2.962505934;3.314551467;4.649406068;3.862398415;3.735656812;6.087629252;1.602659408;9.060056884;0.225687801
1.24614131;3.76447791;1.034141651;4.593236599;2.200041522;1.722806715;0.014948863;3.026544257;1.615753328;-4.543615076
2.379565685;3.708916808;1.938359617;4.813396105;2.518225482;4.69636054;5.310158242;3.292354098;5.709427883;13.80370669
1.782933431;1.662149232;4.061398753;1.074459115;3.071849534;2.86597784;3.265601011;5.732709418;4.688729604;4.076633677
2.221678687;3.419613428;2.433073841;3.299372349;3.997756539;4.24380984;4.794551041;5.091258369;3.074721999;6.973458428
2.122869116;2.051305504;1.545075537;4.15937541;3.389093854;0.962917098;2.832582839;3.111791401;4.266396551;-9.973360323
2.155704377;1.397022283;2.719467229;2.184126328;3.705086449;1.318385143;0.925616166;1.087989523;-3.166181376;-2.963887232
3.619430443;1.845599622;4.045058544;2.2588697;4.507980081;4.174911263;3.410401792;2.882968499;7.202593642;2.307249074
3.349901497;2.923571034;1.538082962;3.065969344;3.106345677;4.308542973;4.102848786;5.44705614;2.802562827;11.86049074
1.90074251;2.951394963;1.322249835;4.374954101;1.652850748;2.76421168;2.910083932;2.724831884;-1.751906584;-4.726354945
4.138225384;1.55210159;1.572648734;4.4057471;3.083196219;1.141894381;1.106232991;2.752792701;1.615702137;-2.298115883
2.156431644;4.623083398;4.867104683;1.049639517;2.762931315;9.969359694;9.066097557;6.897826969;9.393789661;12.77060179
4.916010992;2.032435123;3.668980139;2.030076782;3.064055272;8.32582981;11.12892541;7.046864658;4.372665001;9.723217561
4.706223162;1.55740619;2.051293157;2.74647058;4.746982825;1.760916838;1.854657231;5.037288232;3.811380718;1.84397906
4.509638511;3.710461735;2.340804301;1.129116399;4.784278871;15.44169275;15.79815009;14.18473858;14.17550668;21.55033082
3.9538696;2.229669838;2.368549691;2.521400399;1.4513375;7.884264089;7.37392475;8.201506212;8.923885173;8.591364293
3.889813258;3.362239665;2.905767817;2.104299866;2.303607286;12.62209112;10.68441769;12.97468973;13.60926192;9.244016831
4.057512577;4.259619284;2.900933526;1.379886503;4.135982709;16.83433909;16.78308189;16.15979701;17.12456568;10.48494773
4.1940176;3.940099615;2.275987611;1.180405883;3.874845601;15.88263192;15.32368454;15.10230493;18.5284888;14.11217437
1.252132176;2.578697936;3.817446095;3.480393186;3.978759751;1.973580843;1.687836579;-1.304673542;0.950792928;4.022867654
1.95942866;3.089715043;1.216593493;3.983928585;3.492594034;1.596847329;2.429846847;0.066722737;1.309191472;5.163477775
3.190503703;3.903181717;1.802884584;1.598344067;4.138975018;9.801598474;10.45060539;11.48463692;8.57485187;9.711892344
1.352026861;2.2765627;1.701883755;2.808461674;3.320713105;1.209899294;1.209671125;2.164778269;-5.294049001;5.870257256
1.278675702;2.992966837;1.262565448;1.428941201;1.835670796;3.420681816;3.371036639;4.992547607;6.167976118;3.606208948
1.352444453;1.335631298;4.885642209;2.508553828;3.486252185;1.143152858;-0.602181114;0.359385222;1.994747007;10.68743358
1.297442719;4.026741848;4.380664802;1.447040964;2.760662763;5.222940806;4.207622154;4.364372946;7.782378803;2.976602608
