p_d;Ef;t;h;omega;omega_0;prob;prob_noise_0.05;prob_noise_0.1;prob_noise_0.3;prob_noise_1
2.086629381;2.92367191;2.82434136;1.20089744;1.702902269;3.065070149;3.414509422;3.728692486;3.293679281;3.05718188;3.566709687
1.045448896;1.945221084;1.806759807;2.183135587;3.534889731;1.170773753;0.263244541;0.192780497;0.760068663;1.001201547;3.150711287
1.348529768;1.638209091;1.609808083;2.486242958;3.179103312;1.556651961;0.781259475;0.135386841;0.841411772;1.494599471;2.683325214
1.825136712;1.161691867;1.086325565;2.962880636;4.225887946;2.60367718;0.59590727;0.079667967;1.289951277;0.840849806;-1.10084759
1.686818517;1.419100376;2.518711388;1.704285945;1.008354318;3.789285496;0.035905379;1.10248212;-1.142538957;-0.63243138;-1.986583891
2.691919781;2.294977127;2.456071957;1.583109928;2.997890478;4.369341295;3.335734815;3.980222065;3.261754486;4.599544722;7.138131541
1.126736526;1.890899883;2.045610297;1.229658832;2.124933674;4.833847192;0.060654659;-0.058075815;0.648209611;-0.13630196;-0.689674563
2.075092807;2.911648007;2.836365596;1.21280244;1.725968067;3.103520854;3.185673236;2.789260343;3.198983307;2.367484215;1.280079821
2.150080405;2.825645528;1.004525409;1.883935713;2.652176633;1.65175716;2.975804829;3.261025245;3.65426044;4.280325103;4.497343346
2.604657499;1.521461577;2.490626256;1.25839699;4.960223055;4.571630753;7.249919427;7.669229864;6.350974844;7.561745096;10.24887126
1.208583437;1.941509175;2.12002085;1.187005626;2.210233112;4.997557648;0.016592859;0.074272775;0.571488257;-1.02980984;1.193593868
1.924873309;1.088321599;1.163604509;2.787201559;4.273955969;2.896395081;0.702635656;0.624653275;0.010995074;2.347006546;1.961720835
1.592040605;2.159976621;2.426070957;2.404328661;2.291929864;4.553657245;0.069258723;0.463034139;-0.070163981;-1.177719281;3.899056203
2.352095602;1.347531105;1.860576841;1.088451447;1.216719816;3.679441252;0.583164594;0.817408075;0.627583257;1.218772695;3.767512496
1.263988701;1.612364375;1.059957728;1.771095019;4.561079078;4.672632682;1.218279719;2.1754546;2.17564456;1.258879834;2.058446689
1.548428205;1.419387585;2.158189678;2.239456844;2.766009881;2.602790992;2.096252253;1.505799673;2.844624475;2.714501333;5.012560137
1.393718111;1.886527869;1.826002493;1.293248267;2.317932319;4.962338437;0.28148848;-0.366591826;-1.279221261;-0.874891967;-1.96506735
1.163494796;2.021506857;1.474793285;2.478735297;3.696889498;3.14261289;1.323186593;1.151513802;1.391892288;-0.729143857;-0.560549724
1.799563571;2.525544654;1.738512452;1.553757334;1.157627757;1.029982327;5.064468502;5.187648265;4.497504924;5.753824621;3.755288892
2.434147299;2.041910699;1.427056492;2.849647784;2.142691025;4.105335967;1.232698745;1.236708995;0.732719009;2.648026293;5.464328557
2.368924856;1.448680589;2.095257612;2.003010787;4.341975929;3.203037591;2.178744376;2.448496629;3.433409231;3.021196411;-0.693829173
2.629038657;2.490631386;2.006301167;1.032856956;3.869768444;1.029128849;0.129806019;-0.569698891;-0.483693138;0.358297599;0.164468881
1.927252659;1.664170764;2.77100626;1.614944164;1.149877138;2.401962572;1.779934797;1.333760203;1.367579212;3.187607978;0.987648253
1.62575107;1.457589726;2.204512271;2.316420405;2.222529275;2.776654307;1.988338528;1.734473641;1.202004848;2.989049614;2.889250754
1.43871552;1.885595909;2.227939575;1.478192787;3.193702531;1.151937136;0.459501632;1.132317197;0.690786409;-0.329002142;-0.121957657
2.585085482;2.307191782;1.865242991;2.225637671;2.646499591;4.522809094;1.580576035;1.838331509;1.25566174;1.481769099;4.191382996
1.477406755;2.863083516;1.115060182;1.759972312;4.452192567;2.848759021;2.037918085;1.88200648;2.269297444;0.73977273;3.152260195
2.323873762;1.548021397;2.998430377;2.584731431;2.956498958;3.540076555;3.211311338;3.490620105;4.059736457;3.202267365;2.884193712
2.374565156;2.862830264;1.085255831;1.719904374;4.453622925;2.521393448;2.930826482;3.020375629;3.388332982;3.301479473;0.969435713
1.541794232;2.698716626;1.797098501;2.608239127;3.843628569;1.715195996;0.695787553;1.444982919;0.477017779;-0.262799569;0.62470873
2.296491064;2.96185473;2.454830236;2.210143535;4.697215326;4.187244721;6.618349915;6.133745976;7.13227758;8.415994726;6.060396521
2.321148997;2.139290031;1.264900471;2.155352154;1.677018058;4.71332739;0.69758089;0.352733596;-0.509315465;2.767212387;-1.65703891
2.068647331;2.921999502;1.797232139;2.759073832;3.867413801;2.882326779;3.010573304;2.401037638;3.568928357;2.864642545;4.915953458
1.007898215;1.652884695;1.459186112;2.959616838;4.784010411;2.930986034;0.428196726;0.517581952;-0.071834036;2.283519828;0.830360434
1.496748621;1.695024693;1.499515544;1.619920439;4.622056566;2.733509465;1.14348336;0.574007715;1.988712065;0.304143219;1.947475393
1.607057659;1.836753384;1.72199013;2.56734469;2.719646694;3.917786564;1.369954677;0.667499675;0.878954953;1.289937519;-0.555089215
2.115314905;2.479831942;1.810704335;1.779131199;4.07118302;1.033743816;0.102859102;0.624732684;0.676822647;-2.631640672;2.885248534
2.20066164;1.780605787;1.827630595;1.476407089;2.498572486;4.302714157;1.773822129;1.494086194;1.175912305;2.308630406;0.438133979
1.101737888;2.121019988;2.684620985;2.494511574;4.102299756;1.808802685;0.001052028;0.80847653;1.65972526;-0.294826099;2.945007775
2.756637535;1.38454668;2.708251543;2.015074639;4.454174802;2.518681093;0.184813588;-0.685878665;-0.489944784;0.149903626;-2.526220251
1.965708595;2.669159502;2.159507378;1.425351868;2.674817144;1.585978411;4.898994277;5.038404422;3.955587295;3.050478264;5.226446115
2.194770756;2.760942577;2.031003027;2.727604979;2.752394147;1.182163746;1.773545006;0.450693916;2.196924803;1.251863446;-0.022668303
2.439010198;2.022007652;1.701298763;1.027758269;4.354445847;1.548946111;0.673286824;0.837044374;0.169935908;-0.48594941;5.326497664
2.150337317;1.918110448;2.471767945;2.853266526;3.038323418;4.288279525;1.496260167;1.604080235;1.756028768;1.9960301;2.914796987
1.082445925;2.194585779;1.978001997;1.660630772;2.625528735;4.790010046;0.437724944;-0.55940528;0.198456491;1.3760234;2.485614372
2.777056016;1.60829702;1.512866355;2.188667694;1.525897125;3.968336971;0.836926537;1.619375594;1.867888263;-0.666483503;0.632859498
2.629624427;1.548186875;1.448073143;2.93301405;3.222976636;3.273583858;2.009088614;1.408396488;1.286295369;2.907808721;3.231334107
2.389113732;1.178584234;2.146027412;2.286941225;3.297552459;4.42027295;1.58732698;2.272268879;1.451077146;2.316619406;-0.58926835
2.684132079;2.621732064;2.177755645;2.097460555;3.974826689;2.325605462;2.152862901;2.065264724;1.549616079;1.163514596;-1.720443859
2.001059475;1.80892665;2.967719265;1.304180192;4.465534151;1.508218112;0.384353571;0.55588155;0.692724786;-0.854473816;-1.447392712
2.848571364;1.924549596;1.138709898;2.44598202;2.919405182;3.54154017;2.44723691;2.631972565;2.894200622;3.299871834;3.797272908
1.361480885;2.48869145;1.088838434;2.610941396;3.779107654;2.35532882;1.151749971;0.82026036;0.378158173;1.079401248;-2.05220126
1.91066555;2.673010446;2.192369234;2.115022515;1.303144283;3.863785597;0.072484493;-0.058572814;-0.141386334;1.465327264;-0.120929807
2.762564637;2.803574675;2.144751326;2.648703006;3.317645941;3.545977709;6.147116536;5.664873269;6.907683652;6.637842004;4.323537377
2.772504669;1.354686583;2.083298214;2.543258465;2.281489577;2.070274453;3.027285164;2.39259177;3.694737875;1.355357205;5.409449923
2.786429102;2.943061766;1.948848121;2.136277362;1.073922854;4.997158288;0.203046459;0.298819808;-0.753359105;1.310412921;-2.371266841
1.166336484;1.060879695;1.234144758;2.687258123;1.535245347;1.163539697;0.558363729;0.768767297;1.446635088;0.555654294;0.599006583
1.322863073;1.479870315;2.424969575;1.515624327;1.318250462;1.54378144;3.054929303;2.046849801;1.677240109;3.541834183;5.063975625
2.50139903;1.272463919;1.876310943;2.617511659;2.397851069;3.453983457;1.626158239;1.884127663;1.000180311;2.709515206;2.011323274
1.824428641;1.842915513;2.182921971;2.641994106;3.064919904;4.643361448;0.914515249;1.383608345;1.151588754;0.423879625;1.286335064
1.316932792;1.462938372;1.577499153;2.541636903;3.716961871;2.383972564;0.815210101;0.888409515;0.942795629;0.615034222;0.518001776
2.233675449;1.792365049;2.657536994;1.967018658;2.13872938;1.258989833;3.35285643;3.729004916;3.033605923;1.546400241;2.708737713
1.404940298;1.557802486;2.902363711;2.755366249;3.537012277;4.968130995;0.408929119;-0.151567275;1.327215376;0.294597546;-0.289964978
1.851836301;1.0777263;1.342418894;1.66262107;1.436420444;2.796716294;1.210542163;1.195902592;1.187740737;2.606574543;2.607907111
2.619035178;1.484390664;1.452059984;1.400340587;3.54815425;3.791244486;3.989573362;4.40383917;2.835563116;4.568029106;7.477414039
1.207919815;1.459661608;2.469324152;1.895367921;4.690609391;1.889335676;0.018662902;0.335150463;-0.074314446;1.057423711;-1.546595169
2.011478134;1.604155666;1.581034128;2.844253364;3.960477592;2.680758657;1.259419197;0.977955401;1.630500504;3.335692399;0.387494765
2.340707299;2.650487723;2.516017945;1.485873804;4.320268368;4.793432281;9.321642314;9.677856795;10.55326729;8.562805837;13.38811038
2.006351815;2.823321846;1.154755963;2.993548779;4.26193656;2.456309667;1.499693222;1.430009364;1.350019239;2.426157145;3.621612444
1.893120371;1.771231468;1.448909912;1.674138217;3.672307265;1.792012549;1.496894102;2.262038963;1.776431199;2.619504908;1.202181164
1.402489174;2.068410832;2.07050311;1.451218752;4.339462059;4.337904081;4.138842977;3.828306572;3.282828254;4.56557965;3.856356434
1.953568206;1.517472172;1.349055461;2.122110002;4.935517116;1.428237188;0.165140814;-0.149238425;0.080140269;-1.437198557;-0.318407412
1.967055259;2.494212165;1.557178503;1.162595211;1.86500411;4.621825566;1.003669921;0.967574034;1.576195552;0.248215414;3.117250701
2.056661614;1.754677482;2.638441808;1.154637706;3.568414362;2.365270501;3.272462798;3.085939788;2.443703295;2.948175486;2.485668862
2.146933624;2.793958026;1.827667633;1.30049994;3.941016213;3.060042923;6.759034985;5.493238667;6.373642569;6.642465052;9.413130727
2.22562012;1.523539067;1.342461781;2.275079585;3.937057088;4.390778878;1.939728685;2.025720707;1.982945693;1.351950338;3.215900245
2.286463974;2.860731939;2.760203017;2.56867383;2.713105832;2.52508054;6.872323118;6.279610594;7.01766003;6.349006813;7.68287944
1.303962384;1.532833533;2.901009469;2.016210108;4.223949522;1.782569045;0.034718398;0.129687305;0.171299665;-2.132151987;-0.785647551
2.507967371;2.26661262;1.143498614;1.146129982;3.984187269;1.188364486;2.217873569;2.437692455;2.116801156;3.626151492;2.487457875
1.668149149;2.967611284;2.181743938;1.249834543;4.008308383;4.029954143;8.639973878;8.498528776;9.07431821;9.209728338;9.860679295
2.305259612;1.928161231;1.032902229;2.045067646;3.77241324;2.869000965;2.086745929;2.15514571;2.154435374;1.140607808;5.19495797
2.503657926;2.35327616;1.664394611;2.239666052;4.357375692;4.655579326;4.289307005;4.406171417;3.984553291;4.965279811;4.954293848
1.320387351;1.104453095;2.429539694;1.372608794;3.236242337;3.324779355;2.571287549;2.531776382;2.822181798;3.64616408;2.593398668
1.654027939;1.279928545;1.45413902;2.782228241;1.248653683;1.055789465;1.09924203;0.234363186;0.663904323;3.353975662;1.048400118
1.761189249;1.460133807;2.122957177;1.558156733;4.124122516;3.392845109;2.854170172;3.819087204;2.541182298;2.700381641;1.243586342
1.246120225;1.676034406;2.107250565;2.392026852;4.639880244;4.383258095;1.795493051;0.786533208;3.291552634;2.57932757;-1.7177101
1.290255945;2.366666713;2.768982002;1.125676812;3.302245737;1.09234889;0.005384665;0.443785023;0.397481187;0.082212304;0.990954174
2.624819851;1.313801081;2.638105203;2.911221626;4.304162294;3.352000185;1.791096558;1.98545413;1.657284479;1.763935164;-0.050968646
2.716345838;1.496388658;2.422233897;1.487582262;3.378016891;1.71721004;1.338298662;2.040138842;1.182999315;-0.477827803;3.284601474
2.522224115;1.338141537;2.820084977;2.780428105;4.731825666;4.248338071;2.924692091;2.650026809;3.642038594;1.319157689;2.632101136
2.743896929;2.890802213;1.953138875;1.517525043;4.036711682;3.032895186;7.330232037;7.75716927;6.875664637;7.769272173;6.460436234
2.50083505;2.11915042;2.503067425;2.259503507;3.663046117;1.709737428;0.404763346;-0.447641977;0.737841394;-0.070840457;-1.858096392
2.142437796;2.984065684;1.316967863;2.686874365;3.892789621;1.854909555;1.650605763;1.337225023;0.707422864;2.227455467;3.001963311
2.133159976;2.180209685;1.032146805;1.221146913;4.600637403;4.493237309;3.926905708;4.279576399;3.55865269;3.999658377;-0.180377565
2.110887359;1.591678773;1.98265618;2.350254115;4.749974785;3.16388824;1.146472016;0.839622771;-0.166359104;0.648317634;-0.666317243
2.162826496;2.55373992;2.198127542;2.427297849;1.99265568;4.092467018;0.514913345;1.122667638;0.283386248;-0.157020583;5.147428708
2.731070309;2.169312653;1.26796926;1.454364548;3.464773354;2.084518129;3.974332248;4.011718129;3.430604465;5.065453665;6.720492691
1.181775392;2.080133146;2.606725377;1.643315702;4.954113693;1.300183694;0.171499494;0.585511739;1.446154568;-0.499898181;2.821808822
1.164156408;1.252838599;2.103691792;1.683942747;4.723456623;2.750034147;0.323917912;0.265365646;-0.529086405;-0.211170753;1.308450678
1.453320098;2.764784453;2.918550057;1.84816835;4.696651775;4.541871857;6.238070846;6.234115012;6.241126528;5.981935515;5.092425621
1.956177668;1.163767623;2.383411372;1.142277299;3.117534464;4.534418295;1.643099692;1.643099692;1.643099692;1.643099692;1.643099692
1.611342675;2.127924545;1.416647817;2.012847527;4.929567911;2.000610898;0.429975973;0.429975973;0.429975973;0.429975973;0.429975973
1.529814377;1.694020163;2.176650996;2.104481315;2.958840635;1.812939693;1.549067887;1.549067887;1.549067887;1.549067887;1.549067887
1.585797703;2.205696506;2.960946162;1.805531036;1.968863619;3.593870552;0.446477155;0.446477155;0.446477155;0.446477155;0.446477155
1.13257368;1.47434652;2.677848636;2.536542102;3.317665949;4.422431964;0.798929342;0.798929342;0.798929342;0.798929342;0.798929342
1.72771223;1.641618879;1.552682707;1.767857433;3.491374568;4.171963076;2.267680035;2.267680035;2.267680035;2.267680035;2.267680035
2.200006734;2.306409009;1.403593347;1.142596038;1.243625141;4.104145679;1.269976165;1.269976165;1.269976165;1.269976165;1.269976165
1.067667408;2.24458696;2.57875654;2.318411231;1.988456052;2.747037685;1.916873879;1.916873879;1.916873879;1.916873879;1.916873879
2.702329135;1.190626111;1.015130857;1.058894261;1.222368613;4.958300461;0.770141903;0.770141903;0.770141903;0.770141903;0.770141903
2.326815243;1.614084184;2.418515513;1.350208057;1.06551508;1.954986473;4.50170465;4.50170465;4.50170465;4.50170465;4.50170465
2.988628709;1.332463228;2.514594761;1.45483104;3.866831777;3.651675671;6.716809224;6.716809224;6.716809224;6.716809224;6.716809224
2.47640962;2.50133579;2.360623049;2.248383847;3.483897093;3.966257461;5.830535857;5.830535857;5.830535857;5.830535857;5.830535857
1.583735744;2.836773091;2.639099968;2.67814526;2.161836152;4.601767106;0.002594375;0.002594375;0.002594375;0.002594375;0.002594375
1.591922437;1.932805401;2.837453218;1.799744753;4.091102907;1.635708749;0.044946502;0.044946502;0.044946502;0.044946502;0.044946502
2.867171342;1.348087335;2.712476009;2.779985337;3.55611415;1.647787213;0.155548644;0.155548644;0.155548644;0.155548644;0.155548644
2.043058245;2.391134306;1.397239237;1.285638717;4.944144264;1.717449024;0.628201563;0.628201563;0.628201563;0.628201563;0.628201563
1.883419173;2.017101232;2.152820071;2.197578145;2.665101567;4.269823773;1.217016514;1.217016514;1.217016514;1.217016514;1.217016514
1.205765254;2.53340219;2.918406086;1.123410266;1.159133161;3.03353356;0.165808895;0.165808895;0.165808895;0.165808895;0.165808895
1.12107418;2.199849473;2.482292899;1.689058518;1.302697036;1.017063242;3.475079983;3.475079983;3.475079983;3.475079983;3.475079983
2.227376403;2.36088417;1.581718065;1.020506374;3.145098124;2.906240426;8.053963624;8.053963624;8.053963624;8.053963624;8.053963624
1.905711649;2.367120499;2.295170416;2.585501766;2.672589997;3.220423139;3.503940613;3.503940613;3.503940613;3.503940613;3.503940613
2.728237088;1.73743394;1.268688168;2.204346767;1.385839153;1.622616638;2.707678487;2.707678487;2.707678487;2.707678487;2.707678487
1.315507761;1.770364622;1.512103873;1.705744634;4.751804953;3.420996452;1.455392543;1.455392543;1.455392543;1.455392543;1.455392543
1.753310067;1.5552128;2.304466441;2.309824852;1.810234378;1.456521746;2.573115065;2.573115065;2.573115065;2.573115065;2.573115065
1.76064404;1.060668206;1.523051115;2.756609546;1.08305293;2.128212612;0.8315075;0.8315075;0.8315075;0.8315075;0.8315075
