n;alpha;theta;theta_noise_0.05;theta_noise_0.1;theta_noise_0.3;theta_noise_1
0.437365597;0.053816876;1.023723784;1.00913371;1.026135211;1.201908939;0.843606016
0.879650271;0.511734877;1.529616238;1.60667835;1.58791454;1.661543275;1.607506281
0.783157671;0.66523392;1.630471341;1.670074282;1.758312244;1.528458922;1.695384541
0.552727822;0.93478954;1.624186642;1.561411258;1.580030604;1.673192324;1.886875745
0.358741594;0.832888519;1.33184234;1.20566655;1.305964283;1.362587959;1.627074209
0.236653378;0.370222047;1.090250029;1.16651793;1.015509131;0.982874511;1.101418791
0.112841849;0.572008392;1.065965771;1.043339626;0.970603843;0.922896634;1.039407969
0.427690655;0.059767631;1.025781735;1.009684469;0.954932667;1.187918365;1.215630441
0.522136998;0.105776164;1.05626549;1.054197285;1.064874319;0.818648142;1.077997711
0.074939648;0.450244366;1.034124959;0.968913135;0.990310456;1.094941936;0.809371018
0.087553698;0.59725339;1.053219388;1.023029509;1.068698466;1.163937361;1.053467622
0.572316953;0.940230552;1.655727745;1.609105347;1.669821951;1.665687621;1.797144603
0.25713402;0.289803075;1.076416367;1.129690647;1.118594365;0.809507108;1.346514157
0.16948163;0.127664784;1.02179402;0.894739767;1.03087489;0.812155611;1.033862728
0.44545843;0.578950525;1.282154087;1.323024774;1.143358016;1.258704502;1.453083487
0.980156027;0.951105179;2.35251813;2.360486385;2.358806668;2.710677393;2.709883054
0.154991898;0.241257754;1.037864959;0.97916857;1.135746799;1.228145673;1.221909848
0.085258594;0.406817852;1.035090418;1.046406526;0.872452924;0.995415424;0.82595873
0.16953902;0.300413131;1.051811362;1.057129323;0.952315577;1.294895605;1.064584274
0.551291796;0.38565472;1.228824978;1.174945646;1.233146592;1.0400474;0.970043043
0.775931922;0.280635421;1.234796614;1.206879941;1.341233512;1.256583657;0.919468893
0.312370615;0.023511285;1.007362258;0.985275383;1.038274823;1.027160368;0.73523648
0.327321799;0.454818423;1.156645353;1.147385217;1.150809032;1.061701822;1.223796722
0.834974664;0.766608174;1.813718338;1.823055535;1.877826934;1.739749928;1.826876819
0.033042754;0.244709512;1.008107729;0.979389327;1.014958794;0.960840846;0.822297079
0.981863315;0.117889972;1.12039724;1.043524946;1.223968221;1.118443608;1.472024334
0.947221783;0.115541529;1.113587247;1.077207464;1.042098663;0.901843179;0.860877353
0.126425435;0.853090011;1.111874239;1.011799185;1.279767127;1.10811444;1.196081755
0.513196325;0.806993455;1.480475023;1.513057298;1.515683935;1.488893487;1.165248551
0.637643648;0.627367829;1.46158787;1.489273418;1.326587546;1.678980727;1.025934249
0.720112299;0.112214387;1.083043799;1.083924047;1.078298981;0.929374244;1.309173178
0.451563461;0.902338206;1.471502961;1.551494858;1.399610095;1.715126384;0.942047941
0.964112176;0.565960571;1.666957884;1.74753456;1.61652784;1.62083328;1.651070718
0.692427216;0.91181341;1.799655836;1.778036334;1.723620135;1.792872662;2.070828406
0.763019837;0.147256413;1.116731532;1.103822624;1.221200524;0.927437453;0.69482419
0.489256452;0.243183055;1.123892405;1.163677819;1.112866673;1.231910802;0.899919756
0.046516506;0.720469293;1.033892333;1.074278043;0.936967961;0.962852128;0.979227241
0.676936022;0.208093753;1.147806467;1.143108939;1.119509684;1.127520933;1.121469659
0.766897994;0.517630126;1.457508476;1.439971744;1.310526555;1.618253326;1.1095611
0.275994925;0.699231762;1.20625224;1.139741752;1.332218364;1.242922748;1.605576889
0.035327964;0.55534219;1.019748257;1.066145022;1.00692491;0.887668012;1.337568487
0.97604474;0.587796484;1.709375639;1.715874934;1.565398572;1.785561516;2.079220367
0.651245722;0.035736454;1.023455172;1.088323533;1.170607742;1.048357629;0.786951538
0.86215643;0.735374449;1.803900975;1.830115315;1.699721235;1.892153697;1.479976391
0.562152846;0.396691946;1.240909212;1.248834057;1.322653524;1.154603855;1.095003904
0.526202345;0.238406606;1.130924966;1.181416316;1.106236936;0.80156691;0.999738357
0.875899891;0.016213955;1.014269352;0.981455544;1.011527572;0.965236356;1.134741183
0.557242776;0.699949308;1.44833095;1.448924046;1.497655657;1.336206846;1.192161672
0.283049855;0.728408038;1.22139094;1.111310555;1.275092198;1.044385364;0.714759722
0.404245949;0.77620528;1.350430256;1.269836025;1.30935807;1.554165759;1.378826279
0.315383165;0.962574759;1.337758799;1.373497419;1.386479642;1.229844384;1.273045029
0.894986346;0.228721191;1.219692893;1.2491998;1.081431035;0.932215948;0.671006983
0.00847641;0.277827879;1.002356833;1.095651808;0.880678959;1.319030691;0.610369157
0.502347183;0.167394723;1.086515299;1.123909936;1.172077541;1.368563221;1.63553441
0.21499582;0.525268971;1.117348029;1.161948054;1.289566483;1.034558867;1.588295275
0.236423888;0.841347529;1.213040264;1.200808832;1.228652646;1.389685551;1.410284106
0.386345643;0.426106013;1.174182415;1.176821738;1.174024055;0.997630938;1.060264869
0.17446586;0.579063729;1.104547555;1.114538308;0.93808612;1.019055761;0.786222926
0.3296348;0.821109225;1.297507955;1.261812336;1.27235251;1.216928321;1.349677341
0.35496553;0.070252572;1.025146267;1.042439319;0.952733309;1.011565332;0.859032654
0.015692692;0.837568856;1.013201549;0.906164471;1.080684217;1.214486881;0.608399352
0.400697635;0.679770089;1.299582596;1.268262421;1.313750686;1.208335228;1.483999725
0.145095064;0.867010121;1.131304892;1.032803689;1.269093976;1.021504587;1.224398424
0.529113724;0.173546412;1.094725194;1.111386715;0.899233431;1.14946258;1.460242594
0.625695316;0.67887232;1.494829713;1.511695793;1.493672481;1.60052214;1.519348797
0.400539494;0.156349069;1.063959101;1.120546846;0.907089518;1.103802078;0.869251162
0.39145442;0.338080401;1.138450732;1.121659119;1.127409389;1.130576907;1.20223709
0.486889538;0.089552178;1.044245077;1.064402346;1.115629416;1.173341823;0.694741625
0.690646784;0.934623458;1.822458986;1.823435029;1.871662016;2.169151895;1.475970125
0.595268304;0.955782827;1.702099799;1.728633934;1.703627246;1.79369411;1.248849528
0.306057215;0.755507275;1.250539037;1.384317877;1.275887205;1.051750457;1.289015125
0.08179405;0.69073806;1.057582705;1.01395564;0.965673136;0.822244659;0.813993069
0.832724613;0.268535994;1.24162714;1.244581945;1.370150009;1.345030737;1.383134009
0.319546116;0.757359104;1.263247433;1.241320084;1.298298909;1.395336316;0.694750816
0.817205539;0.278950738;1.2467065;1.258746405;1.059233789;1.031898626;1.27974482
0.277111315;0.335953992;1.096078171;1.184613595;1.07381129;1.319081653;1.579797225
0.972267919;0.89157664;2.219115279;2.179224323;2.318721742;2.272469971;2.632133526
0.77790938;0.215905213;1.177915258;1.167304447;1.105140513;1.245648479;1.11010958
0.708703171;0.229117947;1.171668252;1.249419132;1.183953549;1.203817284;1.277499926
0.458963106;0.392049679;1.191417316;1.351610016;1.049284005;1.334243425;0.585341672
0.723445463;0.447680937;1.363068768;1.29471345;1.355289304;1.232465002;1.588598022
0.337716983;0.411228614;1.145620071;1.150754979;1.082734722;0.790400872;1.31873674
0.559838941;0.406896973;1.246515228;1.204094207;1.067890996;1.218816362;1.144858835
0.056516165;0.898570132;1.051658203;1.1074743;0.978726553;1.179582992;1.128933377
0.166607085;0.302834462;1.05131743;1.049020176;1.056761139;1.02289302;1.098960823
0.847029815;0.088409293;1.076802432;1.0747403;1.014404217;1.017501524;1.10322159
0.856725505;0.177790652;1.160465011;1.198248219;1.188028524;1.363566038;1.027057287
0.418611095;0.557144499;1.252886873;1.299046978;1.294755893;1.388169128;1.189100528
0.466918946;0.965452459;1.530502821;1.566704258;1.63909842;1.646558879;2.198821556
0.096205441;0.931414656;1.092366044;1.052013637;0.930150492;0.960148157;0.85208176
0.317836307;0.868221749;1.303907017;1.284373754;1.242423224;1.575021632;1.308413807
0.416173383;0.34485652;1.150731085;1.157958224;1.126181838;0.762099729;0.577686175
0.364103073;0.564527944;1.220665345;1.196384869;1.16806489;1.161184496;1.325690293
0.261001591;0.965160982;1.275000185;1.29235997;1.300793685;1.444200984;1.046800336
0.995892962;0.217437633;1.233391139;1.270682796;1.250891396;1.187694489;1.174567295
0.777180765;0.171382825;1.139383867;1.067126289;1.207543844;1.255359007;0.907064096
0.210636631;0.612654356;1.134848049;1.153441921;1.378909836;1.177427969;1.012047549
0.999863116;0.803730331;2.097652174;2.115290662;2.149608636;2.139210611;1.828431538
0.593127711;0.710478913;1.490272441;1.50055988;1.381058341;1.266181801;1.722364634
0.98343736;0.387162743;1.436098521;1.459395859;1.398308814;1.220291217;1.57526572
0.672781731;0.283992516;1.204061299;1.204061299;1.204061299;1.204061299;1.204061299
0.92065586;0.561033978;1.623945903;1.623945903;1.623945903;1.623945903;1.623945903
0.773262627;0.208343;1.1702463;1.1702463;1.1702463;1.1702463;1.1702463
0.16677458;0.742256371;1.129117282;1.129117282;1.129117282;1.129117282;1.129117282
0.365705261;0.420844731;1.16222769;1.16222769;1.16222769;1.16222769;1.16222769
0.213196993;0.106242508;1.022822901;1.022822901;1.022822901;1.022822901;1.022822901
0.341092863;0.504909068;1.182709688;1.182709688;1.182709688;1.182709688;1.182709688
0.940155262;0.108467396;1.10556455;1.10556455;1.10556455;1.10556455;1.10556455
0.3573388;0.574814233;1.220500623;1.220500623;1.220500623;1.220500623;1.220500623
0.804086999;0.114122854;1.094660192;1.094660192;1.094660192;1.094660192;1.094660192
0.080901422;0.567353806;1.046612903;1.046612903;1.046612903;1.046612903;1.046612903
0.580145656;0.683136254;1.456644027;1.456644027;1.456644027;1.456644027;1.456644027
0.105471316;0.020910993;1.002207133;1.002207133;1.002207133;1.002207133;1.002207133
0.078040571;0.632682455;1.050201125;1.050201125;1.050201125;1.050201125;1.050201125
0.657493695;0.751499863;1.591533207;1.591533207;1.591533207;1.591533207;1.591533207
0.121182201;0.492636564;1.060910885;1.060910885;1.060910885;1.060910885;1.060910885
0.020626739;0.659961098;1.013674897;1.013674897;1.013674897;1.013674897;1.013674897
0.772490147;0.698484669;1.657900951;1.657900951;1.657900951;1.657900951;1.657900951
0.881743868;0.375544523;1.372218864;1.372218864;1.372218864;1.372218864;1.372218864
0.815715963;0.960387269;2.060278398;2.060278398;2.060278398;2.060278398;2.060278398
0.921693706;0.768412584;1.927114573;1.927114573;1.927114573;1.927114573;1.927114573
0.131576569;0.037443991;1.004934856;1.004934856;1.004934856;1.004934856;1.004934856
0.060582681;0.455928106;1.027878023;1.027878023;1.027878023;1.027878023;1.027878023
0.285178087;0.370166579;1.109413414;1.109413414;1.109413414;1.109413414;1.109413414
0.008992563;0.185476364;1.001668836;1.001668836;1.001668836;1.001668836;1.001668836
0.358395446;0.535751557;1.205140668;1.205140668;1.205140668;1.205140668;1.205140668
0.276932809;0.253841592;1.071983815;1.071983815;1.071983815;1.071983815;1.071983815
0.018873962;0.02970848;1.000560822;1.000560822;1.000560822;1.000560822;1.000560822
0.422854787;0.949673366;1.463635198;1.463635198;1.463635198;1.463635198;1.463635198
0.785960139;0.260119265;1.219394633;1.219394633;1.219394633;1.219394633;1.219394633
0.653132843;0.862971545;1.694027871;1.694027871;1.694027871;1.694027871;1.694027871
0.016124607;0.048549666;1.000783049;1.000783049;1.000783049;1.000783049;1.000783049
0.413050204;0.067203411;1.028017624;1.028017624;1.028017624;1.028017624;1.028017624
0.021933962;0.914800557;1.020200309;1.020200309;1.020200309;1.020200309;1.020200309
0.24661953;0.421794203;1.107759154;1.107759154;1.107759154;1.107759154;1.107759154
0.245898984;0.03889448;1.009594701;1.009594701;1.009594701;1.009594701;1.009594701
0.728661401;0.72462744;1.640788548;1.640788548;1.640788548;1.640788548;1.640788548
0.329289902;0.817106408;1.295574459;1.295574459;1.295574459;1.295574459;1.295574459
0.472346009;0.436684476;1.221495155;1.221495155;1.221495155;1.221495155;1.221495155
0.872519583;0.755747385;1.845175123;1.845175123;1.845175123;1.845175123;1.845175123
0.161371945;0.442165831;1.073091599;1.073091599;1.073091599;1.073091599;1.073091599
0.123223057;0.811393935;1.103429485;1.103429485;1.103429485;1.103429485;1.103429485
0.22701601;0.953749879;1.233358478;1.233358478;1.233358478;1.233358478;1.233358478
0.058472099;0.937936568;1.055864379;1.055864379;1.055864379;1.055864379;1.055864379
0.354438619;0.062240675;1.022223923;1.022223923;1.022223923;1.022223923;1.022223923
0.098306238;0.485127809;1.048461484;1.048461484;1.048461484;1.048461484;1.048461484
0.805266606;0.80944819;1.832758188;1.832758188;1.832758188;1.832758188;1.832758188
0.00066264;0.858836001;1.000569207;1.000569207;1.000569207;1.000569207;1.000569207
0.725653074;0.673070084;1.583395085;1.583395085;1.583395085;1.583395085;1.583395085
0.954665479;0.352445167;1.378971011;1.378971011;1.378971011;1.378971011;1.378971011
0.082991724;0.166135917;1.013851568;1.013851568;1.013851568;1.013851568;1.013851568
0.305249487;0.078327565;1.024101534;1.024101534;1.024101534;1.024101534;1.024101534
0.829233498;0.789255258;1.837097146;1.837097146;1.837097146;1.837097146;1.837097146
0.028687512;0.368713639;1.010614903;1.010614903;1.010614903;1.010614903;1.010614903
0.894851456;0.296495617;1.291060917;1.291060917;1.291060917;1.291060917;1.291060917
0.554628156;0.209588679;1.120929552;1.120929552;1.120929552;1.120929552;1.120929552
0.109525496;0.601734521;1.067385628;1.067385628;1.067385628;1.067385628;1.067385628
0.855754096;0.891418456;2.022948677;2.022948677;2.022948677;2.022948677;2.022948677
0.600188829;0.588840447;1.400609298;1.400609298;1.400609298;1.400609298;1.400609298
0.956419582;0.624093816;1.745155558;1.745155558;1.745155558;1.745155558;1.745155558
0.650078119;0.372066154;1.263082865;1.263082865;1.263082865;1.263082865;1.263082865
0.908901356;0.142704611;1.135565565;1.135565565;1.135565565;1.135565565;1.135565565
0.368946914;0.2643407;1.100804771;1.100804771;1.100804771;1.100804771;1.100804771
0.084479607;0.969519808;1.08420354;1.08420354;1.08420354;1.08420354;1.08420354
0.933982885;0.353497525;1.370989329;1.370989329;1.370989329;1.370989329;1.370989329
0.410645011;0.237318629;1.100725743;1.100725743;1.100725743;1.100725743;1.100725743
0.679317534;0.132294215;1.092645112;1.092645112;1.092645112;1.092645112;1.092645112
0.73421224;0.289523841;1.228782889;1.228782889;1.228782889;1.228782889;1.228782889
0.596848963;0.899638736;1.654003907;1.654003907;1.654003907;1.654003907;1.654003907
0.944366724;0.867109986;2.126301159;2.126301159;2.126301159;2.126301159;2.126301159
0.385525373;0.049584527;1.019238683;1.019238683;1.019238683;1.019238683;1.019238683
0.453110512;0.718571298;1.365230998;1.365230998;1.365230998;1.365230998;1.365230998
0.70037614;0.144077532;1.10442078;1.10442078;1.10442078;1.10442078;1.10442078
0.321475342;0.180881639;1.059298367;1.059298367;1.059298367;1.059298367;1.059298367
0.743205987;0.683310918;1.611326225;1.611326225;1.611326225;1.611326225;1.611326225
0.208271756;0.731500246;1.160501697;1.160501697;1.160501697;1.160501697;1.160501697
0.844625401;0.552858381;1.553040504;1.553040504;1.553040504;1.553040504;1.553040504
0.921622112;0.818489998;2.007727754;2.007727754;2.007727754;2.007727754;2.007727754
0.253868019;0.078464515;1.020052779;1.020052779;1.020052779;1.020052779;1.020052779
0.997845778;0.700184209;1.910791979;1.910791979;1.910791979;1.910791979;1.910791979
0.928452736;0.497926731;1.546520507;1.546520507;1.546520507;1.546520507;1.546520507
0.491104249;0.914530973;1.528208089;1.528208089;1.528208089;1.528208089;1.528208089
0.836361108;0.299531479;1.273342041;1.273342041;1.273342041;1.273342041;1.273342041
0.74831879;0.023283876;1.017525549;1.017525549;1.017525549;1.017525549;1.017525549
0.164236887;0.731220057;1.125101247;1.125101247;1.125101247;1.125101247;1.125101247
0.621449678;0.643271672;1.46122026;1.46122026;1.46122026;1.46122026;1.46122026
0.590136412;0.597618313;1.39965985;1.39965985;1.39965985;1.39965985;1.39965985
0.649355119;0.198578302;1.134739283;1.134739283;1.134739283;1.134739283;1.134739283
0.840513995;0.000780727;1.000656356;1.000656356;1.000656356;1.000656356;1.000656356
0.947310553;0.811754857;2.034036406;2.034036406;2.034036406;2.034036406;2.034036406
0.988034892;0.73184832;1.952728313;1.952728313;1.952728313;1.952728313;1.952728313
0.732611824;0.22348211;1.173176797;1.173176797;1.173176797;1.173176797;1.173176797
0.200339565;0.628161116;1.131355701;1.131355701;1.131355701;1.131355701;1.131355701
0.838387931;0.089387866;1.076861758;1.076861758;1.076861758;1.076861758;1.076861758
0.328540742;0.494550516;1.171783804;1.171783804;1.171783804;1.171783804;1.171783804
0.550198335;0.96814106;1.647667128;1.647667128;1.647667128;1.647667128;1.647667128
0.954239474;0.18205935;1.184407126;1.184407126;1.184407126;1.184407126;1.184407126
0.150402779;0.158252062;1.023991898;1.023991898;1.023991898;1.023991898;1.023991898
0.671416106;0.501327546;1.37913867;1.37913867;1.37913867;1.37913867;1.37913867
0.910536264;0.714920184;1.83135361;1.83135361;1.83135361;1.83135361;1.83135361
