C_L?;?;C_L?_e;?_e;S_HT;S_ref;C_L;C_L_noise_0.05;C_L_noise_0.1;C_L_noise_0.3;C_L_noise_1
0.589024054;7.565934655;0.666538344;6.367204479;1.293978623;6.103575391;6.534304981;6.64679037;6.967931359;6.06857557;3.417948268
0.784754994;5.266712272;0.456752379;8.921493974;1.047391447;5.027530015;6.551520454;6.443883953;6.352867735;7.22571691;6.473032566
0.749142624;5.720978842;0.420505145;9.405063551;1.095813089;5.334343095;6.596549275;6.938179891;6.586067632;6.96378781;4.539015097
0.64131514;6.91227241;0.512677761;8.213548321;1.226660775;5.873330364;6.59503371;6.59627386;7.04978985;6.263322305;9.367451429
0.474452989;9.447442717;0.524490271;9.434260508;1.376595114;6.856462662;6.42473576;6.599606999;6.708988775;5.292066858;6.010895072
0.468046613;9.080667549;0.789370608;5.41592208;1.38500766;6.740289293;6.064739043;6.087072179;6.108090245;6.189712642;5.319498901
0.563307001;8.211414766;0.41306502;8.20466833;1.263898851;6.331775288;6.428659046;6.618683593;5.828652077;6.092638299;5.077180324
0.59133079;7.537401028;0.662693397;6.338667476;1.289171755;6.123412418;6.524116431;6.671601038;6.22786959;5.51448829;10.26407866
0.56062524;9.027970598;0.607011652;9.429805846;1.429794796;5.797305919;7.594274455;7.610939797;7.473592383;7.649615146;9.849590015
0.467206421;7.176958378;0.773364217;8.346813796;1.447050094;6.42559935;5.741233647;5.608717184;5.698186717;4.939590292;8.927445577
0.553215799;8.4160316;0.404434409;8.410550422;1.276550239;6.257740159;6.456206874;6.424943787;6.697140973;7.131055673;8.271937807
0.60867831;7.462511905;0.537311305;8.661227259;1.210821625;5.876629782;6.718490274;6.46977202;6.892503807;7.581377192;7.016339466
0.609323858;7.098293489;0.483887045;5.857319825;1.390262331;5.803587819;6.222765632;5.616316203;6.60065899;5.443794006;6.455899602
0.684447491;8.329750729;0.507426751;6.75929515;1.121499943;5.004615199;7.838777196;7.847865847;7.454649981;6.243372453;7.505952362
0.654802775;5.955141377;0.77951791;5.057744547;1.024179043;5.602970933;5.929725387;6.343565946;5.886843812;6.705380117;7.63102432
0.513488111;9.594575268;0.671819321;5.509682411;1.439472509;6.179582746;6.815906855;6.322628968;5.993724294;7.060395994;9.190331645
0.57749566;9.810277112;0.438468676;5.49818159;1.322512806;5.36840045;7.414282828;7.544353542;7.813122716;7.010551669;6.182474042
0.638243627;7.537744068;0.541363294;9.221524368;1.098496875;6.178255074;6.975019125;6.724588654;7.758693511;7.610055423;5.091450906
0.669194055;7.672555651;0.615579815;7.43171455;1.108600726;6.335615586;7.273313783;6.532769942;7.089778098;7.22879618;6.751153845
0.768051201;7.887115878;0.629795909;8.17058279;1.379379957;6.694872027;8.654027584;8.528029902;8.674500178;8.572158143;7.35204707
0.546481522;5.922545503;0.598117131;8.552493984;1.196352983;6.57969247;5.259631394;5.083810669;4.742323574;4.534422698;5.917297796
0.417573368;9.29458346;0.755645416;6.559172204;1.077765984;6.660259827;5.518365305;5.433431002;5.022279496;5.058992389;2.388765893
0.752475188;9.977130237;0.673338397;6.033914278;1.384189896;6.671259415;9.855479333;10.23944153;9.774158825;8.960560507;10.38378281
0.560244049;9.942570919;0.681182727;6.191453504;1.480588617;6.013870049;7.729087168;7.317797844;8.1065527;8.072734769;7.674773444
0.712222744;5.257280738;0.626633916;7.845574598;1.409470977;6.634850357;6.213192693;6.188050967;6.244755474;6.03853148;7.009760946
0.484159454;9.251666816;0.632986341;7.451706628;1.221419538;5.235624998;6.54799031;6.862429909;6.410011279;6.062481524;5.955593114
0.587912462;7.632607882;0.508166312;6.033062915;1.034725776;6.17116278;6.177176223;6.532778809;5.991707351;5.942279617;6.218822771
0.571558673;5.026668765;0.526634861;5.257080526;1.302642115;5.308098903;4.695576625;4.619810641;4.489233565;4.902685997;5.16941587
0.498179249;7.144352283;0.645849106;5.324311158;1.239786727;6.756722242;5.186491751;5.194743085;4.995280191;5.813650956;4.903430234
0.772870033;9.049317851;0.768592197;6.665874207;1.445679242;6.445338562;9.688843458;9.858146878;9.394520207;10.18004137;10.67118047
0.61579028;5.502833258;0.552995343;6.362425376;1.393122582;5.823837262;5.461807745;5.511955621;4.736802431;5.736033105;3.455725656
0.610507951;9.773119527;0.572208344;5.086757577;1.400291575;5.375085181;7.945860899;7.905160424;8.614382745;8.669502232;9.308717176
0.433582578;8.949313626;0.518874613;8.795191848;1.306620375;5.397876626;5.852105827;5.77258223;6.029043036;6.487226673;6.036394735
0.754871605;8.065308223;0.634383816;8.760556107;1.484677218;6.105665198;8.949411995;9.143736935;9.152033122;8.946846118;10.39465112
0.678060536;7.192452386;0.652845344;7.688371736;1.022376764;5.999794507;7.088340783;7.134252612;6.091115896;6.079134944;7.001483222
0.793737499;7.912353759;0.593491995;5.086176503;1.187381351;5.699515333;8.496673574;8.079810759;8.504643602;8.671897853;9.9874595
