m;v;c;E_n;E_n_noise_0.05;E_n_noise_0.1;E_n_noise_0.3;E_n_noise_1
4.061955084;1.382319389;8.885727521;324.6690457;350.0188523;327.9587736;270.4687843;352.3293959
2.206112976;1.933965486;5.460106502;70.32980533;48.32279595;40.68559426;116.263295;-119.4706693
2.570138459;1.774743708;6.081929958;99.39500961;84.62431465;75.16723098;61.16753671;158.1634905
1.523415788;1.513046989;4.468809007;32.33263683;19.86067828;6.632801182;35.81102338;-22.98710108
2.412137514;1.122616936;3.773280239;35.97210229;44.41703081;36.34453782;-41.45817263;119.7300431
3.253527184;1.19805719;6.633922535;145.5779184;126.60988;170.2882976;228.668633;318.1833858
1.468357817;1.34510358;5.509921724;45.96906121;40.62727583;67.65787684;66.16648641;114.0806288
4.02325931;1.388026973;8.843642033;318.6078786;318.944122;309.4853158;382.0601319;276.0825007
3.389929521;1.385269623;9.687063668;321.4116238;310.392108;367.1443381;368.9296862;407.6809486
4.105684894;1.811483047;5.578958929;135.1091187;147.5220243;132.3885062;123.5979392;63.05636763
1.366449416;1.323523297;5.221775316;38.51664168;55.24092567;52.64174699;67.44544292;-204.9773401
1.976795151;1.611996004;4.156451354;37.05125211;30.27903331;86.05216487;120.1325077;-17.23517774
1.040825344;1.962359749;7.808527069;65.5665915;90.20377425;57.64326607;8.640044635;40.99360339
4.387782154;1.82458153;6.248102514;179.1003661;140.8120392;212.5131303;224.0952758;268.4308065
2.256389274;1.071867206;3.901353843;35.71801752;16.9542449;47.41215792;-18.34491401;62.1470773
2.761104341;1.813074005;5.268527417;81.62670979;49.82611224;84.48707654;142.6406381;150.7210754
3.340067584;1.811711756;4.182056556;64.81405921;70.55014489;-9.781492439;113.2518699;212.4197406
4.095734801;1.634844585;3.451977155;55.41393632;83.93089181;33.2993261;94.48904308;-28.52445265
4.299399927;1.62403415;6.643507235;195.6963961;200.2109572;149.2135195;260.8187569;315.050552
1.190716005;1.390263217;5.734339484;40.35797307;52.8708449;36.00756982;55.91648476;88.86655007
3.065007806;1.805463712;7.326523594;169.7585137;143.2798791;154.5897954;271.7690811;242.2132915
2.108237388;1.270901396;7.887802229;132.9055859;161.7502743;110.338387;112.0245435;-9.951026867
4.495096496;1.873518308;8.577052691;338.8685955;347.2654496;318.1379459;388.710627;343.1692339
2.854830187;1.99226898;5.345146622;87.89794807;117.8169613;140.7883153;119.6491888;84.79545042
3.920169097;1.650789276;3.725201611;60.68443907;47.34684548;79.78590441;-17.8226898;-4.068694338
3.355552314;1.176042556;7.401947954;186.2121677;166.1394275;224.4300045;229.5423908;170.8825762
1.82066048;1.021696285;8.380136869;128.8199533;161.4569133;146.1539822;216.2267387;237.7643739
4.728982058;1.820007302;6.889336101;232.7190023;264.2185032;269.7723318;255.3494523;404.1130062
2.824117192;1.648554235;8.054090906;187.1584592;184.0386548;189.5999555;198.2678956;276.7449991
4.626023367;1.012887688;9.841083186;450.4081433;438.269113;439.7643491;382.4919245;474.8238981
4.766615689;1.41287084;4.234189804;90.65333471;133.8425985;82.98969065;150.1071603;-15.71423258
1.535576825;1.902970025;5.074936907;42.66154532;25.13301861;56.40072141;183.9552808;-123.3615091
