m1;m2;G;x1;x2;y1;y2;z1;z2;F;F_noise_0.05;F_noise_0.1;F_noise_0.3;F_noise_1
1.446686898;1.6731731;1.937029481;3.819531833;1.647949326;3.373599528;1.913911403;3.877438658;1.787434012;0.418088923;0.434567152;0.451142031;0.473777837;0.591464436
1.98678414;1.135055156;1.379498097;3.371264629;1.16857785;3.817928462;1.403106349;3.431033345;1.278604613;0.203113741;0.233708311;0.222463077;0.228400584;0.190450866
1.835207396;1.046373728;1.282884505;3.46201914;1.009433135;3.969452116;1.306582299;3.277677869;1.430167374;0.149130548;0.15262691;0.074511108;0.160037814;0.026650501
1.56571497;1.308069769;1.052392548;3.200262206;1.278941845;3.738961394;1.044901542;3.008169357;1.16842564;0.150366583;0.196676739;0.126370588;0.140589639;0.337651716
1.198226224;1.289543889;1.918915486;3.517753292;1.883349226;3.762837016;1.320704255;3.109764713;1.284654378;0.247782311;0.248833523;0.194802338;0.270069254;0.226392167
1.129482769;1.999817508;1.734434001;3.508060297;1.96204689;3.050630774;1.726851415;3.700962919;1.60281322;0.458486759;0.417545386;0.472456208;0.448395526;0.308174862
1.459320399;1.054346377;1.674007698;3.761729129;1.647898244;3.516791523;1.08463112;3.357958614;1.059762409;0.164418308;0.151052285;0.19329232;0.175666914;0.084166715
1.440673965;1.683091723;1.927416409;3.825299395;1.653961891;3.363985218;1.91986243;3.883145534;1.793445655;0.418514843;0.446797622;0.4378689;0.438839729;0.491472337
1.707192897;1.094055987;1.961226339;3.049873317;1.362615513;3.830649974;1.455547246;3.19748536;1.483147828;0.320568792;0.313518274;0.305241001;0.339434412;0.389136449
1.728075504;1.280974065;1.329546675;3.059525083;1.935742043;3.413897414;1.350956241;3.076896101;1.43102066;0.357715421;0.342944843;0.374813343;0.363685054;0.457010954
1.496534314;1.028865344;1.648462051;3.787274793;1.684916831;3.557717088;1.121585596;3.317038822;1.022566788;0.162504003;0.174202174;0.16180507;0.133248135;0.172075409
1.559302847;1.316919661;1.072598828;3.174683294;1.34601919;3.635993814;1.08012223;3.116869648;1.206567294;0.162841768;0.153954686;0.228570987;0.109919109;0.061397536
1.431558836;1.913589653;1.451310408;3.014283097;1.649544328;3.364656865;1.583639922;3.359627985;1.202431311;0.410376816;0.391045545;0.474817175;0.472342537;0.279416753
1.802814316;1.755628356;1.805529753;3.891527867;1.184073558;3.613738793;1.054924846;3.204650048;1.90485835;0.367092108;0.361645844;0.345105844;0.389425259;0.415911688
1.331961409;1.858539062;1.391651525;3.482738529;1.210935351;3.152368378;1.066148899;3.183447794;1.832756582;0.303854913;0.308731347;0.293364616;0.322124189;0.095979517
1.659860931;1.529668142;1.847092204;3.592207818;1.781796145;3.023870977;1.075957232;3.414114504;1.926617313;0.505119353;0.495248718;0.529858576;0.501947186;0.52555241
1.074998813;1.400622387;1.889781432;3.828215052;1.167033304;3.542935573;1.803449196;3.69690531;1.289267219;0.178905102;0.167119076;0.248939212;0.165367891;0.143451069
1.967709343;1.130269131;1.578574415;3.911605857;1.99425679;3.970468637;1.748583351;3.600356446;1.543817705;0.273377811;0.305404694;0.272613577;0.236482615;0.494748222
1.471392601;1.702028825;1.914331309;3.203413815;1.208692583;3.826954591;1.836776793;3.018083928;1.13661555;0.417622772;0.409297215;0.422383309;0.443246601;0.481437028
1.709573951;1.963926152;1.916215686;3.455979135;1.889877884;3.211154521;1.291714792;3.459241729;1.475631395;0.638789235;0.62178885;0.607282491;0.653302652;0.628085906
1.245671967;1.913352875;1.298247156;3.560353716;1.862250864;3.320503858;1.943325552;3.516092227;1.346591867;0.326160665;0.303662082;0.300029891;0.31293875;0.468467044
1.090136437;1.011370272;1.201727665;3.61816329;1.11765762;3.183809639;1.340770347;3.602024875;1.432180519;0.092281969;0.104525771;0.124571534;0.096903787;0.07371875
1.026674582;1.439119405;1.332974461;3.241735678;1.297425551;3.401045144;1.224158485;3.592242539;1.520836672;0.153746678;0.121922242;0.119892765;0.200466595;0.147312388
1.527003028;1.596372339;1.843039063;3.568697028;1.84074646;3.12956422;1.115158747;3.390929696;1.918643051;0.487740809;0.465693002;0.58264298;0.468374676;0.394524293
1.604689222;1.980153345;1.329776289;3.516757268;1.90820083;3.090856054;1.009241199;3.080256285;1.386409151;0.431617755;0.427101641;0.453621217;0.405338982;0.545437157
1.078649785;1.691495402;1.268501197;3.896670371;1.003708814;3.285681563;1.687960212;3.48668566;1.090608852;0.138894719;0.138446289;0.121101168;0.112416424;0.28872109
1.701056853;1.563573972;1.998926644;3.794390715;1.422335775;3.470963693;1.604678913;3.011175743;1.242740909;0.434468466;0.46229586;0.44152999;0.423871971;0.486106466
