epsilon;c;Ef;r;omega;omega_0;Pwr;Pwr_noise_0.05;Pwr_noise_0.1;Pwr_noise_0.3;Pwr_noise_1
1.655472017;1.475863335;1.411781191;1.158680811;1.077629062;4.129922164;0.146176183;0.048835223;3.506848297;4.148919713;6.179677938
1.16032273;1.965177342;1.904992023;1.649791084;1.613655299;3.237507641;10.3079348;10.82139807;12.90728928;6.918644639;9.95357859
1.001086707;1.868531795;1.808109852;1.558921475;1.704426526;3.431014826;6.682499023;6.656436108;8.850785148;5.342846829;8.352464964
1.270595163;1.606850395;1.546430481;1.789427148;1.942746346;3.891905655;7.212733922;7.628961774;7.5074583;7.564767777;4.989582279
1.540459357;1.449459026;1.692839567;1.094416382;1.100048636;4.814532656;0.097396672;0.403596965;0.448252858;1.156457518;-4.643509999
1.954705315;1.166602956;1.226785608;1.483306888;1.252949574;4.525285371;0.218032181;0.338826258;-0.695521172;-1.861615868;-1.586425295
1.803316621;1.203808141;1.96261823;1.37246336;1.370450784;4.371350664;0.783872571;0.045221961;1.419968364;2.791321661;2.136435443
1.645615217;1.481815121;1.42139329;1.164388044;1.067709172;4.141945672;0.141760216;0.623949449;-0.056163274;0.868362683;6.852801553
1.949469535;1.459475692;1.209398347;1.434019509;1.931562457;3.861706294;3.990792161;6.19669101;4.502725522;6.510277909;3.388488922
1.23128161;1.42555676;1.480993231;1.765780008;1.643005652;3.572258996;3.619385631;4.394532021;4.446234199;3.477955514;-6.895000519
1.778018416;1.24472215;1.987869033;1.33525622;1.329580766;4.289133446;0.73813347;0.643234408;0.416723024;-3.014228865;3.52290703
1.354396255;1.518162084;1.578584172;1.835623592;1.932303907;3.858089281;8.108211961;7.417614533;5.129651047;10.0027219;0.255299335
1.16653451;1.940996173;1.470274757;1.396373966;1.843452679;3.755564877;4.02799517;4.29951489;3.367342751;2.401841103;-5.966675191
1.731116342;1.088862631;1.069622845;1.939994419;1.574486984;4.683531906;0.551923423;0.410188226;1.889920012;1.018066068;2.667658037
1.113661095;1.097489469;1.789247411;1.247788789;1.237733073;3.752479043;0.380317843;-0.180875528;-0.019720671;1.50243023;0.801057489
1.541050207;1.682807456;1.682773736;1.69297761;1.535189618;4.278904923;1.92441854;2.675255222;0.826903383;1.355427276;0.411164394
1.687764985;1.468517823;1.787716393;1.072760307;1.227591965;3.88365355;0.470509961;-0.478057048;-1.437312482;-0.969826252;-5.129567652
1.345059831;1.61023176;1.307108544;1.973193194;1.148141185;3.574934532;0.798264658;1.41874596;0.398683697;-1.829441055;8.001884519
1.510543223;1.175572302;1.89370845;1.745051743;1.974430077;4.257385501;6.098976325;9.28562335;5.764303275;4.584388986;9.187641275
1.103660721;1.879674363;1.097397122;1.220759657;1.381118519;4.204933851;0.228053105;0.824846589;0.680484604;1.408643682;6.62760452
1.126213572;1.06431528;1.937494324;1.161761008;1.251191562;3.437144716;0.593567551;0.419528187;-0.710525878;-3.208559911;1.548686652
1.837261958;1.301323124;1.330228031;1.785794644;1.004982614;4.540598513;0.149958115;-0.56635753;0.962527061;-0.518268188;2.526157583
1.763157255;1.949649683;1.876620083;1.665059732;1.349933539;4.920902877;0.931054196;0.723352967;-1.11298664;4.851246494;-1.16394558
1.584277142;1.503594474;1.502953024;1.55963539;1.747043797;4.419634884;1.880333834;2.136545141;0.46935149;5.28678879;-4.898197147
1.788121721;1.154303202;1.570966178;1.933933465;1.562384906;3.250325752;7.205771786;8.056761561;6.974146302;6.93558207;11.01255517
1.66237013;1.464536637;1.531966237;1.4064309;1.729871466;3.93577382;2.714162049;1.90761588;0.351534776;6.037561347;-0.644847871
1.596904948;1.390808024;1.224946796;1.782167575;1.290177067;4.031079978;0.577494541;-0.862392749;-0.25689829;0.863978616;-4.016045672
1.578851361;1.721529655;1.710560435;1.397638459;1.027884866;4.019830698;0.318486904;0.894311102;-0.167998354;-0.709093748;1.08541761
1.312323116;1.610407751;1.444307586;1.221117981;1.293930271;4.934173281;0.150165777;1.425503979;-1.103932334;-2.69902131;5.501334246
1.433374629;1.705010086;1.558300456;1.056423772;1.215851365;4.464088098;0.178112003;-0.163740089;0.140775503;-1.545946678;2.88342733
1.503055699;1.56150083;1.027654381;1.154146;1.208309108;4.840937123;0.061050521;0.151682397;-1.299119791;-2.139401609;4.862006322
1.409632999;1.524775462;1.532037432;1.123399482;1.163562193;3.309367068;0.530642029;-0.088760204;-0.59898965;0.273631306;2.608303022
1.517676789;1.030767438;1.031981666;1.99386286;1.602754746;3.558608992;1.796509434;2.357098216;0.401358925;-0.158014079;5.601420831
