sigma;theta;theta1;f;f_noise_0.05;f_noise_0.1;f_noise_0.3;f_noise_1
1.921091465;1.313497989;2.090858273;0.191340471;0.187805657;0.187491148;0.161900231;0.221905714
2.961964126;2.303933237;1.042200258;0.123006267;0.148707618;0.113277148;0.152843242;0.191423759
2.643933212;2.122391677;1.345063462;0.144507263;0.123523578;0.146783102;0.15762708;0.161310867
2.183073448;2.583254858;1.821579217;0.171952316;0.179788234;0.187223464;0.139795907;0.203179721
2.627627995;2.806425083;2.84355461;0.151810856;0.163634607;0.16752459;0.140656548;0.124473309
1.301701885;1.961100906;2.68871706;0.262150512;0.260435621;0.243314965;0.247166654;0.31776779
2.1833896;2.252262896;2.344984475;0.182552262;0.177779188;0.203748019;0.199457955;0.226283404
1.932991394;1.333333037;2.071630663;0.191867833;0.183636367;0.228231546;0.209109508;0.046405226
1.185160569;1.08438841;2.36090354;0.188459975;0.205336695;0.191550145;0.186176052;0.148583997
2.505263289;1.71337003;1.577933119;0.159009129;0.175137881;0.146638399;0.173530161;0.20267887
2.233995701;2.334007035;2.301827502;0.178559383;0.196950195;0.166869575;0.181810418;0.254390591
2.066962996;2.666643226;1.928395577;0.181082515;0.194655669;0.166144832;0.168222891;0.293826869
1.039764408;2.422386199;1.565785717;0.273271456;0.263058253;0.265289687;0.295428871;0.278399521
2.301916856;2.13152415;2.598793905;0.169774615;0.171541305;0.150878384;0.176202064;0.19988638
2.31074177;1.494475909;1.945044619;0.169395776;0.158937009;0.153910652;0.174745353;0.20724839
2.490225898;1.616521215;2.278735697;0.154637728;0.139965804;0.172680638;0.138238427;0.088017828
1.024107033;1.990571269;2.426014609;0.355882661;0.3421318;0.357256306;0.328108126;0.337135074
2.098110463;1.503054232;1.632776733;0.189780515;0.188579974;0.174331;0.201529972;0.234767159
1.193708429;1.31746842;2.133239848;0.2646053;0.251121977;0.248217129;0.285715783;0.311120794
1.71828118;1.429718679;1.738744844;0.228450592;0.2381794;0.241001351;0.211879003;0.176968543
