p0;A;T0;m_dot;m_dot_noise_0.05;m_dot_noise_0.1;m_dot_noise_0.3;m_dot_noise_1
508612.6525;0.833461939;256.8250307;1069.137564;898.6388057;1073.283269;886.4563218;1401.970972
404497.8943;1.35782183;251.2694447;1400.453016;1417.037913;1410.888464;1207.504929;1770.473242
434802.3158;1.448607835;250.3592975;1608.941106;1670.03219;1583.534995;1633.027651;1328.730865
482466.2945;1.218099994;252.9761114;1493.445899;1508.56403;1558.324231;1382.687867;1667.611303
565428.0874;0.547426264;251.5150936;788.8606865;887.5970551;553.0916907;854.9350888;-134.2240619
569141.4962;0.523517384;259.8870054;747.0306275;719.4928379;628.2706495;880.8986703;1243.263285
515961.3264;0.793639293;253.7984649;1038.903353;1152.702856;1134.426177;1122.339583;317.7740741
507459.2396;0.843137191;256.7264641;1079.303096;1101.76279;987.1137753;861.1592943;700.7839175
526431.4649;0.979914532;257.5045024;1299.322489;1421.442506;1189.279886;1216.415606;1260.993758
496701.7441;0.832284598;259.0215415;1038.194998;1042.167224;1132.630156;918.5619021;1413.873638
524133.4752;0.756363644;254.2076877;1004.980267;785.162892;1236.78938;1248.540424;1648.860183
492537.378;1.156883905;253.2733442;1447.150043;1358.600624;1259.365893;1472.517418;1618.583748
499859.2146;0.559503456;254.9975848;707.8834738;701.7584473;725.6562245;861.2589852;1264.127872
448062.3854;1.367813502;250.2297858;1565.940305;1604.737689;1662.016221;1400.319029;1259.819822
502864.1349;1.092285257;258.2234905;1381.555041;1393.279762;1341.544426;1346.409725;446.4195891
475061.9542;0.950024654;258.7882283;1133.945545;1124.026503;963.8096779;1089.74025;511.7739126
513881.7632;1.1257044;251.198087;1475.226607;1502.167027;1488.193718;1336.691532;1500.891347
503894.7622;0.713465617;250.7869934;917.5710855;1047.892687;745.9461557;787.7348807;-92.76289118
465360.2977;1.131341231;259.2927401;1321.499784;1332.497446;1159.420804;1522.145023;1860.96889
513353.5476;0.956916009;258.4926764;1234.93926;1271.3764;1189.908172;1188.765409;1393.993413
429934.7522;1.145656886;256.0060559;1244.260553;1408.557914;1186.508367;1436.693329;782.1463927
452473.5815;1.244164283;256.2797377;1421.324207;1422.492456;1293.610573;1388.752412;1136.434799
470712.6656;1.390177311;254.1737653;1658.975798;1805.029676;1769.194312;1800.95658;1220.039587
492376.9285;0.82899827;259.9976515;1023.165618;1068.729964;811.8095376;1037.265491;1099.493546
569461.9242;1.24883682;254.2548005;1802.665456;1710.8731;1922.628925;1656.907361;2655.161396
562148.6;0.554320382;258.5750644;783.2456504;826.5516578;650.6713686;1177.304112;420.8062138
509615.9278;1.483333762;254.7068034;1914.436358;1963.231312;1826.305969;1970.998166;1896.719885
408120.9752;0.901479243;250.1238698;940.2566397;1056.048907;947.9530427;614.9068881;945.6366245
519026.9525;0.779260003;250.5414157;1032.78962;1014.938512;783.5873951;1107.252149;1215.601944
438806.614;0.957737266;259.8040604;1053.843001;981.4404004;910.2322265;696.7661652;913.6986774
558236.4072;0.815055139;254.6100179;1152.515394;1022.33533;1292.672162;1394.363767;1498.118551
581576.7446;0.548884481;251.6861584;813.275425;703.7539531;751.3470046;956.1944383;637.4709407
530066.6482;1.15623349;257.807097;1542.793927;1380.028173;1259.340447;1729.977403;1679.435064
592740.7117;1.128667515;258.8324506;1680.740835;1684.863373;1650.947954;1933.791206;1890.037769
484073.7622;1.29536801;257.1086282;1580.613609;1514.949452;1294.618685;1421.714894;1810.102126
571716.7851;1.353582658;258.0435398;1947.146195;1982.040939;2041.246596;2067.204132;1665.927409
521965.1214;1.040805463;259.323134;1363.545855;1259.457696;1371.16781;1520.92971;2010.138127
550593.1125;1.15803795;259.3154613;1600.363699;1402.297664;1516.509261;1208.91253;1838.39726
451208.5457;1.039754342;255.1255915;1187.163069;1368.425369;1171.425161;1352.710896;1678.053761
596695.2327;0.951011877;251.2264642;1447.055364;1385.766874;1517.783792;1520.911734;1701.464844
509057.0736;0.909370749;255.7027648;1170.089484;1063.827987;1163.127449;844.1739544;763.473505
469752.5948;0.913547461;256.9460272;1082.078282;1091.414008;1122.011296;1173.140045;1218.06143
494349.3603;1.037757942;255.4005848;1297.473301;1380.893287;1259.447385;1271.856316;1661.67563
533649.5376;0.8363802;257.3092769;1124.634727;1083.998643;1041.691502;1009.231345;697.8734814
523546.5543;0.855325919;257.7932882;1127.276534;1170.712752;1207.248325;1216.541365;672.998351
502574.6964;1.258912648;259.910723;1586.220099;1545.491081;1542.871768;1570.851102;1891.939457
569518.7927;0.621919377;254.8964071;896.6844162;841.1708103;1013.390136;443.4820976;907.7533613
576510.477;1.131090889;252.1317504;1659.855456;1634.860003;1727.477841;1541.134865;1943.577101
477098.0991;0.806823284;258.8074442;967.1126377;1111.802833;1044.368631;944.062135;198.375555
547129.7608;1.29898091;256.7121643;1792.87171;1828.604468;1990.584743;1853.489106;2447.522165
546847.9812;0.889865558;251.1925621;1240.986208;1180.77019;1106.350515;1014.820694;889.1955378
435206.1283;1.234264172;257.4090128;1353.226773;1372.400228;1462.364911;1321.277336;1393.530558
440365.7081;1.166596207;256.2222382;1297.194127;1221.653555;1424.68537;1093.818233;612.2300146
415652.3929;0.713545974;255.7097861;749.6488896;873.3367673;646.249268;740.8600619;746.4613912
417825.3863;0.643122544;256.8786527;677.6475631;773.6604093;689.2985514;515.1325585;896.9545334
545063.205;0.854519948;253.1633413;1183.172297;1188.496216;839.4566417;1005.126274;985.2492991
