x1;x2;y1;y2;d;d_noise_0.05;d_noise_0.1;d_noise_0.3;d_noise_1
4.486216646;4.001251926;1.170634805;4.455731477;3.320700367;3.373982709;3.23340668;4.731477453;2.349358013
2.278917789;2.231652386;3.065204876;2.311359776;0.755325395;0.906142649;0.971338022;0.473567564;1.450946636
2.884038952;2.619062071;3.709082201;2.916046183;0.836133286;0.836015262;1.287129753;1.482620002;1.398010939
1.96231685;1.540783899;4.631042845;1.994262959;2.670261822;2.656300968;2.423366396;2.951228291;2.376517254
1.30894088;2.109075932;3.995044919;3.86931678;0.809952879;0.826479596;1.128067479;0.541655865;0.804036254
3.199953629;3.310164119;2.405068104;3.234051827;0.836277685;0.952516307;1.038490059;0.29129357;0.472913001
2.316449928;1.021552319;4.890562137;4.752310917;1.302256971;1.182717987;1.330371672;1.914884692;1.532115657
4.462168001;4.040925116;1.130962838;4.494182924;3.389497737;3.712304363;3.617671551;4.083801741;4.775016005
4.547906695;2.440872733;4.023519959;2.99537573;2.344498384;2.748300141;1.868464616;2.389742698;3.803445493
1.240363936;1.037364529;4.957472248;1.573349415;3.39020591;3.51042114;3.033259903;3.070884716;2.601401739
2.48112693;1.186242171;4.788345823;4.916969571;1.301257318;1.365875867;0.945825684;1.735102893;0.706636738
1.537778544;1.959006504;4.86912052;1.505763268;3.389631985;3.512731269;3.79770851;4.117577787;4.425773452
2.096181106;4.431830492;1.939177277;4.981886758;3.835797054;3.897773483;3.598813126;3.534315944;5.009223645
2.400452171;4.884135399;4.880227922;2.324320282;3.563894813;3.722997228;3.415431652;4.125271783;3.308043583
2.268041517;3.62575504;3.63097154;4.310591901;1.518311511;1.60349039;1.745937075;1.258140379;-0.220112772
1.571116539;3.370428526;3.541622669;1.000656872;3.113523857;2.839781903;3.089928342;3.923692153;3.65414494
2.444587122;2.315890953;2.08674958;2.113678898;0.131483429;0.178420524;0.285045928;0.116435949;0.744272281
1.212250712;1.02458194;1.261133104;1.4775671;0.286466827;0.228022778;0.235645717;-1.087374016;1.628449385
2.506061887;4.181796186;3.855636965;4.128907419;1.697869896;2.005389005;1.843740342;1.205045464;0.172132851
1.714877895;4.826553111;2.423285843;3.469006727;3.28269018;3.12466972;3.624561903;3.337340514;4.365370954
4.275655569;1.442164695;2.824540453;4.706002365;3.401259982;3.278852452;3.413301247;2.859643998;3.090000075
2.760766248;3.176282233;4.373801896;2.758710872;1.667684788;1.137209143;1.714343487;1.735171683;0.30818071
1.158385247;2.317789342;2.867314136;3.877068945;1.537472806;1.519175705;1.467149004;1.50680832;2.916089858
1.557767067;3.27426971;3.321957412;1.113049598;2.797437229;2.954225306;3.040761644;2.894229236;2.986496183
4.255810213;4.731920422;4.158921076;3.306841727;0.976073843;1.036106513;1.226561245;1.403407623;0.183738395
1.550508523;1.578075969;2.992482863;3.357969259;0.366524582;0.958905578;0.522484836;0.88599783;-0.172007307
1.982149695;4.07814638;1.390190395;1.520526726;2.100045157;1.993606425;1.597189108;2.516840645;3.635550204
3.226367547;1.896799673;2.433288958;4.111934715;2.141401949;1.741129831;1.831968502;3.198254882;0.526127814
3.617454317;2.650662497;4.2362404;2.224152376;2.232304782;2.003990726;2.534882383;2.006658288;2.256900797
2.375026872;3.813777633;3.350941978;3.49792738;1.44623942;1.323259362;1.246219074;1.050842233;3.030522861
3.912739145;2.79870911;2.146226714;1.942862642;1.132439784;1.305526263;1.00003138;1.050391856;0.628764781
4.282041266;2.55033834;4.163061169;3.819779172;1.765400111;1.745515857;2.240668762;2.273584716;2.446211126
2.374339861;1.647720469;4.77800933;1.980239778;2.890586481;3.327148268;3.161167308;2.661678045;2.859050062
1.190153299;1.9066128;4.14338962;2.271229483;2.004569229;2.106344126;1.576177174;1.528834501;2.455215072
4.564596542;3.906128568;2.482155889;4.303398123;1.936621633;1.817015402;1.894081258;2.651754601;1.411101408
2.268398595;1.493288287;4.63686964;4.453831118;0.796428961;1.001477989;0.605597027;0.945034819;-0.06283162
3.740215304;3.318926399;2.227742578;1.040286382;1.259974825;1.252349965;1.337745719;1.111728961;1.378300345
4.889084786;3.030557871;4.707054047;3.21625782;2.38256074;2.18234928;2.405506171;1.317243479;-0.027177792
1.234263258;4.130262608;2.722345164;1.137197541;3.301439871;3.455085643;3.304862209;2.808198495;2.435801982
1.818577969;2.109602626;3.34012399;3.152385346;0.346325208;0.337806252;0.204130298;0.224778435;-0.386076945
2.608333103;3.40471923;2.018506951;1.681451022;0.864776019;0.896308993;0.667694668;0.70675096;0.749803524
3.638191892;3.960872153;3.726330944;1.486760554;2.262697081;2.343234893;2.203875394;2.326340862;2.535816514
2.367380198;4.071692303;1.371487951;1.642049822;1.725654506;1.69001614;1.718672063;2.459664945;2.646876986
2.99113352;3.470350031;3.594289579;3.580625624;0.479411273;0.31334153;0.060779164;0.20033785;-2.174190026
2.734275824;1.75058429;3.478598864;2.646318769;1.288541498;0.703726749;1.369393282;1.606472258;2.62765038
1.114864652;2.911262748;4.268852303;2.233410609;2.714787102;2.850317697;3.150006797;2.461492095;1.437767078
2.153685415;1.16299441;4.835804534;4.464213536;1.058087207;1.141340269;0.875617845;1.245916815;0.031271389
2.053449119;2.086133068;1.330866423;1.995888857;0.665825112;0.504913139;0.582845196;1.071783131;-0.03873791
4.469243022;1.89671;3.030331982;3.940051189;2.728647134;2.536276035;2.022525927;1.879106097;2.573040574
1.34491032;4.29474838;4.87014659;2.805597459;3.600542694;3.935559161;3.850313544;2.934694685;5.60277563
4.765267387;3.700013241;4.691663827;1.049688883;3.794568208;3.812697533;2.968944948;4.047198496;5.057903695
4.72080104;4.760752818;3.473163967;4.397268034;0.924967282;0.996715239;0.81025466;1.456161085;0.632925807
2.752444164;4.31871268;3.376129953;1.684874475;2.305112178;2.361219662;1.909801071;2.508248042;-0.041640377
4.978569458;4.746159621;4.68823669;1.73608157;2.961289278;2.808691241;2.705334634;2.853185699;1.120409588
4.489957882;1.686176864;1.51998206;2.44655375;2.952917726;2.876089554;3.169932152;3.212936971;3.893330294
1.957852821;2.411079208;4.958973655;4.561548402;0.602794317;0.399919411;0.144924268;1.09851484;0.966321087
1.203706101;3.509650856;4.771221062;2.741609082;3.0719222;2.864633364;3.509527702;2.16989974;3.417032842
4.818274389;2.11097858;2.958256596;3.487499428;2.758541022;2.767595991;2.336464334;2.03635196;3.468166693
4.761904803;1.970432255;2.611299467;2.529792818;2.792662228;2.810271405;3.141530931;2.716038216;2.813281538
3.601065996;1.446255033;2.575920035;1.019369463;2.658206156;2.305623064;2.502886588;2.120768201;0.401227234
4.610713744;2.198608083;2.137753424;4.417909079;3.319241409;2.816661523;3.141760243;2.404419724;3.396821012
4.618635829;4.391952427;3.340022569;4.438292373;1.121419603;0.770328224;1.161120368;0.934210266;4.146631723
1.247981064;1.930868141;1.226088187;4.949537725;3.785552962;3.792262966;3.889362764;3.822181795;4.342813905
1.365096163;2.452212477;3.826439517;1.372610356;2.683859056;2.85917491;2.436295817;2.594688202;4.355525418
2.491757536;3.989429769;2.928108849;1.834506181;1.854451108;1.225276693;2.203124483;1.90342785;2.369978214
1.08403579;4.1844849;4.89589525;3.219008953;3.524873379;3.134274182;4.034606395;3.29588963;4.023857683
4.954680884;2.66035548;1.847007797;2.435248428;2.368534589;2.443446078;2.123115688;2.502636052;-0.552225597
1.114990691;3.96887963;3.520653866;3.157838427;2.876858898;3.187109628;3.021144833;3.239156393;2.462943435
3.485893641;3.374077433;4.678429;4.928192112;0.273650281;0.42984305;0.636716939;0.823659084;0.26760008
