expr,weights,python
"[Term Sin (fromList [(0,-3),(1,3),(3,3),(4,-3),(5,-2),(6,-3),(7,3),(9,2),(10,-3)]),Term SqrtAbs (fromList [(0,-3),(1,3),(3,1),(4,-1),(6,-2),(7,-2),(8,3),(9,-2)]),Term Log (fromList [(0,3),(3,3),(4,-2),(5,1),(7,-3),(8,-3),(9,-3)]),Term Exp (fromList [(0,3),(1,3),(2,1),(3,3),(4,3),(5,-3),(6,-3),(7,1),(9,3),(10,3)]),Term Cos (fromList [(3,3),(4,-2),(5,-2),(6,-2),(7,3),(9,-1),(10,-3)]),Term Tanh (fromList [(0,-3),(1,3),(3,-1),(5,-3),(6,2),(7,-1),(8,1),(9,1)]),Term Sin (fromList [(0,-3),(2,1),(3,3),(4,-2),(8,-1),(9,-1)]),Term Log (fromList [(1,3),(3,-1),(4,1),(6,3),(8,3),(9,1)]),Term Tanh (fromList [(0,-3),(8,3)]),Term SqrtAbs (fromList [(0,-1),(9,1),(10,2)]),Term Tanh (fromList [(0,-3),(3,1),(8,-1),(9,2)])]","[-373.90328958367877,-122877.92589421163,-4.084471374640772,0.13832696992988386,9.221442582173664,366.8320695629145,23.70492257810498,-0.27396203464357544,-0.11130155819074006,-2.0023517588136075,1.0434178402392142,-327.3194938954633]","-373.90328958367877 + -122877.92589421163*np.sin(x[:,0]**(-3)*x[:,1]**(3)*x[:,3]**(3)*x[:,4]**(-3)*x[:,5]**(-2)*x[:,6]**(-3)*x[:,7]**(3)*x[:,9]**(2)*x[:,10]**(-3)) + -4.084471374640772*sqrtAbs(x[:,0]**(-3)*x[:,1]**(3)*x[:,3]*x[:,4]**(-1)*x[:,6]**(-2)*x[:,7]**(-2)*x[:,8]**(3)*x[:,9]**(-2)) + 0.13832696992988386*np.log(x[:,0]**(3)*x[:,3]**(3)*x[:,4]**(-2)*x[:,5]*x[:,7]**(-3)*x[:,8]**(-3)*x[:,9]**(-3)) + 9.221442582173664*np.exp(x[:,0]**(3)*x[:,1]**(3)*x[:,2]*x[:,3]**(3)*x[:,4]**(3)*x[:,5]**(-3)*x[:,6]**(-3)*x[:,7]*x[:,9]**(3)*x[:,10]**(3)) + 366.8320695629145*np.cos(x[:,3]**(3)*x[:,4]**(-2)*x[:,5]**(-2)*x[:,6]**(-2)*x[:,7]**(3)*x[:,9]**(-1)*x[:,10]**(-3)) + 23.70492257810498*np.tanh(x[:,0]**(-3)*x[:,1]**(3)*x[:,3]**(-1)*x[:,5]**(-3)*x[:,6]**(2)*x[:,7]**(-1)*x[:,8]*x[:,9]) + -0.27396203464357544*np.sin(x[:,0]**(-3)*x[:,2]*x[:,3]**(3)*x[:,4]**(-2)*x[:,8]**(-1)*x[:,9]**(-1)) + -0.11130155819074006*np.log(x[:,1]**(3)*x[:,3]**(-1)*x[:,4]*x[:,6]**(3)*x[:,8]**(3)*x[:,9]) + -2.0023517588136075*np.tanh(x[:,0]**(-3)*x[:,8]**(3)) + 1.0434178402392142*sqrtAbs(x[:,0]**(-1)*x[:,9]*x[:,10]**(2)) + -327.3194938954633*np.tanh(x[:,0]**(-3)*x[:,3]*x[:,8]**(-1)*x[:,9]**(2))"

"[Term Sin (fromList [(0,-2),(1,-1),(3,1),(4,-2),(6,1),(7,-3),(8,-1),(9,-2)]),Term Sin (fromList [(0,-3),(1,-1),(2,3),(4,3),(5,3),(6,3),(7,3),(8,2),(10,1)]),Term Log (fromList [(0,-3),(1,2),(4,3),(7,3),(8,2),(9,-3),(10,-2)]),Term SqrtAbs (fromList [(0,-3),(1,3),(3,1),(4,-1),(6,-2),(7,3),(8,2)]),Term Log (fromList [(0,1),(1,1),(3,3),(5,1),(8,-2),(9,1)]),Term Log (fromList [(0,-2),(1,1),(4,-3),(5,-3),(6,-1),(7,-1),(8,-3),(9,-2),(10,2)]),Term Log (fromList [(0,1),(3,1),(7,2),(8,1),(9,-2),(10,-3)]),Term Log (fromList [(0,-1),(1,-1),(3,1),(4,3),(5,1),(7,-3),(8,-2),(9,-2),(10,3)]),Term Sin (fromList [(1,-2),(4,2),(5,1),(7,-2),(8,1),(9,-3)]),Term Tanh (fromList [(0,-2),(6,1),(8,-1),(9,3)]),Term Cos (fromList [(0,3),(1,1),(3,3),(5,-1),(6,1),(7,3),(8,-2),(9,3),(10,-3)])]","[2.1863657102962293,-2.652719915338785e-2,6.388652125205208e-2,-0.14328483045781593,-16.005794062731017,0.2515932812714766,0.1503689924672227,-0.7048511367892442,0.18710935926117997,-7.87757339175309e-2,-1.6868409781767137,0.15806999817997924]","2.1863657102962293 + -2.652719915338785e-2*np.sin(x[:,0]**(-2)*x[:,1]**(-1)*x[:,3]*x[:,4]**(-2)*x[:,6]*x[:,7]**(-3)*x[:,8]**(-1)*x[:,9]**(-2)) + 6.388652125205208e-2*np.sin(x[:,0]**(-3)*x[:,1]**(-1)*x[:,2]**(3)*x[:,4]**(3)*x[:,5]**(3)*x[:,6]**(3)*x[:,7]**(3)*x[:,8]**(2)*x[:,10]) + -0.14328483045781593*np.log(x[:,0]**(-3)*x[:,1]**(2)*x[:,4]**(3)*x[:,7]**(3)*x[:,8]**(2)*x[:,9]**(-3)*x[:,10]**(-2)) + -16.005794062731017*sqrtAbs(x[:,0]**(-3)*x[:,1]**(3)*x[:,3]*x[:,4]**(-1)*x[:,6]**(-2)*x[:,7]**(3)*x[:,8]**(2)) + 0.2515932812714766*np.log(x[:,0]*x[:,1]*x[:,3]**(3)*x[:,5]*x[:,8]**(-2)*x[:,9]) + 0.1503689924672227*np.log(x[:,0]**(-2)*x[:,1]*x[:,4]**(-3)*x[:,5]**(-3)*x[:,6]**(-1)*x[:,7]**(-1)*x[:,8]**(-3)*x[:,9]**(-2)*x[:,10]**(2)) + -0.7048511367892442*np.log(x[:,0]*x[:,3]*x[:,7]**(2)*x[:,8]*x[:,9]**(-2)*x[:,10]**(-3)) + 0.18710935926117997*np.log(x[:,0]**(-1)*x[:,1]**(-1)*x[:,3]*x[:,4]**(3)*x[:,5]*x[:,7]**(-3)*x[:,8]**(-2)*x[:,9]**(-2)*x[:,10]**(3)) + -7.87757339175309e-2*np.sin(x[:,1]**(-2)*x[:,4]**(2)*x[:,5]*x[:,7]**(-2)*x[:,8]*x[:,9]**(-3)) + -1.6868409781767137*np.tanh(x[:,0]**(-2)*x[:,6]*x[:,8]**(-1)*x[:,9]**(3)) + 0.15806999817997924*np.cos(x[:,0]**(3)*x[:,1]*x[:,3]**(3)*x[:,5]**(-1)*x[:,6]*x[:,7]**(3)*x[:,8]**(-2)*x[:,9]**(3)*x[:,10]**(-3))"

"[Term Id (fromList [(1,3),(2,3),(3,2),(4,-2),(5,-3),(6,3),(8,-2),(10,-2)]),Term Log (fromList [(1,-1),(3,2),(4,-3),(5,-1),(8,-1),(9,3),(10,-2)]),Term Cos (fromList [(0,3),(1,3),(2,2),(3,2),(4,-3),(5,-2),(6,-2),(8,-3),(9,-1),(10,-2)]),Term Log (fromList [(0,1),(6,-1),(7,-3),(9,3),(10,3)]),Term Sin (fromList [(3,1),(5,1),(6,-3),(7,-1),(8,-2),(9,1),(10,2)]),Term Tanh (fromList [(0,-3),(1,3),(2,-1),(3,2),(4,1),(7,2),(10,3)]),Term Cos (fromList [(0,-1),(1,1),(3,3),(5,-3),(7,1),(8,3),(10,-2)]),Term SqrtAbs (fromList [(0,3),(1,2),(5,1),(6,-1),(7,-1),(9,2),(10,-3)]),Term SqrtAbs (fromList [(1,3),(3,1),(4,-2),(6,-3),(7,2),(8,2)]),Term Tanh (fromList [(1,1),(3,-2),(6,-2),(7,-1),(8,3),(9,-3),(10,3)]),Term Log (fromList [(0,-1),(5,-1),(8,2),(9,1),(10,-3)])]","[-41.6461474411148,1.4413905635673113e-2,0.10639596801071323,6.196108267445045,0.4219303148947384,3.1747857932402384,0.23876037316085647,35.44373477132737,-2.732887979604532,-0.6926103101534462,0.5316238828376794,-0.38345486719817684]","-41.6461474411148 + 1.4413905635673113e-2*(x[:,1]**(3)*x[:,2]**(3)*x[:,3]**(2)*x[:,4]**(-2)*x[:,5]**(-3)*x[:,6]**(3)*x[:,8]**(-2)*x[:,10]**(-2)) + 0.10639596801071323*np.log(x[:,1]**(-1)*x[:,3]**(2)*x[:,4]**(-3)*x[:,5]**(-1)*x[:,8]**(-1)*x[:,9]**(3)*x[:,10]**(-2)) + 6.196108267445045*np.cos(x[:,0]**(3)*x[:,1]**(3)*x[:,2]**(2)*x[:,3]**(2)*x[:,4]**(-3)*x[:,5]**(-2)*x[:,6]**(-2)*x[:,8]**(-3)*x[:,9]**(-1)*x[:,10]**(-2)) + 0.4219303148947384*np.log(x[:,0]*x[:,6]**(-1)*x[:,7]**(-3)*x[:,9]**(3)*x[:,10]**(3)) + 3.1747857932402384*np.sin(x[:,3]*x[:,5]*x[:,6]**(-3)*x[:,7]**(-1)*x[:,8]**(-2)*x[:,9]*x[:,10]**(2)) + 0.23876037316085647*np.tanh(x[:,0]**(-3)*x[:,1]**(3)*x[:,2]**(-1)*x[:,3]**(2)*x[:,4]*x[:,7]**(2)*x[:,10]**(3)) + 35.44373477132737*np.cos(x[:,0]**(-1)*x[:,1]*x[:,3]**(3)*x[:,5]**(-3)*x[:,7]*x[:,8]**(3)*x[:,10]**(-2)) + -2.732887979604532*sqrtAbs(x[:,0]**(3)*x[:,1]**(2)*x[:,5]*x[:,6]**(-1)*x[:,7]**(-1)*x[:,9]**(2)*x[:,10]**(-3)) + -0.6926103101534462*sqrtAbs(x[:,1]**(3)*x[:,3]*x[:,4]**(-2)*x[:,6]**(-3)*x[:,7]**(2)*x[:,8]**(2)) + 0.5316238828376794*np.tanh(x[:,1]*x[:,3]**(-2)*x[:,6]**(-2)*x[:,7]**(-1)*x[:,8]**(3)*x[:,9]**(-3)*x[:,10]**(3)) + -0.38345486719817684*np.log(x[:,0]**(-1)*x[:,5]**(-1)*x[:,8]**(2)*x[:,9]*x[:,10]**(-3))"

"[Term SqrtAbs (fromList [(0,-3),(4,-1),(6,-1),(7,-1),(9,-3)]),Term SqrtAbs (fromList [(0,3),(1,2),(4,-1),(5,-1),(7,-3),(8,1),(9,-2),(10,3)]),Term Tanh (fromList [(1,1),(2,-3),(4,-2),(5,-3),(6,1),(7,-3),(8,1),(9,-2),(10,1)]),Term SqrtAbs (fromList [(0,1),(1,3),(4,-1),(5,1),(7,3),(8,-3),(9,3),(10,-3)]),Term Log (fromList [(1,-3),(3,-2),(4,-3),(7,-2),(8,1),(9,1),(10,3)]),Term SqrtAbs (fromList [(0,3),(1,-1),(6,1),(7,-3),(8,1),(9,-1),(10,3)]),Term Log (fromList [(0,-1),(7,3),(8,1),(10,-3)]),Term Id (fromList [(1,2),(4,-2),(5,-1),(6,3),(7,-2),(8,-3),(9,-2),(10,2)]),Term Tanh (fromList [(0,1),(2,1),(3,-2),(4,-1),(7,-1),(8,1),(10,-1)]),Term SqrtAbs (fromList [(0,3),(1,1),(3,-3),(4,3),(7,2),(9,-3),(10,3)]),Term Sin (fromList [(0,-3),(1,-3),(4,-3),(5,3),(6,-3),(7,3),(8,1),(9,3)])]","[-6.3076294885249204,-3.9405628860820725,-2.253726774191616e-4,1.0855299337486894,-4.3488791316506985,7.65058695225312e-2,-3.3422565731288075e-5,-1.408016244693455,3.574947768626674e-9,-0.20312097647980015,-1.204603809371086e-2,-9.270467628918469e-2]","-6.3076294885249204 + -3.9405628860820725*sqrtAbs(x[:,0]**(-3)*x[:,4]**(-1)*x[:,6]**(-1)*x[:,7]**(-1)*x[:,9]**(-3)) + -2.253726774191616e-4*sqrtAbs(x[:,0]**(3)*x[:,1]**(2)*x[:,4]**(-1)*x[:,5]**(-1)*x[:,7]**(-3)*x[:,8]*x[:,9]**(-2)*x[:,10]**(3)) + 1.0855299337486894*np.tanh(x[:,1]*x[:,2]**(-3)*x[:,4]**(-2)*x[:,5]**(-3)*x[:,6]*x[:,7]**(-3)*x[:,8]*x[:,9]**(-2)*x[:,10]) + -4.3488791316506985*sqrtAbs(x[:,0]*x[:,1]**(3)*x[:,4]**(-1)*x[:,5]*x[:,7]**(3)*x[:,8]**(-3)*x[:,9]**(3)*x[:,10]**(-3)) + 7.65058695225312e-2*np.log(x[:,1]**(-3)*x[:,3]**(-2)*x[:,4]**(-3)*x[:,7]**(-2)*x[:,8]*x[:,9]*x[:,10]**(3)) + -3.3422565731288075e-5*sqrtAbs(x[:,0]**(3)*x[:,1]**(-1)*x[:,6]*x[:,7]**(-3)*x[:,8]*x[:,9]**(-1)*x[:,10]**(3)) + -1.408016244693455*np.log(x[:,0]**(-1)*x[:,7]**(3)*x[:,8]*x[:,10]**(-3)) + 3.574947768626674e-9*(x[:,1]**(2)*x[:,4]**(-2)*x[:,5]**(-1)*x[:,6]**(3)*x[:,7]**(-2)*x[:,8]**(-3)*x[:,9]**(-2)*x[:,10]**(2)) + -0.20312097647980015*np.tanh(x[:,0]*x[:,2]*x[:,3]**(-2)*x[:,4]**(-1)*x[:,7]**(-1)*x[:,8]*x[:,10]**(-1)) + -1.204603809371086e-2*sqrtAbs(x[:,0]**(3)*x[:,1]*x[:,3]**(-3)*x[:,4]**(3)*x[:,7]**(2)*x[:,9]**(-3)*x[:,10]**(3)) + -9.270467628918469e-2*np.sin(x[:,0]**(-3)*x[:,1]**(-3)*x[:,4]**(-3)*x[:,5]**(3)*x[:,6]**(-3)*x[:,7]**(3)*x[:,8]*x[:,9]**(3))"

"[Term Tanh (fromList [(0,-2),(1,-1),(5,-1),(7,-2),(8,3),(9,-3)]),Term Log (fromList [(0,-3),(1,2),(3,-3),(4,2),(6,-3),(7,-2),(8,3),(9,-3),(10,-3)]),Term Id (fromList [(0,3),(3,-3),(4,3),(5,3),(6,-3),(7,3),(8,3),(9,-2),(10,-3)]),Term SqrtAbs (fromList [(0,-1),(3,-1),(7,-2),(10,2)]),Term Tanh (fromList [(0,1),(1,2),(2,1),(5,-1),(6,-1),(7,3),(8,3),(10,-3)]),Term Id (fromList [(0,3),(1,-2),(3,3),(4,1),(7,3),(8,-1),(9,3),(10,3)]),Term Log (fromList [(3,-3),(4,3),(5,-1),(6,-3),(7,-3),(8,3),(9,-2),(10,3)]),Term Cos (fromList [(0,2),(2,1),(3,-1),(4,3),(5,3),(6,-3),(7,3),(8,2),(9,1),(10,1)]),Term Log (fromList [(0,3),(3,2),(4,1),(5,-1),(6,-2),(8,2),(9,1),(10,3)]),Term Sin (fromList [(0,-3),(1,2),(6,-1),(7,-2),(8,1)]),Term Log (fromList [(0,2),(3,-1),(4,2),(5,-1),(6,-2),(7,3),(8,3),(10,2)])]","[0.43061249047645134,-1.0206796111851586,-0.19873949406632718,-25.734504981536464,0.6245782690899669,-614.5192097758676,-2.3303017662009612e-9,0.5290217603681127,0.3670468243291811,0.45017421585385087,-1400.6266825428866,-0.7889452398008644]","0.43061249047645134 + -1.0206796111851586*np.tanh(x[:,0]**(-2)*x[:,1]**(-1)*x[:,5]**(-1)*x[:,7]**(-2)*x[:,8]**(3)*x[:,9]**(-3)) + -0.19873949406632718*np.log(x[:,0]**(-3)*x[:,1]**(2)*x[:,3]**(-3)*x[:,4]**(2)*x[:,6]**(-3)*x[:,7]**(-2)*x[:,8]**(3)*x[:,9]**(-3)*x[:,10]**(-3)) + -25.734504981536464*(x[:,0]**(3)*x[:,3]**(-3)*x[:,4]**(3)*x[:,5]**(3)*x[:,6]**(-3)*x[:,7]**(3)*x[:,8]**(3)*x[:,9]**(-2)*x[:,10]**(-3)) + 0.6245782690899669*sqrtAbs(x[:,0]**(-1)*x[:,3]**(-1)*x[:,7]**(-2)*x[:,10]**(2)) + -614.5192097758676*np.tanh(x[:,0]*x[:,1]**(2)*x[:,2]*x[:,5]**(-1)*x[:,6]**(-1)*x[:,7]**(3)*x[:,8]**(3)*x[:,10]**(-3)) + -2.3303017662009612e-9*(x[:,0]**(3)*x[:,1]**(-2)*x[:,3]**(3)*x[:,4]*x[:,7]**(3)*x[:,8]**(-1)*x[:,9]**(3)*x[:,10]**(3)) + 0.5290217603681127*np.log(x[:,3]**(-3)*x[:,4]**(3)*x[:,5]**(-1)*x[:,6]**(-3)*x[:,7]**(-3)*x[:,8]**(3)*x[:,9]**(-2)*x[:,10]**(3)) + 0.3670468243291811*np.cos(x[:,0]**(2)*x[:,2]*x[:,3]**(-1)*x[:,4]**(3)*x[:,5]**(3)*x[:,6]**(-3)*x[:,7]**(3)*x[:,8]**(2)*x[:,9]*x[:,10]) + 0.45017421585385087*np.log(x[:,0]**(3)*x[:,3]**(2)*x[:,4]*x[:,5]**(-1)*x[:,6]**(-2)*x[:,8]**(2)*x[:,9]*x[:,10]**(3)) + -1400.6266825428866*np.sin(x[:,0]**(-3)*x[:,1]**(2)*x[:,6]**(-1)*x[:,7]**(-2)*x[:,8]) + -0.7889452398008644*np.log(x[:,0]**(2)*x[:,3]**(-1)*x[:,4]**(2)*x[:,5]**(-1)*x[:,6]**(-2)*x[:,7]**(3)*x[:,8]**(3)*x[:,10]**(2))"

