expr,weights,python
"[Term SqrtAbs (fromList [(0,-1),(3,1),(4,2),(5,-2)]),Term Id (fromList [(0,2),(3,1),(4,1),(5,1),(6,-2),(7,2)]),Term SqrtAbs (fromList [(0,1),(2,2),(4,1),(5,-1),(6,1),(7,2)]),Term Exp (fromList [(1,1),(4,1),(6,-2)]),Term Log (fromList [(5,-1),(7,2)]),Term Tanh (fromList [(0,2),(2,2),(3,2),(5,-2),(7,1)]),Term SqrtAbs (fromList [(0,1),(1,2),(3,2),(6,2)]),Term Id (fromList [(0,1)]),Term Tanh (fromList [(0,1),(4,2),(7,-2)]),Term Log (fromList [(3,1),(7,-1)]),Term SqrtAbs (fromList [(1,1),(2,2),(3,1),(4,2),(5,1)]),Term SqrtAbs (fromList [(0,1),(1,1),(3,-1),(5,-2),(7,-1)]),Term Cos (fromList [(0,-2),(1,1),(5,2),(6,2)]),Term Sin (fromList [(0,-2),(3,1),(4,1),(5,1),(6,-2)]),Term Id (fromList [(0,2),(1,1),(2,1),(3,-1),(4,2),(6,-1)]),Term Cos (fromList [(0,-2),(2,2),(4,2),(6,1)])]","[-1611.3111484854142,-168.58388141076279,-1.2809345838938321e-9,2.4775654844185858e-5,1671.38112354581,-14.125359192473592,5.097806075781932,4.915952405647039e-8,9.814675708546007e-2,6.8322161104854,-34.657117526002644,6.580038550567758e-7,-1862.9256921553672,-2.494744458459206,-64959.7411018034,-4.024044973434659e-6,1.8802344187703608]","-1611.3111484854142 + -168.58388141076279*sqrtAbs(x[:,0]**(-1)*x[:,3]*x[:,4]**(2)*x[:,5]**(-2)) + -1.2809345838938321e-9*(x[:,0]**(2)*x[:,3]*x[:,4]*x[:,5]*x[:,6]**(-2)*x[:,7]**(2)) + 2.4775654844185858e-5*sqrtAbs(x[:,0]*x[:,2]**(2)*x[:,4]*x[:,5]**(-1)*x[:,6]*x[:,7]**(2)) + 1671.38112354581*np.exp(x[:,1]*x[:,4]*x[:,6]**(-2)) + -14.125359192473592*np.log(x[:,5]**(-1)*x[:,7]**(2)) + 5.097806075781932*np.tanh(x[:,0]**(2)*x[:,2]**(2)*x[:,3]**(2)*x[:,5]**(-2)*x[:,7]) + 4.915952405647039e-8*sqrtAbs(x[:,0]*x[:,1]**(2)*x[:,3]**(2)*x[:,6]**(2)) + 9.814675708546007e-2*(x[:,0]) + 6.8322161104854*np.tanh(x[:,0]*x[:,4]**(2)*x[:,7]**(-2)) + -34.657117526002644*np.log(x[:,3]*x[:,7]**(-1)) + 6.580038550567758e-7*sqrtAbs(x[:,1]*x[:,2]**(2)*x[:,3]*x[:,4]**(2)*x[:,5]) + -1862.9256921553672*sqrtAbs(x[:,0]*x[:,1]*x[:,3]**(-1)*x[:,5]**(-2)*x[:,7]**(-1)) + -2.494744458459206*np.cos(x[:,0]**(-2)*x[:,1]*x[:,5]**(2)*x[:,6]**(2)) + -64959.7411018034*np.sin(x[:,0]**(-2)*x[:,3]*x[:,4]*x[:,5]*x[:,6]**(-2)) + -4.024044973434659e-6*(x[:,0]**(2)*x[:,1]*x[:,2]*x[:,3]**(-1)*x[:,4]**(2)*x[:,6]**(-1)) + 1.8802344187703608*np.cos(x[:,0]**(-2)*x[:,2]**(2)*x[:,4]**(2)*x[:,6])"

"[Term Tanh (fromList [(0,2),(3,1),(5,-2),(6,-1),(7,-1)]),Term SqrtAbs (fromList [(0,2),(1,2),(3,-2),(5,-2),(6,1),(7,-1)]),Term Cos (fromList [(0,-1),(2,1),(3,1),(4,2),(5,1)]),Term Id (fromList [(0,-2),(2,1),(3,-1),(5,1),(6,1)]),Term SqrtAbs (fromList [(0,-1),(1,1),(6,1)]),Term Tanh (fromList [(0,-2),(1,-1),(5,-2),(6,-2),(7,-2)]),Term Exp (fromList [(0,-2),(1,1),(2,2),(4,2),(5,-2),(6,-1),(7,2)]),Term Cos (fromList [(0,2),(1,1),(3,-1),(5,-2),(6,-1)]),Term Id (fromList [(3,2),(4,2),(5,-2)]),Term Log (fromList [(0,1),(3,-1),(5,-2),(6,-1),(7,-1)]),Term Id (fromList [(2,2),(3,-2),(5,-1),(6,1),(7,1)]),Term Log (fromList [(0,-2),(3,2),(5,-1),(7,-1)]),Term Id (fromList [(0,-1),(2,2),(3,-2),(5,-2),(6,1),(7,1)]),Term Tanh (fromList [(0,2),(1,-2),(3,2),(5,-2),(7,1)]),Term Exp (fromList [(0,-2),(2,1),(3,-2),(6,-1)]),Term Tanh (fromList [(0,-1),(3,-2),(4,-1),(5,2)])]","[1.1313085608994357e11,-214.79892239282276,-2.0420741188097677,-1.6509518711805284,1.386864773126111,1.2271209472137452,8.447667834045667,166.56638548746554,-3.522839075922102e8,-0.5574054150890662,8.511247367391336,0.8494072432466516,-14.545971599452836,-145382.06671345484,8.553391743300173,-1.1277857229558415e11,-5.285410181954944]","1.1313085608994357e11 + -214.79892239282276*np.tanh(x[:,0]**(2)*x[:,3]*x[:,5]**(-2)*x[:,6]**(-1)*x[:,7]**(-1)) + -2.0420741188097677*sqrtAbs(x[:,0]**(2)*x[:,1]**(2)*x[:,3]**(-2)*x[:,5]**(-2)*x[:,6]*x[:,7]**(-1)) + -1.6509518711805284*np.cos(x[:,0]**(-1)*x[:,2]*x[:,3]*x[:,4]**(2)*x[:,5]) + 1.386864773126111*(x[:,0]**(-2)*x[:,2]*x[:,3]**(-1)*x[:,5]*x[:,6]) + 1.2271209472137452*sqrtAbs(x[:,0]**(-1)*x[:,1]*x[:,6]) + 8.447667834045667*np.tanh(x[:,0]**(-2)*x[:,1]**(-1)*x[:,5]**(-2)*x[:,6]**(-2)*x[:,7]**(-2)) + 166.56638548746554*np.exp(x[:,0]**(-2)*x[:,1]*x[:,2]**(2)*x[:,4]**(2)*x[:,5]**(-2)*x[:,6]**(-1)*x[:,7]**(2)) + -3.522839075922102e8*np.cos(x[:,0]**(2)*x[:,1]*x[:,3]**(-1)*x[:,5]**(-2)*x[:,6]**(-1)) + -0.5574054150890662*(x[:,3]**(2)*x[:,4]**(2)*x[:,5]**(-2)) + 8.511247367391336*np.log(x[:,0]*x[:,3]**(-1)*x[:,5]**(-2)*x[:,6]**(-1)*x[:,7]**(-1)) + 0.8494072432466516*(x[:,2]**(2)*x[:,3]**(-2)*x[:,5]**(-1)*x[:,6]*x[:,7]) + -14.545971599452836*np.log(x[:,0]**(-2)*x[:,3]**(2)*x[:,5]**(-1)*x[:,7]**(-1)) + -145382.06671345484*(x[:,0]**(-1)*x[:,2]**(2)*x[:,3]**(-2)*x[:,5]**(-2)*x[:,6]*x[:,7]) + 8.553391743300173*np.tanh(x[:,0]**(2)*x[:,1]**(-2)*x[:,3]**(2)*x[:,5]**(-2)*x[:,7]) + -1.1277857229558415e11*np.exp(x[:,0]**(-2)*x[:,2]*x[:,3]**(-2)*x[:,6]**(-1)) + -5.285410181954944*np.tanh(x[:,0]**(-1)*x[:,3]**(-2)*x[:,4]**(-1)*x[:,5]**(2))"

"[Term SqrtAbs (fromList [(0,-1),(1,1),(5,-1),(6,-1)]),Term Sin (fromList [(0,-1),(7,2)]),Term Cos (fromList [(0,1),(3,-1),(5,-2),(6,2)]),Term Tanh (fromList [(0,2),(1,-2),(4,-2),(6,1),(7,-2)]),Term Id (fromList [(0,2),(3,-1),(5,1)]),Term SqrtAbs (fromList [(2,2),(3,-2),(5,1),(6,2)]),Term Tanh (fromList [(0,-2),(3,2),(5,2),(6,-2)]),Term Sin (fromList [(0,1),(1,1),(5,-2)]),Term Tanh (fromList [(0,-1),(2,-2),(3,2),(7,1)]),Term Log (fromList [(0,-2),(3,2),(5,2),(7,-2)]),Term Sin (fromList [(1,1),(2,1),(4,1),(5,1),(6,1)]),Term Sin (fromList [(0,2),(1,2),(4,2),(5,1)]),Term Exp (fromList [(0,1),(3,-2),(5,-1),(6,1),(7,1)]),Term Tanh (fromList [(0,2),(3,-2),(7,-2)]),Term Exp (fromList [(0,-2),(2,2),(3,-2),(5,-2),(6,2)]),Term SqrtAbs (fromList [(1,2),(3,-2),(6,2),(7,1)])]","[555432.5524845257,2796.1503119631147,1.0270294012269803,4.234761027496741,-4.069235087739377,1.961006189214619e-5,1.359602506803221e-3,-16.42508760295341,134.9376068642147,12.586712283960914,-3.0662757527215847,-2.7395222046762053,-2.065456806913182,-0.8927552111284371,-11.447290233111735,-555396.4330210873,1.4904532394739475e-3]","555432.5524845257 + 2796.1503119631147*sqrtAbs(x[:,0]**(-1)*x[:,1]*x[:,5]**(-1)*x[:,6]**(-1)) + 1.0270294012269803*np.sin(x[:,0]**(-1)*x[:,7]**(2)) + 4.234761027496741*np.cos(x[:,0]*x[:,3]**(-1)*x[:,5]**(-2)*x[:,6]**(2)) + -4.069235087739377*np.tanh(x[:,0]**(2)*x[:,1]**(-2)*x[:,4]**(-2)*x[:,6]*x[:,7]**(-2)) + 1.961006189214619e-5*(x[:,0]**(2)*x[:,3]**(-1)*x[:,5]) + 1.359602506803221e-3*sqrtAbs(x[:,2]**(2)*x[:,3]**(-2)*x[:,5]*x[:,6]**(2)) + -16.42508760295341*np.tanh(x[:,0]**(-2)*x[:,3]**(2)*x[:,5]**(2)*x[:,6]**(-2)) + 134.9376068642147*np.sin(x[:,0]*x[:,1]*x[:,5]**(-2)) + 12.586712283960914*np.tanh(x[:,0]**(-1)*x[:,2]**(-2)*x[:,3]**(2)*x[:,7]) + -3.0662757527215847*np.log(x[:,0]**(-2)*x[:,3]**(2)*x[:,5]**(2)*x[:,7]**(-2)) + -2.7395222046762053*np.sin(x[:,1]*x[:,2]*x[:,4]*x[:,5]*x[:,6]) + -2.065456806913182*np.sin(x[:,0]**(2)*x[:,1]**(2)*x[:,4]**(2)*x[:,5]) + -0.8927552111284371*np.exp(x[:,0]*x[:,3]**(-2)*x[:,5]**(-1)*x[:,6]*x[:,7]) + -11.447290233111735*np.tanh(x[:,0]**(2)*x[:,3]**(-2)*x[:,7]**(-2)) + -555396.4330210873*np.exp(x[:,0]**(-2)*x[:,2]**(2)*x[:,3]**(-2)*x[:,5]**(-2)*x[:,6]**(2)) + 1.4904532394739475e-3*sqrtAbs(x[:,1]**(2)*x[:,3]**(-2)*x[:,6]**(2)*x[:,7])"

"[Term Tanh (fromList [(0,2),(1,2),(3,-1),(4,2),(5,-2),(6,-2),(7,2)]),Term Exp (fromList [(0,-2),(1,2),(5,-1)]),Term Tanh (fromList [(0,-1),(4,1),(5,2),(7,-2)]),Term Tanh (fromList [(0,-1),(2,1),(3,-2),(5,2),(6,2),(7,2)]),Term Cos (fromList [(0,2),(1,1),(3,-2)]),Term Sin (fromList [(0,2),(1,1),(2,1),(3,1),(5,-1)]),Term Cos (fromList [(0,2),(3,1),(5,1),(6,-2)]),Term SqrtAbs (fromList [(0,2),(1,1),(2,1),(3,2),(4,2),(5,-1),(6,-2)]),Term Id (fromList [(0,2),(3,-2),(5,2)]),Term SqrtAbs (fromList [(0,1),(4,2),(5,-1),(7,2)]),Term SqrtAbs (fromList [(0,2),(1,2),(6,1),(7,1)]),Term Log (fromList [(0,-2),(7,-2)]),Term Tanh (fromList [(0,1),(1,-1),(3,1),(6,-1)]),Term SqrtAbs (fromList [(0,1),(5,-1),(7,2)]),Term Tanh (fromList [(0,1),(2,1),(3,-2),(6,-1),(7,1)]),Term Sin (fromList [(0,-1),(3,1)])]","[-2063.2691715341225,6.894112059068413,2048.052616486947,2.4661950973838747,8.024627484658323,-1.024857971643513,-2.4806298377750036,-0.974845609838423,-2.7221050993116295e-3,1.8192382924022084e-6,-7.517930138379696e-3,7.773493675765359e-7,-4.032871775925163,-12.757676488546508,-5.698796247302208e-2,74.71913641229429,-34.56458367430218]","-2063.2691715341225 + 6.894112059068413*np.tanh(x[:,0]**(2)*x[:,1]**(2)*x[:,3]**(-1)*x[:,4]**(2)*x[:,5]**(-2)*x[:,6]**(-2)*x[:,7]**(2)) + 2048.052616486947*np.exp(x[:,0]**(-2)*x[:,1]**(2)*x[:,5]**(-1)) + 2.4661950973838747*np.tanh(x[:,0]**(-1)*x[:,4]*x[:,5]**(2)*x[:,7]**(-2)) + 8.024627484658323*np.tanh(x[:,0]**(-1)*x[:,2]*x[:,3]**(-2)*x[:,5]**(2)*x[:,6]**(2)*x[:,7]**(2)) + -1.024857971643513*np.cos(x[:,0]**(2)*x[:,1]*x[:,3]**(-2)) + -2.4806298377750036*np.sin(x[:,0]**(2)*x[:,1]*x[:,2]*x[:,3]*x[:,5]**(-1)) + -0.974845609838423*np.cos(x[:,0]**(2)*x[:,3]*x[:,5]*x[:,6]**(-2)) + -2.7221050993116295e-3*sqrtAbs(x[:,0]**(2)*x[:,1]*x[:,2]*x[:,3]**(2)*x[:,4]**(2)*x[:,5]**(-1)*x[:,6]**(-2)) + 1.8192382924022084e-6*(x[:,0]**(2)*x[:,3]**(-2)*x[:,5]**(2)) + -7.517930138379696e-3*sqrtAbs(x[:,0]*x[:,4]**(2)*x[:,5]**(-1)*x[:,7]**(2)) + 7.773493675765359e-7*sqrtAbs(x[:,0]**(2)*x[:,1]**(2)*x[:,6]*x[:,7]) + -4.032871775925163*np.log(x[:,0]**(-2)*x[:,7]**(-2)) + -12.757676488546508*np.tanh(x[:,0]*x[:,1]**(-1)*x[:,3]*x[:,6]**(-1)) + -5.698796247302208e-2*sqrtAbs(x[:,0]*x[:,5]**(-1)*x[:,7]**(2)) + 74.71913641229429*np.tanh(x[:,0]*x[:,2]*x[:,3]**(-2)*x[:,6]**(-1)*x[:,7]) + -34.56458367430218*np.sin(x[:,0]**(-1)*x[:,3])"

"[Term Tanh (fromList [(0,-2),(3,2),(5,-1),(6,1),(7,-2)]),Term SqrtAbs (fromList [(0,1),(6,-2),(7,2)]),Term Tanh (fromList [(0,-2),(1,-1),(3,2),(4,-1),(6,2),(7,-2)]),Term SqrtAbs (fromList [(0,-2),(2,2),(3,1),(5,2),(6,2)]),Term Cos (fromList [(0,1),(1,2),(3,2),(6,1)]),Term SqrtAbs (fromList [(0,-1),(3,2),(5,-2)]),Term Log (fromList [(0,-2),(5,1)]),Term SqrtAbs (fromList [(0,1),(2,1),(3,-1),(5,1),(6,1),(7,2)]),Term SqrtAbs (fromList [(0,-1),(1,2),(3,-2),(5,1),(6,-1),(7,-2)]),Term Tanh (fromList [(0,1),(4,-2)]),Term Tanh (fromList [(0,-2),(2,-1),(4,-2),(5,2),(6,1),(7,2)]),Term Sin (fromList [(0,1),(1,2),(2,2),(3,-2),(4,2),(5,1),(7,-1)]),Term SqrtAbs (fromList [(1,2),(3,2),(5,2),(6,2)]),Term Cos (fromList [(0,-2),(2,1),(3,1)]),Term Log (fromList [(0,-2),(7,2)]),Term Log (fromList [(0,-2),(3,2),(7,-2)])]","[-803.4359069309271,45.66807244345683,-0.9337075555098902,-5.830838921561009,2.379071551434848e-6,1.180679655051137,4188.188990144094,48.79543951647038,3.708688473479749e-6,-414.1549600037642,11.316544947525806,481.98440454901413,1.7529814322348383,8.795572994171618e-10,19.296105906928307,-37.74895576773529,-41.84630684431741]","-803.4359069309271 + 45.66807244345683*np.tanh(x[:,0]**(-2)*x[:,3]**(2)*x[:,5]**(-1)*x[:,6]*x[:,7]**(-2)) + -0.9337075555098902*sqrtAbs(x[:,0]*x[:,6]**(-2)*x[:,7]**(2)) + -5.830838921561009*np.tanh(x[:,0]**(-2)*x[:,1]**(-1)*x[:,3]**(2)*x[:,4]**(-1)*x[:,6]**(2)*x[:,7]**(-2)) + 2.379071551434848e-6*sqrtAbs(x[:,0]**(-2)*x[:,2]**(2)*x[:,3]*x[:,5]**(2)*x[:,6]**(2)) + 1.180679655051137*np.cos(x[:,0]*x[:,1]**(2)*x[:,3]**(2)*x[:,6]) + 4188.188990144094*sqrtAbs(x[:,0]**(-1)*x[:,3]**(2)*x[:,5]**(-2)) + 48.79543951647038*np.log(x[:,0]**(-2)*x[:,5]) + 3.708688473479749e-6*sqrtAbs(x[:,0]*x[:,2]*x[:,3]**(-1)*x[:,5]*x[:,6]*x[:,7]**(2)) + -414.1549600037642*sqrtAbs(x[:,0]**(-1)*x[:,1]**(2)*x[:,3]**(-2)*x[:,5]*x[:,6]**(-1)*x[:,7]**(-2)) + 11.316544947525806*np.tanh(x[:,0]*x[:,4]**(-2)) + 481.98440454901413*np.tanh(x[:,0]**(-2)*x[:,2]**(-1)*x[:,4]**(-2)*x[:,5]**(2)*x[:,6]*x[:,7]**(2)) + 1.7529814322348383*np.sin(x[:,0]*x[:,1]**(2)*x[:,2]**(2)*x[:,3]**(-2)*x[:,4]**(2)*x[:,5]*x[:,7]**(-1)) + 8.795572994171618e-10*sqrtAbs(x[:,1]**(2)*x[:,3]**(2)*x[:,5]**(2)*x[:,6]**(2)) + 19.296105906928307*np.cos(x[:,0]**(-2)*x[:,2]*x[:,3]) + -37.74895576773529*np.log(x[:,0]**(-2)*x[:,7]**(2)) + -41.84630684431741*np.log(x[:,0]**(-2)*x[:,3]**(2)*x[:,7]**(-2))"

